booking_id,dealer_id,requested_model,requested_variant,date_booked,status
BOK00034,DLR_026,Brezza,ZXI,2025-11-02,Confirmed
BOK00035,DLR_010,Ignis,MT,2025-10-05,Pending
BOK00036,DLR_008,Grand Vitara,MT,2025-09-04,Pending
BOK00037,DLR_019,Swift,ZXI,2025-08-13,Delivered
BOK00038,DLR_017,Swift,ZXI,2025-10-22,Pending
BOK00039,DLR_019,Alto,AT,2025-08-21,Pending
BOK00040,DLR_026,Celerio,Sigma,2025-09-01,Pending
BOK00041,DLR_026,Celerio,Delta,2025-05-21,Delivered
BOK00042,DLR_016,Baleno,AGS,2025-08-16,Delivered
BOK00043,DLR_022,Baleno,Delta,2025-07-16,Confirmed
BOK00044,DLR_016,Ignis,Delta,2025-07-19,Delivered
BOK00045,DLR_006,Celerio,ZXI,2025-05-07,Confirmed
BOK00046,DLR_024,Ignis,AGS,2025-02-01,Confirmed
BOK00047,DLR_028,Dzire,LXI,2025-03-02,Confirmed
BOK00048,DLR_018,Baleno,Alpha,2025-02-26,Confirmed
BOK00049,DLR_026,Ignis,Delta,2025-09-01,Pending
BOK00050,DLR_004,Grand Vitara,AT,2025-12-09,Pending
BOK00051,DLR_004,Ignis,Alpha,2025-06-09,Pending
BOK00052,DLR_028,Brezza,MT,2025-10-26,Confirmed
BOK00053,DLR_019,Dzire,VXI,2025-11-26,Confirmed
BOK00054,DLR_029,Ignis,LXI,2025-11-24,Pending
BOK00055,DLR_018,Swift,Delta,2025-01-19,Pending
BOK00056,DLR_006,Celerio,VXI,2025-04-13,Delivered
BOK00057,DLR_010,Ertiga,Delta,2025-03-19,Pending
BOK00058,DLR_009,Ignis,Delta,2025-03-21,Pending
BOK00059,DLR_005,Ertiga,MT,2025-10-22,Confirmed
BOK00060,DLR_005,Baleno,AT,2025-09-04,Pending
BOK00061,DLR_025,Baleno,LXI,2025-02-20,Confirmed
BOK00062,DLR_013,Ignis,Alpha,2025-07-13,Pending
BOK00063,DLR_028,Brezza,AGS,2025-11-11,Confirmed
BOK00064,DLR_026,Alto,AT,2025-10-24,Pending
BOK00065,DLR_014,Dzire,Sigma,2025-11-18,Delivered
BOK00066,DLR_013,Brezza,Sigma,2025-12-09,Pending
BOK00067,DLR_023,Celerio,Alpha,2025-07-20,Pending
BOK00068,DLR_002,Brezza,Delta,2025-09-16,Confirmed
BOK00069,DLR_024,Ignis,AGS,2025-04-27,Delivered
BOK00070,DLR_024,Brezza,ZXI,2025-05-05,Delivered
BOK00071,DLR_009,Dzire,AGS,2025-09-16,Confirmed
BOK00072,DLR_023,Ignis,MT,2025-08-10,Confirmed
BOK00073,DLR_030,Ignis,AT,2025-10-14,Delivered
BOK00074,DLR_029,Brezza,Alpha,2025-08-12,Confirmed
BOK00075,DLR_004,Ertiga,LXI,2025-05-07,Pending
BOK00076,DLR_002,Baleno,AGS,2025-10-19,Delivered
BOK00077,DLR_026,Swift,Delta,2025-01-16,Delivered
BOK00078,DLR_006,Ignis,LXI,2025-09-12,Pending
BOK00079,DLR_027,Alto,VXI,2025-12-27,Confirmed
BOK00080,DLR_018,Swift,MT,2025-11-24,Confirmed
BOK00081,DLR_022,Grand Vitara,Sigma,2025-08-27,Pending
BOK00082,DLR_002,Grand Vitara,LXI,2025-07-01,Confirmed
BOK00083,DLR_019,Ertiga,Alpha,2025-08-05,Confirmed
BOK00084,DLR_009,Grand Vitara,Alpha,2025-11-19,Confirmed
BOK00085,DLR_011,Alto,AT,2025-08-20,Pending
BOK00086,DLR_006,Grand Vitara,AT,2025-09-09,Delivered
BOK00087,DLR_027,Ignis,ZXI,2025-01-22,Confirmed
BOK00088,DLR_027,Alto,VXI,2025-07-12,Pending
BOK00089,DLR_013,Celerio,MT,2025-08-24,Pending
BOK00090,DLR_019,Brezza,Delta,2025-11-02,Delivered
BOK00091,DLR_024,Grand Vitara,Sigma,2025-09-27,Delivered
BOK00092,DLR_030,Ertiga,AGS,2025-06-18,Delivered
BOK00093,DLR_026,Swift,Alpha,2025-07-09,Confirmed
BOK00094,DLR_010,Brezza,AT,2025-08-25,Pending
BOK00095,DLR_028,Celerio,MT,2025-02-26,Delivered
BOK00096,DLR_025,Dzire,Delta,2025-08-04,Confirmed
BOK00097,DLR_012,Baleno,VXI,2025-03-22,Confirmed
BOK00098,DLR_007,Celerio,Alpha,2025-02-28,Pending
BOK00099,DLR_022,Brezza,Sigma,2025-12-24,Pending
BOK00100,DLR_024,Alto,ZXI,2025-05-06,Delivered
BOK00101,DLR_016,Swift,ZXI,2025-05-02,Pending
BOK00102,DLR_010,Baleno,VXI,2025-02-24,Pending
BOK00103,DLR_016,Grand Vitara,AGS,2025-02-27,Pending
BOK00104,DLR_007,Celerio,Sigma,2025-09-21,Confirmed
BOK00105,DLR_026,Swift,ZXI,2025-05-25,Confirmed
BOK00106,DLR_008,Baleno,Delta,2025-08-26,Pending
BOK00107,DLR_004,Brezza,VXI,2025-08-10,Delivered
BOK00108,DLR_026,Grand Vitara,ZXI,2025-11-12,Pending
BOK00109,DLR_026,Dzire,MT,2025-12-10,Pending
BOK00110,DLR_017,Baleno,AT,2025-07-25,Delivered
BOK00111,DLR_017,Grand Vitara,AT,2025-07-02,Pending
BOK00112,DLR_008,Celerio,Delta,2025-09-13,Confirmed
BOK00113,DLR_018,Baleno,ZXI,2025-01-17,Pending
BOK00114,DLR_005,Swift,AT,2025-01-06,Pending
BOK00115,DLR_013,Ignis,Delta,2025-10-06,Pending
BOK00116,DLR_001,Grand Vitara,ZXI,2025-10-05,Confirmed
BOK00117,DLR_028,Dzire,MT,2025-10-07,Pending
BOK00118,DLR_023,Grand Vitara,VXI,2025-05-08,Delivered
BOK00119,DLR_028,Celerio,AGS,2025-05-24,Confirmed
BOK00120,DLR_028,Celerio,LXI,2025-05-23,Pending
BOK00121,DLR_028,Ertiga,AGS,2025-03-07,Pending
BOK00122,DLR_021,Grand Vitara,Alpha,2025-06-08,Delivered
BOK00123,DLR_028,Swift,Alpha,2025-12-23,Pending
BOK00124,DLR_009,Ignis,MT,2025-07-16,Delivered
BOK00125,DLR_005,Grand Vitara,AT,2025-06-15,Delivered
BOK00126,DLR_013,Ertiga,AGS,2025-11-01,Confirmed
BOK00127,DLR_004,Baleno,AGS,2025-10-05,Confirmed
BOK00128,DLR_026,Celerio,MT,2025-04-05,Pending
BOK00129,DLR_014,Ignis,VXI,2025-10-28,Confirmed
BOK00130,DLR_017,Dzire,ZXI,2025-07-24,Delivered
BOK00131,DLR_026,Celerio,MT,2025-07-15,Confirmed
BOK00132,DLR_011,Baleno,Alpha,2025-04-07,Delivered
BOK00133,DLR_023,Dzire,Sigma,2025-04-07,Pending
BOK00134,DLR_021,Brezza,LXI,2025-05-09,Confirmed
BOK00135,DLR_020,Ignis,AT,2025-01-15,Delivered
BOK00136,DLR_003,Dzire,ZXI,2025-12-14,Pending
BOK00137,DLR_004,Brezza,Alpha,2025-02-21,Delivered
BOK00138,DLR_029,Baleno,AGS,2025-06-10,Pending
BOK00139,DLR_008,Celerio,AGS,2025-06-04,Delivered
BOK00140,DLR_002,Celerio,Delta,2025-09-05,Pending
BOK00141,DLR_008,Brezza,LXI,2025-03-24,Confirmed
BOK00142,DLR_016,Grand Vitara,Delta,2025-03-10,Delivered
BOK00143,DLR_016,Swift,VXI,2025-06-25,Pending
BOK00144,DLR_006,Ertiga,Alpha,2025-07-21,Confirmed
BOK00145,DLR_017,Baleno,Sigma,2025-06-23,Confirmed
BOK00146,DLR_017,Alto,Delta,2025-02-27,Confirmed
BOK00147,DLR_002,Baleno,ZXI,2025-08-03,Delivered
BOK00148,DLR_024,Swift,Delta,2025-07-23,Confirmed
BOK00149,DLR_018,Ertiga,LXI,2025-04-02,Delivered
BOK00150,DLR_026,Alto,Alpha,2025-06-12,Confirmed
BOK00151,DLR_004,Celerio,AGS,2025-04-04,Delivered
BOK00152,DLR_012,Dzire,VXI,2025-02-20,Pending
BOK00153,DLR_020,Swift,ZXI,2025-12-25,Confirmed
BOK00154,DLR_022,Grand Vitara,MT,2025-11-16,Delivered
BOK00155,DLR_020,Swift,Alpha,2025-03-28,Delivered
BOK00156,DLR_018,Grand Vitara,MT,2025-07-28,Delivered
BOK00157,DLR_005,Baleno,AGS,2025-11-05,Pending
BOK00158,DLR_013,Brezza,Delta,2025-07-27,Pending
BOK00159,DLR_020,Grand Vitara,Sigma,2025-01-06,Confirmed
BOK00160,DLR_015,Brezza,LXI,2025-12-20,Pending
BOK00161,DLR_022,Brezza,Alpha,2025-01-19,Pending
BOK00162,DLR_007,Swift,AGS,2025-06-17,Pending
BOK00163,DLR_027,Swift,Sigma,2025-06-24,Confirmed
BOK00164,DLR_029,Swift,AGS,2025-10-23,Pending
BOK00165,DLR_008,Swift,LXI,2025-09-26,Pending
BOK00166,DLR_002,Swift,ZXI,2025-02-15,Confirmed
BOK00167,DLR_016,Dzire,MT,2025-12-24,Delivered
BOK00168,DLR_017,Grand Vitara,AGS,2025-04-03,Pending
BOK00169,DLR_002,Ignis,VXI,2025-09-13,Delivered
BOK00170,DLR_003,Ertiga,AGS,2025-08-22,Delivered
BOK00171,DLR_016,Swift,AGS,2025-12-11,Pending
BOK00172,DLR_025,Swift,AT,2025-07-15,Confirmed
BOK00173,DLR_005,Celerio,VXI,2025-03-18,Confirmed
BOK00174,DLR_012,Baleno,ZXI,2025-01-05,Delivered
BOK00175,DLR_012,Brezza,LXI,2025-07-06,Confirmed
BOK00176,DLR_007,Dzire,Delta,2025-12-22,Pending
BOK00177,DLR_028,Brezza,AGS,2025-05-06,Pending
BOK00178,DLR_021,Alto,AGS,2025-01-22,Confirmed
BOK00179,DLR_004,Ertiga,AGS,2025-02-04,Pending
BOK00180,DLR_022,Dzire,AT,2025-04-04,Confirmed
BOK00181,DLR_021,Grand Vitara,AGS,2025-10-24,Pending
BOK00182,DLR_013,Ertiga,MT,2025-09-25,Confirmed
BOK00183,DLR_001,Dzire,ZXI,2025-02-28,Delivered
BOK00184,DLR_015,Swift,MT,2025-08-17,Pending
BOK00185,DLR_006,Alto,AGS,2025-11-27,Confirmed
BOK00186,DLR_021,Dzire,AT,2025-01-12,Confirmed
BOK00187,DLR_006,Celerio,VXI,2025-04-21,Confirmed
BOK00188,DLR_022,Brezza,AGS,2025-09-13,Pending
BOK00189,DLR_001,Celerio,LXI,2025-08-21,Delivered
BOK00190,DLR_006,Ignis,LXI,2025-05-15,Delivered
BOK00191,DLR_006,Grand Vitara,AT,2025-08-21,Delivered
BOK00192,DLR_011,Dzire,Delta,2025-11-03,Delivered
BOK00193,DLR_030,Ignis,Alpha,2025-08-28,Confirmed
BOK00194,DLR_013,Baleno,Sigma,2025-11-02,Delivered
BOK00195,DLR_008,Ertiga,LXI,2025-11-21,Confirmed
BOK00196,DLR_023,Celerio,ZXI,2025-10-02,Confirmed
BOK00197,DLR_028,Dzire,ZXI,2025-02-18,Delivered
BOK00198,DLR_018,Baleno,VXI,2025-11-06,Confirmed
BOK00199,DLR_026,Alto,VXI,2025-08-13,Delivered
BOK00200,DLR_014,Ertiga,VXI,2025-07-26,Pending
BOK00201,DLR_021,Swift,MT,2025-04-16,Delivered
BOK00202,DLR_012,Celerio,MT,2025-03-02,Delivered
BOK00203,DLR_019,Ertiga,Sigma,2025-03-09,Confirmed
BOK00204,DLR_029,Alto,Sigma,2025-10-16,Confirmed
BOK00205,DLR_008,Ertiga,AGS,2025-02-25,Confirmed
BOK00206,DLR_016,Alto,Sigma,2025-12-03,Delivered
BOK00207,DLR_007,Baleno,VXI,2025-10-27,Delivered
BOK00208,DLR_018,Swift,MT,2025-07-02,Pending
BOK00209,DLR_015,Dzire,ZXI,2025-03-07,Pending
BOK00210,DLR_021,Ertiga,VXI,2025-11-20,Pending
BOK00211,DLR_005,Swift,Delta,2025-01-12,Confirmed
BOK00212,DLR_023,Baleno,ZXI,2025-10-15,Pending
BOK00213,DLR_019,Ertiga,MT,2025-01-07,Pending
BOK00214,DLR_023,Celerio,ZXI,2025-07-03,Pending
BOK00215,DLR_004,Celerio,Sigma,2025-07-19,Pending
BOK00216,DLR_003,Dzire,AGS,2025-07-26,Delivered
BOK00217,DLR_012,Ertiga,LXI,2025-08-23,Confirmed
BOK00218,DLR_025,Ignis,MT,2025-01-24,Confirmed
BOK00219,DLR_024,Brezza,ZXI,2025-05-24,Delivered
BOK00220,DLR_001,Grand Vitara,Delta,2025-04-05,Delivered
BOK00221,DLR_027,Brezza,LXI,2025-04-01,Confirmed
BOK00222,DLR_016,Ignis,VXI,2025-01-26,Delivered
BOK00223,DLR_004,Baleno,AGS,2025-10-09,Delivered
BOK00224,DLR_028,Dzire,Delta,2025-08-13,Delivered
BOK00225,DLR_029,Ignis,Alpha,2025-04-27,Delivered
BOK00226,DLR_007,Ignis,Delta,2025-04-06,Confirmed
BOK00227,DLR_021,Dzire,AT,2025-12-24,Confirmed
BOK00228,DLR_022,Grand Vitara,MT,2025-04-19,Confirmed
BOK00229,DLR_021,Ignis,AGS,2025-04-03,Delivered
BOK00230,DLR_008,Ignis,ZXI,2025-01-19,Confirmed
BOK00231,DLR_026,Swift,LXI,2025-09-24,Pending
BOK00232,DLR_017,Brezza,LXI,2025-08-21,Delivered
BOK00233,DLR_016,Baleno,AGS,2025-07-16,Pending
BOK00234,DLR_004,Ertiga,AT,2025-09-11,Confirmed
BOK00235,DLR_020,Dzire,Sigma,2025-11-10,Confirmed
BOK00236,DLR_022,Dzire,Alpha,2025-05-25,Confirmed
BOK00237,DLR_028,Grand Vitara,Delta,2025-01-05,Pending
BOK00238,DLR_025,Ignis,Alpha,2025-08-17,Confirmed
BOK00239,DLR_012,Celerio,Alpha,2025-09-20,Delivered
BOK00240,DLR_012,Swift,ZXI,2025-05-09,Confirmed
BOK00241,DLR_008,Brezza,AGS,2025-12-24,Delivered
BOK00242,DLR_010,Brezza,ZXI,2025-01-21,Delivered
BOK00243,DLR_023,Baleno,LXI,2025-10-27,Pending
BOK00244,DLR_018,Grand Vitara,AT,2025-04-24,Pending
BOK00245,DLR_004,Baleno,LXI,2025-09-07,Confirmed
BOK00246,DLR_007,Celerio,MT,2025-08-01,Delivered
BOK00247,DLR_009,Ertiga,AGS,2025-01-25,Confirmed
BOK00248,DLR_013,Swift,AGS,2025-11-07,Confirmed
BOK00249,DLR_009,Dzire,VXI,2025-04-15,Delivered
BOK00250,DLR_009,Ertiga,VXI,2025-09-14,Delivered
BOK00251,DLR_015,Brezza,Sigma,2025-02-16,Confirmed
BOK00252,DLR_016,Dzire,MT,2025-12-23,Pending
BOK00253,DLR_006,Swift,Alpha,2025-04-25,Pending
BOK00254,DLR_017,Ignis,Delta,2025-07-20,Pending
BOK00255,DLR_013,Ertiga,Delta,2025-05-24,Delivered
BOK00256,DLR_022,Grand Vitara,Sigma,2025-04-24,Confirmed
BOK00257,DLR_017,Dzire,Delta,2025-05-05,Delivered
BOK00258,DLR_004,Swift,ZXI,2025-06-17,Confirmed
BOK00259,DLR_005,Ertiga,AT,2025-09-09,Pending
BOK00260,DLR_013,Ignis,Sigma,2025-06-02,Confirmed
BOK00261,DLR_005,Dzire,LXI,2025-02-11,Confirmed
BOK00262,DLR_026,Brezza,Delta,2025-04-23,Confirmed
BOK00263,DLR_017,Baleno,AGS,2025-06-21,Pending
BOK00264,DLR_015,Ignis,Sigma,2025-07-14,Delivered
BOK00265,DLR_015,Baleno,AGS,2025-07-19,Delivered
BOK00266,DLR_020,Dzire,Alpha,2025-08-17,Delivered
BOK00267,DLR_029,Celerio,Delta,2025-12-06,Confirmed
BOK00268,DLR_020,Baleno,Alpha,2025-06-27,Delivered
BOK00269,DLR_023,Swift,AGS,2025-05-24,Confirmed
BOK00270,DLR_025,Ertiga,Alpha,2025-08-01,Delivered
BOK00271,DLR_029,Celerio,VXI,2025-01-05,Confirmed
BOK00272,DLR_014,Grand Vitara,MT,2025-01-06,Confirmed
BOK00273,DLR_003,Brezza,VXI,2025-03-13,Confirmed
BOK00274,DLR_024,Baleno,AT,2025-03-16,Pending
BOK00275,DLR_009,Swift,AGS,2025-09-01,Confirmed
BOK00276,DLR_009,Ertiga,MT,2025-04-21,Delivered
BOK00277,DLR_008,Alto,AT,2025-09-01,Delivered
BOK00278,DLR_025,Celerio,LXI,2025-08-21,Confirmed
BOK00279,DLR_027,Ertiga,LXI,2025-12-12,Confirmed
BOK00280,DLR_026,Swift,LXI,2025-10-26,Pending
BOK00281,DLR_024,Brezza,AT,2025-08-23,Delivered
BOK00282,DLR_008,Celerio,LXI,2025-08-12,Confirmed
BOK00283,DLR_014,Ertiga,VXI,2025-06-10,Delivered
BOK00284,DLR_005,Alto,ZXI,2025-02-21,Confirmed
BOK00285,DLR_028,Swift,Alpha,2025-08-15,Delivered
BOK00286,DLR_024,Swift,Alpha,2025-07-08,Confirmed
BOK00287,DLR_016,Dzire,AT,2025-06-03,Delivered
BOK00288,DLR_020,Celerio,MT,2025-12-21,Confirmed
BOK00289,DLR_004,Grand Vitara,Sigma,2025-08-28,Confirmed
BOK00290,DLR_017,Alto,Alpha,2025-03-26,Delivered
BOK00291,DLR_026,Ignis,AGS,2025-05-23,Delivered
BOK00292,DLR_001,Dzire,VXI,2025-12-06,Pending
BOK00293,DLR_008,Dzire,MT,2025-01-07,Delivered
BOK00294,DLR_026,Celerio,LXI,2025-07-28,Pending
BOK00295,DLR_013,Ignis,AGS,2025-03-28,Pending
BOK00296,DLR_014,Grand Vitara,MT,2025-04-14,Confirmed
BOK00297,DLR_011,Ertiga,LXI,2025-12-21,Pending
BOK00298,DLR_026,Ertiga,ZXI,2025-02-02,Confirmed
BOK00299,DLR_007,Alto,Sigma,2025-07-17,Confirmed
BOK00300,DLR_004,Baleno,Alpha,2025-08-23,Pending
BOK00301,DLR_020,Swift,AGS,2025-04-11,Pending
BOK00302,DLR_001,Celerio,AT,2025-04-23,Confirmed
BOK00303,DLR_015,Swift,Alpha,2025-08-15,Pending
BOK00304,DLR_006,Ignis,ZXI,2025-05-08,Delivered
BOK00305,DLR_003,Celerio,Delta,2025-08-01,Confirmed
BOK00306,DLR_029,Brezza,AGS,2025-05-25,Pending
BOK00307,DLR_002,Baleno,Alpha,2025-04-04,Delivered
BOK00308,DLR_001,Celerio,AT,2025-07-05,Confirmed
BOK00309,DLR_028,Grand Vitara,Sigma,2025-11-04,Delivered
BOK00310,DLR_008,Ignis,VXI,2025-08-23,Confirmed
BOK00311,DLR_020,Baleno,LXI,2025-10-13,Confirmed
BOK00312,DLR_009,Grand Vitara,Alpha,2025-03-14,Confirmed
BOK00313,DLR_005,Brezza,VXI,2025-10-27,Confirmed
BOK00314,DLR_007,Ertiga,AGS,2025-03-03,Delivered
BOK00315,DLR_005,Ertiga,MT,2025-12-21,Pending
BOK00316,DLR_003,Brezza,VXI,2025-03-20,Delivered
BOK00317,DLR_002,Ignis,LXI,2025-05-26,Delivered
BOK00318,DLR_027,Ignis,Sigma,2025-05-07,Delivered
BOK00319,DLR_026,Baleno,Alpha,2025-06-21,Confirmed
BOK00320,DLR_021,Grand Vitara,MT,2025-09-22,Confirmed
BOK00321,DLR_009,Dzire,MT,2025-09-20,Delivered
BOK00322,DLR_028,Ignis,VXI,2025-02-27,Pending
BOK00323,DLR_030,Swift,VXI,2025-03-03,Delivered
BOK00324,DLR_026,Brezza,LXI,2025-06-22,Delivered
BOK00325,DLR_018,Grand Vitara,AGS,2025-01-22,Confirmed
BOK00326,DLR_014,Celerio,Sigma,2025-05-10,Delivered
BOK00327,DLR_027,Ertiga,Sigma,2025-03-21,Delivered
BOK00328,DLR_014,Swift,VXI,2025-08-28,Confirmed
BOK00329,DLR_002,Alto,ZXI,2025-02-18,Pending
BOK00330,DLR_024,Baleno,AT,2025-06-16,Pending
BOK00331,DLR_001,Swift,ZXI,2025-05-27,Confirmed
BOK00332,DLR_010,Brezza,LXI,2025-11-14,Pending
BOK00333,DLR_011,Brezza,Sigma,2025-06-24,Pending
BOK00334,DLR_014,Baleno,MT,2025-09-04,Delivered
BOK00335,DLR_015,Celerio,MT,2025-07-06,Pending
BOK00336,DLR_001,Brezza,AT,2025-05-18,Delivered
BOK00337,DLR_012,Dzire,LXI,2025-04-26,Confirmed
BOK00338,DLR_013,Grand Vitara,Sigma,2025-04-04,Delivered
BOK00339,DLR_002,Celerio,AGS,2025-06-18,Delivered
BOK00340,DLR_025,Alto,ZXI,2025-10-04,Confirmed
BOK00341,DLR_022,Alto,VXI,2025-11-07,Pending
BOK00342,DLR_029,Swift,AGS,2025-05-15,Pending
BOK00343,DLR_003,Celerio,LXI,2025-06-23,Pending
BOK00344,DLR_012,Alto,Alpha,2025-10-16,Pending
BOK00345,DLR_026,Dzire,MT,2025-09-19,Delivered
BOK00346,DLR_017,Ertiga,Delta,2025-02-14,Pending
BOK00347,DLR_014,Brezza,MT,2025-07-23,Confirmed
BOK00348,DLR_014,Ignis,AGS,2025-02-24,Confirmed
BOK00349,DLR_026,Celerio,ZXI,2025-08-21,Delivered
BOK00350,DLR_017,Celerio,LXI,2025-11-04,Pending
BOK00351,DLR_007,Baleno,LXI,2025-07-05,Confirmed
BOK00352,DLR_020,Grand Vitara,AGS,2025-11-21,Delivered
BOK00353,DLR_002,Ertiga,VXI,2025-06-28,Pending
BOK00354,DLR_001,Baleno,Sigma,2025-11-07,Pending
BOK00355,DLR_021,Ignis,LXI,2025-03-10,Delivered
BOK00356,DLR_025,Dzire,Alpha,2025-11-20,Confirmed
BOK00357,DLR_002,Grand Vitara,AGS,2025-11-22,Confirmed
BOK00358,DLR_004,Brezza,ZXI,2025-08-03,Confirmed
BOK00359,DLR_020,Brezza,AGS,2025-11-18,Pending
BOK00360,DLR_004,Brezza,VXI,2025-11-15,Confirmed
BOK00361,DLR_006,Swift,AGS,2025-08-08,Delivered
BOK00362,DLR_018,Dzire,VXI,2025-08-15,Delivered
BOK00363,DLR_004,Baleno,AT,2025-09-16,Pending
BOK00364,DLR_012,Alto,Sigma,2025-12-24,Delivered
BOK00365,DLR_010,Dzire,LXI,2025-05-26,Delivered
BOK00366,DLR_022,Brezza,VXI,2025-03-25,Delivered
BOK00367,DLR_002,Grand Vitara,Alpha,2025-09-20,Pending
BOK00368,DLR_011,Brezza,VXI,2025-11-08,Confirmed
BOK00369,DLR_007,Celerio,AT,2025-04-25,Pending
BOK00370,DLR_009,Grand Vitara,Sigma,2025-04-06,Delivered
BOK00371,DLR_004,Celerio,MT,2025-12-07,Confirmed
BOK00372,DLR_025,Baleno,Alpha,2025-04-08,Confirmed
BOK00373,DLR_017,Alto,LXI,2025-07-10,Confirmed
BOK00374,DLR_014,Celerio,MT,2025-12-27,Confirmed
BOK00375,DLR_014,Ignis,LXI,2025-06-02,Pending
BOK00376,DLR_009,Dzire,Delta,2025-10-07,Pending
BOK00377,DLR_002,Baleno,LXI,2025-09-14,Pending
BOK00378,DLR_025,Ertiga,Alpha,2025-03-15,Confirmed
BOK00379,DLR_011,Dzire,Delta,2025-09-17,Confirmed
BOK00380,DLR_030,Swift,Delta,2025-02-24,Delivered
BOK00381,DLR_019,Celerio,ZXI,2025-01-20,Confirmed
BOK00382,DLR_027,Dzire,AT,2025-05-19,Pending
BOK00383,DLR_014,Ertiga,MT,2025-01-15,Pending
BOK00384,DLR_010,Alto,ZXI,2025-06-22,Delivered
BOK00385,DLR_028,Ignis,Alpha,2025-06-02,Confirmed
BOK00386,DLR_009,Dzire,ZXI,2025-11-01,Confirmed
BOK00387,DLR_005,Grand Vitara,LXI,2025-01-07,Confirmed
BOK00388,DLR_021,Ertiga,MT,2025-06-14,Pending
BOK00389,DLR_005,Brezza,VXI,2025-11-19,Pending
BOK00390,DLR_028,Baleno,AT,2025-06-08,Pending
BOK00391,DLR_025,Baleno,AGS,2025-08-09,Delivered
BOK00392,DLR_022,Dzire,AGS,2025-02-07,Delivered
BOK00393,DLR_007,Brezza,Sigma,2025-04-20,Delivered
BOK00394,DLR_004,Swift,MT,2025-10-13,Pending
BOK00395,DLR_001,Ertiga,AT,2025-09-16,Confirmed
BOK00396,DLR_003,Alto,AGS,2025-01-28,Confirmed
BOK00397,DLR_002,Brezza,LXI,2025-11-24,Confirmed
BOK00398,DLR_028,Grand Vitara,AGS,2025-12-24,Delivered
BOK00399,DLR_017,Dzire,AT,2025-02-18,Delivered
BOK00400,DLR_001,Alto,Sigma,2025-06-23,Delivered
BOK00401,DLR_019,Alto,VXI,2025-07-14,Pending
BOK00402,DLR_024,Alto,ZXI,2025-01-04,Confirmed
BOK00403,DLR_028,Grand Vitara,LXI,2025-02-25,Pending
BOK00404,DLR_009,Swift,MT,2025-12-25,Delivered
BOK00405,DLR_025,Dzire,Delta,2025-05-25,Pending
BOK00406,DLR_028,Dzire,Delta,2025-08-18,Confirmed
BOK00407,DLR_023,Brezza,MT,2025-04-18,Pending
BOK00408,DLR_002,Alto,Alpha,2025-03-25,Confirmed
BOK00409,DLR_028,Grand Vitara,ZXI,2025-11-04,Confirmed
BOK00410,DLR_005,Ertiga,LXI,2025-08-19,Confirmed
BOK00411,DLR_003,Brezza,Delta,2025-07-24,Confirmed
BOK00412,DLR_007,Alto,LXI,2025-03-09,Confirmed
BOK00413,DLR_002,Alto,VXI,2025-10-08,Delivered
BOK00414,DLR_018,Brezza,Delta,2025-02-21,Delivered
BOK00415,DLR_013,Grand Vitara,LXI,2025-05-25,Confirmed
BOK00416,DLR_011,Celerio,Delta,2025-03-26,Delivered
