sale_id,chassis_number,dealer_id,customer_id,sale_date,month,quarter,year,final_sale_price_inr,days_to_sell,discount_given_inr,finance_taken,exchange_vehicle,model_code,variant_id
SAL000045,VIN0000046,DLR019,CUST16385,2025-01-22,1,1,2025,1246092,12,21997,1,0,Brezza,VXI
SAL000046,VIN0000047,DLR025,CUST13827,2025-03-13,3,1,2025,1030077,51,7384,0,0,Dzire,Sigma
SAL000047,VIN0000048,DLR006,CUST20626,2025-07-21,7,1,2025,1095102,59,26342,0,1,Baleno,MT
SAL000048,VIN0000049,DLR028,CUST23833,2025-06-16,6,1,2025,813195,42,12758,0,1,Grand Vitara,Alpha
SAL000049,VIN0000050,DLR015,CUST02136,2025-11-07,11,1,2025,968062,34,8736,0,0,Swift,Sigma
SAL000050,VIN0000051,DLR025,CUST11796,2025-06-25,6,1,2025,1030755,61,33048,1,0,Swift,Sigma
SAL000051,VIN0000052,DLR019,CUST01295,2025-03-13,3,1,2025,1089184,67,6788,1,0,Baleno,Sigma
SAL000052,VIN0000053,DLR010,CUST02396,2025-03-16,3,1,2025,1094845,51,9804,1,0,Swift,Alpha
SAL000053,VIN0000054,DLR022,CUST19184,2025-07-13,7,1,2025,544503,22,30243,0,1,Swift,LXI
SAL000054,VIN0000055,DLR026,CUST01611,2025-02-22,2,1,2025,1138430,39,15279,0,1,Swift,Sigma
SAL000055,VIN0000056,DLR002,CUST09198,2025-05-19,5,1,2025,882043,32,41108,1,0,Swift,AT
SAL000056,VIN0000057,DLR016,CUST01152,2025-08-08,8,1,2025,1146510,51,30391,1,0,Dzire,ZXI
SAL000057,VIN0000058,DLR014,CUST08441,2025-03-06,3,1,2025,564703,29,21946,1,0,Swift,ZXI
SAL000058,VIN0000059,DLR016,CUST00540,2025-05-28,5,1,2025,1006809,69,40689,1,0,Dzire,Alpha
SAL000059,VIN0000060,DLR009,CUST14165,2025-03-27,3,1,2025,1337323,20,21060,1,1,Baleno,VXI
SAL000060,VIN0000061,DLR028,CUST20532,2025-12-21,12,1,2025,1110840,42,6565,1,0,Baleno,VXI
SAL000061,VIN0000062,DLR028,CUST20427,2025-03-20,3,1,2025,545271,22,10569,1,0,Brezza,AGS
SAL000062,VIN0000063,DLR002,CUST23285,2025-01-13,1,1,2025,933050,68,10802,0,0,Dzire,Delta
SAL000063,VIN0000064,DLR021,CUST14541,2025-05-18,5,1,2025,1155037,58,8807,0,0,Ertiga,AGS
SAL000064,VIN0000065,DLR020,CUST02432,2025-04-10,4,1,2025,700435,34,44668,1,0,Baleno,ZXI
SAL000065,VIN0000066,DLR019,CUST10992,2025-03-09,3,1,2025,1499824,33,35978,1,1,Ertiga,Delta
SAL000066,VIN0000067,DLR023,CUST10304,2025-05-28,5,1,2025,1485034,29,14218,0,1,Swift,ZXI
SAL000067,VIN0000068,DLR019,CUST16066,2025-03-22,3,1,2025,1164538,59,16328,1,0,Dzire,ZXI
SAL000068,VIN0000069,DLR008,CUST18754,2025-07-12,7,1,2025,579720,53,28585,0,1,Alto,AGS
SAL000069,VIN0000070,DLR009,CUST20927,2025-06-05,6,1,2025,618089,69,10139,1,0,Baleno,MT
SAL000070,VIN0000071,DLR009,CUST19923,2025-03-26,3,1,2025,1496681,85,13847,1,0,Celerio,LXI
SAL000071,VIN0000072,DLR006,CUST07802,2025-04-11,4,1,2025,1199984,53,37944,1,0,Alto,AGS
SAL000072,VIN0000073,DLR028,CUST23573,2025-10-15,10,1,2025,857032,42,37055,1,0,Baleno,VXI
SAL000073,VIN0000074,DLR011,CUST16519,2025-04-22,4,1,2025,808476,62,8366,0,0,Ertiga,Alpha
SAL000074,VIN0000075,DLR003,CUST12665,2025-10-09,10,1,2025,661510,62,35928,0,0,Swift,Sigma
SAL000075,VIN0000076,DLR014,CUST08283,2025-04-15,4,1,2025,1261692,58,39156,0,1,Alto,Delta
SAL000076,VIN0000077,DLR008,CUST16719,2025-07-26,7,1,2025,1335293,45,11103,1,0,Brezza,MT
SAL000077,VIN0000078,DLR019,CUST23560,2025-12-26,12,1,2025,937539,35,37268,0,1,Ertiga,Alpha
SAL000078,VIN0000079,DLR017,CUST04846,2025-09-21,9,1,2025,964602,34,28744,1,0,Brezza,Delta
SAL000079,VIN0000080,DLR021,CUST10901,2025-03-19,3,1,2025,1065457,29,16878,1,0,Brezza,Delta
SAL000080,VIN0000081,DLR008,CUST14985,2025-04-01,4,1,2025,593404,63,34382,1,0,Ertiga,AT
SAL000081,VIN0000082,DLR026,CUST02318,2025-10-09,10,1,2025,1080750,42,17912,1,0,Brezza,LXI
SAL000082,VIN0000083,DLR027,CUST22432,2025-08-17,8,1,2025,824683,41,5579,1,0,Swift,Alpha
SAL000083,VIN0000084,DLR021,CUST09686,2025-09-19,9,1,2025,1088699,43,22075,0,0,Baleno,Alpha
SAL000084,VIN0000085,DLR002,CUST05401,2025-10-06,10,1,2025,735372,42,5382,1,0,Brezza,Sigma
SAL000085,VIN0000086,DLR005,CUST23901,2025-07-19,7,1,2025,1155930,53,24825,0,1,Ertiga,MT
SAL000086,VIN0000087,DLR015,CUST04223,2025-10-17,10,1,2025,1146221,32,37352,1,0,Baleno,MT
SAL000087,VIN0000088,DLR016,CUST12747,2025-04-22,4,1,2025,797557,48,22709,0,0,Ertiga,MT
SAL000088,VIN0000089,DLR002,CUST24123,2025-05-06,5,1,2025,578107,60,41103,0,0,Swift,VXI
SAL000089,VIN0000090,DLR005,CUST04046,2025-11-11,11,1,2025,1437485,35,39516,0,1,Brezza,Alpha
SAL000090,VIN0000091,DLR019,CUST00343,2025-08-18,8,1,2025,769930,56,41843,0,0,Baleno,Sigma
SAL000091,VIN0000092,DLR028,CUST00141,2025-04-06,4,1,2025,986157,38,17071,1,1,Brezza,AT
SAL000092,VIN0000093,DLR018,CUST14332,2025-09-05,9,1,2025,1402849,86,26943,1,0,Alto,Delta
SAL000093,VIN0000094,DLR016,CUST22494,2025-05-17,5,1,2025,503855,45,36236,1,0,Swift,LXI
SAL000094,VIN0000095,DLR012,CUST15043,2025-01-06,1,1,2025,856735,24,35791,1,1,Brezza,MT
SAL000095,VIN0000096,DLR001,CUST12208,2025-07-08,7,1,2025,874319,64,25366,1,1,Baleno,Delta
SAL000096,VIN0000097,DLR023,CUST18530,2025-09-02,9,1,2025,528397,6,21262,0,0,Brezza,Sigma
SAL000097,VIN0000098,DLR018,CUST17792,2025-09-28,9,1,2025,1497905,17,22052,0,1,Brezza,Delta
SAL000098,VIN0000099,DLR030,CUST02041,2025-11-25,11,1,2025,1453280,39,43370,0,0,Swift,MT
SAL000099,VIN0000100,DLR020,CUST03293,2025-05-10,5,1,2025,750754,29,11686,1,0,Swift,AGS
SAL000100,VIN0000101,DLR013,CUST15014,2025-07-22,7,1,2025,869079,67,12850,1,1,Swift,Sigma
SAL000101,VIN0000102,DLR002,CUST03497,2025-02-02,2,1,2025,796066,36,12665,1,1,Baleno,MT
SAL000102,VIN0000103,DLR019,CUST04640,2025-07-23,7,1,2025,1417715,17,31800,1,1,Brezza,AT
SAL000103,VIN0000104,DLR030,CUST02128,2025-05-20,5,1,2025,1417998,54,23536,0,0,Celerio,MT
SAL000104,VIN0000105,DLR006,CUST18678,2025-03-09,3,1,2025,1430845,26,43839,0,0,Brezza,MT
SAL000105,VIN0000106,DLR005,CUST23106,2025-05-08,5,1,2025,1273168,26,18178,0,0,Grand Vitara,ZXI
SAL000106,VIN0000107,DLR007,CUST01116,2025-05-23,5,1,2025,1496389,66,19036,1,0,Celerio,MT
SAL000107,VIN0000108,DLR014,CUST21971,2025-01-16,1,1,2025,1071139,47,34723,1,0,Swift,VXI
SAL000108,VIN0000109,DLR006,CUST06374,2025-09-23,9,1,2025,1070850,22,16291,1,0,Swift,Sigma
SAL000109,VIN0000110,DLR021,CUST15874,2025-06-05,6,1,2025,967339,27,31876,1,0,Ertiga,AGS
SAL000110,VIN0000111,DLR003,CUST11732,2025-03-18,3,1,2025,1056098,40,14117,0,0,Celerio,AT
SAL000111,VIN0000112,DLR025,CUST01978,2025-11-03,11,1,2025,718728,57,11671,1,0,Ertiga,AGS
SAL000112,VIN0000113,DLR027,CUST09491,2025-05-06,5,1,2025,598131,25,29177,1,0,Swift,AT
SAL000113,VIN0000114,DLR023,CUST07430,2025-08-27,8,1,2025,850616,57,35494,1,0,Swift,ZXI
SAL000114,VIN0000115,DLR015,CUST16549,2025-10-21,10,1,2025,1009411,83,32450,1,1,Celerio,MT
SAL000115,VIN0000116,DLR015,CUST03938,2025-03-13,3,1,2025,1244177,66,32762,0,0,Swift,VXI
SAL000116,VIN0000117,DLR029,CUST06836,2025-02-13,2,1,2025,505940,49,20448,0,0,Swift,Delta
SAL000117,VIN0000118,DLR011,CUST24327,2025-07-28,7,1,2025,1413792,27,5915,1,1,Dzire,ZXI
SAL000118,VIN0000119,DLR029,CUST18085,2025-09-22,9,1,2025,895778,88,30073,1,0,Alto,LXI
SAL000119,VIN0000120,DLR012,CUST11133,2025-11-08,11,1,2025,511215,58,7145,0,0,Baleno,MT
SAL000120,VIN0000121,DLR021,CUST04701,2025-04-27,4,1,2025,578192,50,6817,1,0,Celerio,AT
SAL000121,VIN0000122,DLR002,CUST19220,2025-04-13,4,1,2025,1146835,46,27703,1,1,Alto,Delta
SAL000122,VIN0000123,DLR011,CUST00535,2025-03-02,3,1,2025,741634,39,23637,1,1,Baleno,Alpha
SAL000123,VIN0000124,DLR009,CUST09955,2025-01-27,1,1,2025,866511,60,28217,0,0,Swift,Delta
SAL000124,VIN0000125,DLR009,CUST19016,2025-06-18,6,1,2025,581307,67,6375,1,0,Swift,AGS
SAL000125,VIN0000126,DLR002,CUST15428,2025-07-02,7,1,2025,1482524,14,12314,1,0,Brezza,AT
SAL000126,VIN0000127,DLR005,CUST01892,2025-01-26,1,1,2025,864240,75,30763,1,0,Alto,AGS
SAL000127,VIN0000128,DLR015,CUST10930,2025-10-10,10,1,2025,1244074,22,41230,1,0,Brezza,AGS
SAL000128,VIN0000129,DLR006,CUST06516,2025-06-12,6,1,2025,1026997,61,22572,1,0,Dzire,Alpha
SAL000129,VIN0000130,DLR020,CUST00841,2025-04-13,4,1,2025,1332420,48,38367,1,1,Alto,AT
SAL000130,VIN0000131,DLR014,CUST23564,2025-11-12,11,1,2025,1208622,63,5847,1,1,Baleno,Sigma
SAL000131,VIN0000132,DLR016,CUST13600,2025-07-18,7,1,2025,967036,53,30126,0,0,Celerio,MT
SAL000132,VIN0000133,DLR023,CUST19854,2025-08-19,8,1,2025,971874,43,13581,0,0,Alto,Alpha
SAL000133,VIN0000134,DLR005,CUST09797,2025-07-15,7,1,2025,1285378,31,14065,0,0,Baleno,Alpha
SAL000134,VIN0000135,DLR012,CUST01502,2025-09-07,9,1,2025,705398,30,8708,1,1,Swift,MT
SAL000135,VIN0000136,DLR013,CUST04804,2025-11-11,11,1,2025,590428,59,27592,1,1,Alto,MT
SAL000136,VIN0000137,DLR020,CUST03101,2025-12-17,12,1,2025,977570,51,32052,1,0,Swift,AT
SAL000137,VIN0000138,DLR024,CUST14045,2025-06-17,6,1,2025,1082925,66,27956,1,0,Baleno,AT
SAL000138,VIN0000139,DLR010,CUST01655,2025-08-12,8,1,2025,1208442,48,12932,0,0,Swift,Delta
SAL000139,VIN0000140,DLR028,CUST09175,2025-02-22,2,1,2025,1439954,21,7445,1,0,Brezza,Sigma
SAL000140,VIN0000141,DLR004,CUST02627,2025-10-09,10,1,2025,1331861,55,25590,1,0,Swift,AGS
SAL000141,VIN0000142,DLR029,CUST18960,2025-12-08,12,1,2025,633042,30,29453,1,0,Swift,Alpha
SAL000142,VIN0000143,DLR018,CUST11335,2025-03-27,3,1,2025,1238513,53,34667,0,1,Baleno,LXI
SAL000143,VIN0000144,DLR002,CUST22281,2025-10-18,10,1,2025,1090039,58,16670,1,0,Baleno,VXI
SAL000144,VIN0000145,DLR022,CUST24966,2025-09-26,9,1,2025,1333163,63,20789,0,0,Ertiga,Alpha
SAL000145,VIN0000146,DLR012,CUST07873,2025-05-16,5,1,2025,1397732,21,36746,0,1,Baleno,ZXI
SAL000146,VIN0000147,DLR010,CUST17229,2025-08-26,8,1,2025,862238,63,12217,0,0,Alto,AGS
SAL000147,VIN0000148,DLR009,CUST23820,2025-12-12,12,1,2025,706047,64,18093,1,1,Baleno,AGS
SAL000148,VIN0000149,DLR010,CUST21632,2025-12-01,12,1,2025,570434,64,5268,1,0,Swift,ZXI
SAL000149,VIN0000150,DLR003,CUST06435,2025-03-10,3,1,2025,1156290,63,25758,1,0,Alto,LXI
SAL000150,VIN0000151,DLR016,CUST14527,2025-08-07,8,1,2025,1034873,55,20597,0,0,Baleno,Sigma
SAL000151,VIN0000152,DLR020,CUST18204,2025-09-26,9,1,2025,1374185,28,13368,0,1,Brezza,Delta
SAL000152,VIN0000153,DLR015,CUST01622,2025-12-22,12,1,2025,1306053,50,42172,1,1,Baleno,MT
SAL000153,VIN0000154,DLR028,CUST19718,2025-05-12,5,1,2025,1104185,41,38031,0,0,Baleno,Sigma
SAL000154,VIN0000155,DLR019,CUST15160,2025-10-06,10,1,2025,1225428,55,20924,0,0,Swift,Alpha
SAL000155,VIN0000156,DLR018,CUST06614,2025-07-06,7,1,2025,1360830,48,11276,1,1,Ertiga,Sigma
SAL000156,VIN0000157,DLR002,CUST19233,2025-12-13,12,1,2025,1222763,59,20327,1,1,Ignis,MT
SAL000157,VIN0000158,DLR016,CUST05475,2025-11-16,11,1,2025,1037292,36,29490,1,0,Swift,Delta
SAL000158,VIN0000159,DLR024,CUST20893,2025-06-05,6,1,2025,1023212,90,8629,1,0,Alto,AT
SAL000159,VIN0000160,DLR010,CUST14751,2025-10-19,10,1,2025,841963,53,13853,1,0,Ertiga,MT
SAL000160,VIN0000161,DLR019,CUST14998,2025-06-07,6,1,2025,600763,43,5991,1,0,Alto,MT
SAL000161,VIN0000162,DLR025,CUST06695,2025-06-20,6,1,2025,1413877,27,31599,1,0,Grand Vitara,Alpha
SAL000162,VIN0000163,DLR020,CUST15209,2025-09-17,9,1,2025,1066587,38,19301,1,0,Brezza,Delta
SAL000163,VIN0000164,DLR028,CUST23286,2025-05-04,5,1,2025,1390347,40,8929,1,0,Brezza,AT
SAL000164,VIN0000165,DLR001,CUST23911,2025-12-21,12,1,2025,1486305,13,32977,1,0,Brezza,MT
SAL000165,VIN0000166,DLR030,CUST18258,2025-11-09,11,1,2025,653205,22,27581,1,0,Brezza,Alpha
SAL000166,VIN0000167,DLR012,CUST03103,2025-04-11,4,1,2025,1187177,47,41797,0,0,Swift,ZXI
SAL000167,VIN0000168,DLR026,CUST13180,2025-09-04,9,1,2025,525472,69,31785,1,0,Ertiga,LXI
SAL000168,VIN0000169,DLR006,CUST13478,2025-05-12,5,1,2025,714176,85,43371,0,0,Alto,VXI
SAL000169,VIN0000170,DLR002,CUST21003,2025-07-02,7,1,2025,1015274,87,43129,0,0,Celerio,AT
SAL000170,VIN0000171,DLR022,CUST06824,2025-03-13,3,1,2025,1102283,81,29669,1,0,Celerio,VXI
SAL000171,VIN0000172,DLR027,CUST10688,2025-03-16,3,1,2025,774568,48,34770,1,0,Swift,Sigma
SAL000172,VIN0000173,DLR021,CUST00616,2025-01-13,1,1,2025,1353474,78,21912,0,1,Alto,MT
SAL000173,VIN0000174,DLR011,CUST18107,2025-10-18,10,1,2025,996076,51,24348,0,0,Ignis,LXI
SAL000174,VIN0000175,DLR029,CUST07147,2025-01-28,1,1,2025,1355138,33,16242,0,1,Brezza,LXI
SAL000175,VIN0000176,DLR025,CUST24114,2025-04-11,4,1,2025,817426,52,16223,1,0,Swift,LXI
SAL000176,VIN0000177,DLR018,CUST00833,2025-04-10,4,1,2025,1032037,51,6066,1,0,Baleno,Delta
SAL000177,VIN0000178,DLR018,CUST08776,2025-06-15,6,1,2025,660952,36,19542,1,0,Swift,MT
SAL000178,VIN0000179,DLR009,CUST09565,2025-07-21,7,1,2025,911030,52,18037,1,0,Celerio,VXI
SAL000179,VIN0000180,DLR027,CUST06395,2025-09-18,9,1,2025,1356539,63,25454,1,0,Baleno,Alpha
SAL000180,VIN0000181,DLR013,CUST07546,2025-04-26,4,1,2025,1438345,39,7920,1,0,Swift,MT
SAL000181,VIN0000182,DLR023,CUST24468,2025-07-05,7,1,2025,1357880,36,42292,1,0,Brezza,LXI
SAL000182,VIN0000183,DLR024,CUST00102,2025-01-27,1,1,2025,945091,56,21781,0,0,Alto,ZXI
SAL000183,VIN0000184,DLR028,CUST19705,2025-06-01,6,1,2025,518520,26,40258,1,0,Baleno,Alpha
SAL000184,VIN0000185,DLR025,CUST06092,2025-05-22,5,1,2025,844965,40,39086,1,0,Dzire,Alpha
SAL000185,VIN0000186,DLR007,CUST24244,2025-06-17,6,1,2025,746728,66,28953,1,1,Swift,AGS
SAL000186,VIN0000187,DLR021,CUST15263,2025-04-23,4,1,2025,981079,36,38464,1,0,Ertiga,AT
SAL000187,VIN0000188,DLR019,CUST10975,2025-11-04,11,1,2025,672704,43,42868,0,0,Baleno,LXI
SAL000188,VIN0000189,DLR006,CUST24649,2025-01-15,1,1,2025,898489,27,24829,0,0,Grand Vitara,MT
SAL000189,VIN0000190,DLR013,CUST10055,2025-07-09,7,1,2025,1123699,61,9733,1,0,Celerio,Delta
SAL000190,VIN0000191,DLR009,CUST13219,2025-08-25,8,1,2025,1421587,22,38360,1,0,Ertiga,MT
SAL000191,VIN0000192,DLR011,CUST10715,2025-09-15,9,1,2025,1134560,75,15900,0,1,Alto,Delta
SAL000192,VIN0000193,DLR024,CUST21215,2025-08-09,8,1,2025,1102553,53,28586,1,0,Ertiga,ZXI
SAL000193,VIN0000194,DLR028,CUST19704,2025-12-13,12,1,2025,994356,21,6948,1,0,Swift,AGS
SAL000194,VIN0000195,DLR001,CUST07437,2025-06-08,6,1,2025,1128853,62,16795,1,0,Baleno,Sigma
SAL000195,VIN0000196,DLR015,CUST07029,2025-03-10,3,1,2025,624970,58,18558,1,0,Baleno,Alpha
SAL000196,VIN0000197,DLR004,CUST05013,2025-10-23,10,1,2025,838863,29,22846,1,1,Swift,Alpha
SAL000197,VIN0000198,DLR026,CUST01107,2025-04-10,4,1,2025,531153,28,44553,1,0,Ignis,LXI
SAL000198,VIN0000199,DLR022,CUST04131,2025-06-07,6,1,2025,991310,64,22046,1,1,Ertiga,ZXI
SAL000199,VIN0000200,DLR019,CUST07807,2025-12-22,12,1,2025,784324,32,40998,1,1,Swift,Delta
SAL000200,VIN0000201,DLR028,CUST24438,2025-07-24,7,1,2025,938458,44,44923,0,1,Alto,ZXI
SAL000201,VIN0000202,DLR023,CUST09781,2025-10-01,10,1,2025,1176015,76,31104,1,1,Celerio,AGS
SAL000202,VIN0000203,DLR026,CUST16548,2025-03-22,3,1,2025,1452309,44,33411,0,0,Swift,VXI
SAL000203,VIN0000204,DLR005,CUST09451,2025-11-10,11,1,2025,882010,6,26424,1,0,Brezza,ZXI
SAL000204,VIN0000205,DLR024,CUST23617,2025-09-23,9,1,2025,1045014,22,35357,0,1,Ertiga,Alpha
SAL000205,VIN0000206,DLR021,CUST02503,2025-12-20,12,1,2025,1124729,22,6101,1,1,Brezza,Sigma
SAL000206,VIN0000207,DLR002,CUST22652,2025-10-14,10,1,2025,526178,21,31784,0,1,Brezza,MT
SAL000207,VIN0000208,DLR013,CUST08607,2025-05-15,5,1,2025,625514,70,44351,1,0,Baleno,ZXI
SAL000208,VIN0000209,DLR005,CUST20597,2025-02-08,2,1,2025,625311,54,23483,1,0,Dzire,MT
SAL000209,VIN0000210,DLR026,CUST04296,2025-11-01,11,1,2025,1174361,22,13936,1,0,Baleno,ZXI
SAL000210,VIN0000211,DLR012,CUST04251,2025-12-07,12,1,2025,571034,49,9205,0,0,Swift,MT
SAL000211,VIN0000212,DLR008,CUST11098,2025-08-27,8,1,2025,1205718,30,6959,1,0,Swift,ZXI
SAL000212,VIN0000213,DLR020,CUST14101,2025-10-18,10,1,2025,963306,26,38015,1,0,Swift,VXI
SAL000213,VIN0000214,DLR001,CUST00942,2025-06-25,6,1,2025,1010686,38,7714,1,0,Ignis,Delta
SAL000214,VIN0000215,DLR029,CUST24034,2025-07-20,7,1,2025,1480945,28,44896,1,0,Baleno,VXI
SAL000215,VIN0000216,DLR019,CUST00141,2025-04-16,4,1,2025,768982,41,23622,0,0,Ertiga,Alpha
SAL000216,VIN0000217,DLR010,CUST04113,2025-05-24,5,1,2025,1450473,15,20975,0,0,Brezza,Delta
SAL000217,VIN0000218,DLR004,CUST06327,2025-03-20,3,1,2025,1108802,26,16825,0,0,Baleno,Alpha
SAL000218,VIN0000219,DLR019,CUST01088,2025-06-05,6,1,2025,547268,21,6709,1,0,Baleno,ZXI
SAL000219,VIN0000220,DLR026,CUST20696,2025-12-17,12,1,2025,1421459,21,35307,1,0,Grand Vitara,VXI
SAL000220,VIN0000221,DLR026,CUST17730,2025-03-02,3,1,2025,1081405,52,6145,1,0,Alto,LXI
SAL000221,VIN0000222,DLR005,CUST19465,2025-09-03,9,1,2025,768477,6,44298,1,0,Brezza,MT
SAL000222,VIN0000223,DLR021,CUST07694,2025-02-09,2,1,2025,640181,83,20832,0,1,Alto,AGS
SAL000223,VIN0000224,DLR009,CUST15646,2025-04-11,4,1,2025,666069,50,33899,1,0,Alto,ZXI
SAL000224,VIN0000225,DLR017,CUST24823,2025-07-24,7,1,2025,776378,46,41053,0,0,Ignis,AGS
SAL000225,VIN0000226,DLR010,CUST16793,2025-10-18,10,1,2025,1049069,85,11120,1,0,Celerio,LXI
SAL000226,VIN0000227,DLR013,CUST05553,2025-07-19,7,1,2025,1018787,16,18680,0,0,Brezza,Alpha
SAL000227,VIN0000228,DLR011,CUST23044,2025-10-28,10,1,2025,591859,71,8313,1,0,Celerio,AT
SAL000228,VIN0000229,DLR029,CUST05577,2025-07-12,7,1,2025,861938,50,42652,1,0,Celerio,AT
SAL000229,VIN0000230,DLR013,CUST02678,2025-11-11,11,1,2025,628221,48,18203,1,0,Ertiga,Delta
SAL000230,VIN0000231,DLR024,CUST24186,2025-05-21,5,1,2025,1344297,40,9979,1,0,Baleno,VXI
SAL000231,VIN0000232,DLR009,CUST06129,2025-04-27,4,1,2025,681528,35,13794,1,0,Swift,Alpha
