Demand_ID,Date,Year,Month,Day,Day_of_Week,Week_of_Year,Dealer_ID,Dealer_Name,Zone,Warehouse_ID,Part_Number,Description,Inventory_Level,Category_Group,Unit_Of_Measurement,Vehicle_Model,Variant_ID,Fuel_Type,Promotion_Flag,Recall_Flag,New_Vehicle_Flag,Demand_Qty,On_Hand_Qty,Reorder_Point,Min_Order_Qty,SOQ_Suggested_Qty,Manager_Modified_Qty,Fulfillment_Status,Unit_Price,Sales_Value,Stockout_Flag
DMD00033,2025-06-06,2025,6,6,4,1,DLR_011,Maruti Point 11,Unassigned,WH001,PRT_0007,MGP Clutch Plate Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,11,28,28,5,10,10,Fulfilled,3200,3200,0
DMD00034,2025-03-25,2025,3,25,1,1,DLR_009,Chowgule Industries,West,WH001,PRT_0061,MGP Thermostat Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,19,79,49,5,10,10,Fulfilled,1200,4800,0
DMD00035,2025-02-09,2025,2,9,6,1,DLR_006,Bimal Auto,South,WH001,PRT_0077,MGP Wiper Blades Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,15,78,47,5,10,10,Fulfilled,600,1200,0
DMD00036,2025-01-19,2025,1,19,6,1,DLR_014,Maruti Point 14,Unassigned,WH001,PRT_0049,MGP Spark Plug Type 4,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,4,67,30,5,10,10,Fulfilled,250,1250,0
DMD00037,2025-08-25,2025,8,25,0,1,DLR_018,Maruti Point 18,Unassigned,WH001,PRT_0012,MGP Radiator Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,14,48,24,5,10,10,Fulfilled,6500,19500,0
DMD00038,2025-08-21,2025,8,21,3,1,DLR_007,Kalyani Motors,South,WH001,PRT_0079,MGP Thermostat Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,15,65,32,5,10,10,Fulfilled,1200,3600,0
DMD00039,2025-10-22,2025,10,22,2,1,DLR_017,Maruti Point 17,Unassigned,WH001,PRT_0096,MGP Radiator Type 2,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,4,61,33,5,10,10,Fulfilled,6500,13000,0
DMD00040,2025-10-18,2025,10,18,5,1,DLR_004,Varun Motors,South,WH001,PRT_0081,MGP Headlight Bulb Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,20,42,26,5,10,10,Fulfilled,850,3400,0
DMD00041,2025-04-28,2025,4,28,0,1,DLR_003,Popular Maruti,South,WH001,PRT_0056,MGP Alternator Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,16,42,21,5,10,10,Fulfilled,5600,16800,0
DMD00042,2025-08-09,2025,8,9,5,1,DLR_016,Maruti Point 16,Unassigned,WH001,PRT_0062,MGP Air Filter Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,3,60,50,5,10,10,Fulfilled,450,900,0
DMD00043,2025-05-17,2025,5,17,5,1,DLR_008,Mandovi Motors,South,WH001,PRT_0065,MGP Alternator Type 4,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,3,57,33,5,10,10,Fulfilled,5600,28000,0
DMD00044,2025-10-27,2025,10,27,0,1,DLR_003,Popular Maruti,South,WH001,PRT_0071,MGP Radiator Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,16,54,31,5,10,10,Fulfilled,6500,32500,0
DMD00045,2025-09-28,2025,9,28,6,1,DLR_028,Maruti Point 28,Unassigned,WH001,PRT_0086,MGP Headlight Bulb Type 3,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,6,64,18,5,10,10,Fulfilled,850,4250,0
DMD00046,2025-01-02,2025,1,2,3,1,DLR_002,Vitesse Motors,West,WH001,PRT_0082,MGP Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,10,30,10,5,10,10,Fulfilled,450,1350,0
DMD00047,2025-08-08,2025,8,8,4,1,DLR_024,Maruti Point 24,Unassigned,WH001,PRT_0015,MGP Timing Belt Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,10,68,45,5,10,10,Fulfilled,1500,1500,0
DMD00048,2025-10-03,2025,10,3,4,1,DLR_011,Maruti Point 11,Unassigned,WH001,PRT_0094,MGP Thermostat Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,6,46,27,5,10,10,Fulfilled,1200,3600,0
DMD00049,2025-11-24,2025,11,24,0,1,DLR_014,Maruti Point 14,Unassigned,WH001,PRT_0017,MGP Radiator Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,7,24,16,5,10,10,Fulfilled,6500,32500,0
DMD00050,2025-01-25,2025,1,25,5,1,DLR_008,Mandovi Motors,South,WH001,PRT_0032,MGP Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,8,57,36,5,10,10,Fulfilled,450,900,0
DMD00051,2025-12-12,2025,12,12,4,1,DLR_012,Maruti Point 12,Unassigned,WH001,PRT_0025,MGP Fuel Pump Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,19,60,40,5,10,10,Fulfilled,4200,21000,0
DMD00052,2025-07-26,2025,7,26,5,1,DLR_001,Competent Automobiles,North,WH001,PRT_0074,MGP Alternator Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,4,67,21,5,10,10,Fulfilled,5600,28000,0
DMD00053,2025-09-16,2025,9,16,1,1,DLR_013,Maruti Point 13,Unassigned,WH001,PRT_0001,MGP Spark Plug Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,16,70,50,5,10,10,Fulfilled,250,1250,0
DMD00054,2025-03-25,2025,3,25,1,1,DLR_021,Maruti Point 21,Unassigned,WH001,PRT_0071,MGP Radiator Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,15,52,40,5,10,10,Fulfilled,6500,26000,0
DMD00055,2025-10-16,2025,10,16,3,1,DLR_008,Mandovi Motors,South,WH001,PRT_0007,MGP Clutch Plate Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,17,88,47,5,10,10,Fulfilled,3200,6400,0
DMD00056,2025-07-14,2025,7,14,0,1,DLR_028,Maruti Point 28,Unassigned,WH001,PRT_0056,MGP Alternator Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,16,36,41,5,10,10,Fulfilled,5600,28000,1
DMD00057,2025-06-01,2025,6,1,6,1,DLR_026,Maruti Point 26,Unassigned,WH001,PRT_0042,MGP Thermostat Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,10,56,13,5,10,10,Fulfilled,1200,3600,0
DMD00058,2025-01-15,2025,1,15,2,1,DLR_012,Maruti Point 12,Unassigned,WH001,PRT_0085,MGP Cabin Air Filter Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,6,73,48,5,10,10,Fulfilled,550,2750,0
DMD00059,2025-12-01,2025,12,1,0,1,DLR_029,Maruti Point 29,Unassigned,WH001,PRT_0094,MGP Thermostat Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,20,39,11,5,10,10,Fulfilled,1200,2400,0
DMD00060,2025-12-05,2025,12,5,4,1,DLR_023,Maruti Point 23,Unassigned,WH001,PRT_0024,MGP Headlight Bulb Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,17,47,19,5,10,10,Fulfilled,850,1700,0
DMD00061,2025-07-08,2025,7,8,1,1,DLR_012,Maruti Point 12,Unassigned,WH001,PRT_0038,MGP Air Filter Type 4,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,3,19,49,5,10,10,Fulfilled,450,1350,1
DMD00062,2025-02-03,2025,2,3,0,1,DLR_014,Maruti Point 14,Unassigned,WH001,PRT_0064,MGP Headlight Bulb Type 1,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,19,43,30,5,10,10,Fulfilled,850,4250,0
DMD00063,2025-12-26,2025,12,26,4,1,DLR_027,Maruti Point 27,Unassigned,WH001,PRT_0099,MGP Clutch Plate Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,11,67,27,5,10,10,Fulfilled,3200,16000,0
DMD00064,2025-10-26,2025,10,26,6,1,DLR_003,Popular Maruti,South,WH001,PRT_0092,MGP Oil Filter Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,2,74,45,5,10,10,Fulfilled,320,1600,0
DMD00065,2025-05-01,2025,5,1,3,1,DLR_022,Maruti Point 22,Unassigned,WH001,PRT_0065,MGP Alternator Type 4,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,7,78,30,5,10,10,Fulfilled,5600,28000,0
DMD00066,2025-06-07,2025,6,7,5,1,DLR_026,Maruti Point 26,Unassigned,WH001,PRT_0001,MGP Spark Plug Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,16,70,31,5,10,10,Fulfilled,250,500,0
DMD00067,2025-04-28,2025,4,28,0,1,DLR_014,Maruti Point 14,Unassigned,WH001,PRT_0067,MGP Wiper Blades Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,15,35,33,5,10,10,Fulfilled,600,600,0
DMD00068,2025-04-28,2025,4,28,0,1,DLR_012,Maruti Point 12,Unassigned,WH001,PRT_0011,MGP Air Filter Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,15,26,48,5,10,10,Fulfilled,450,900,1
DMD00069,2025-03-18,2025,3,18,1,1,DLR_003,Popular Maruti,South,WH001,PRT_0100,MGP Thermostat Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,8,69,34,5,10,10,Fulfilled,1200,6000,0
DMD00070,2025-03-16,2025,3,16,6,1,DLR_015,Maruti Point 15,Unassigned,WH001,PRT_0004,MGP Fuel Pump Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,8,64,43,5,10,10,Fulfilled,4200,16800,0
DMD00071,2025-03-04,2025,3,4,1,1,DLR_019,Maruti Point 19,Unassigned,WH001,PRT_0072,MGP Radiator Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,10,56,46,5,10,10,Fulfilled,6500,6500,0
DMD00072,2025-02-16,2025,2,16,6,1,DLR_008,Mandovi Motors,South,WH001,PRT_0061,MGP Thermostat Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,7,81,37,5,10,10,Fulfilled,1200,6000,0
DMD00073,2025-06-17,2025,6,17,1,1,DLR_002,Vitesse Motors,West,WH001,PRT_0068,MGP Wiper Blades Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,9,71,36,5,10,10,Fulfilled,600,3000,0
DMD00074,2025-09-04,2025,9,4,3,1,DLR_007,Kalyani Motors,South,WH001,PRT_0055,MGP Fuel Pump Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,18,32,20,5,10,10,Fulfilled,4200,16800,0
DMD00075,2025-11-14,2025,11,14,4,1,DLR_014,Maruti Point 14,Unassigned,WH001,PRT_0044,MGP Radiator Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,16,30,35,5,10,10,Fulfilled,6500,19500,1
DMD00076,2025-10-12,2025,10,12,6,1,DLR_030,Maruti Point 30,Unassigned,WH001,PRT_0045,MGP Alternator Type 3,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,11,72,25,5,10,10,Fulfilled,5600,16800,0
DMD00077,2025-06-24,2025,6,24,1,1,DLR_004,Varun Motors,South,WH001,PRT_0001,MGP Spark Plug Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,5,68,38,5,10,10,Fulfilled,250,750,0
DMD00078,2025-01-06,2025,1,6,0,1,DLR_001,Competent Automobiles,North,WH001,PRT_0038,MGP Air Filter Type 4,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,20,85,44,5,10,10,Fulfilled,450,2250,0
DMD00079,2025-01-21,2025,1,21,1,1,DLR_018,Maruti Point 18,Unassigned,WH001,PRT_0009,MGP Fuel Pump Type 4,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,17,50,30,5,10,10,Fulfilled,4200,16800,0
DMD00080,2025-06-16,2025,6,16,0,1,DLR_005,Sai Service,West,WH001,PRT_0028,MGP Oil Filter Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,16,83,33,5,10,10,Fulfilled,320,640,0
DMD00081,2025-01-05,2025,1,5,6,1,DLR_002,Vitesse Motors,West,WH001,PRT_0068,MGP Wiper Blades Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,10,18,17,5,10,10,Fulfilled,600,600,0
DMD00082,2025-08-24,2025,8,24,6,1,DLR_012,Maruti Point 12,Unassigned,WH001,PRT_0008,MGP Radiator Type 2,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,8,66,29,5,10,10,Fulfilled,6500,6500,0
DMD00083,2025-01-17,2025,1,17,4,1,DLR_013,Maruti Point 13,Unassigned,WH001,PRT_0049,MGP Spark Plug Type 4,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,4,86,37,5,10,10,Fulfilled,250,250,0
DMD00084,2025-06-21,2025,6,21,5,1,DLR_011,Maruti Point 11,Unassigned,WH001,PRT_0082,MGP Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,8,42,37,5,10,10,Fulfilled,450,1350,0
DMD00085,2025-05-15,2025,5,15,3,1,DLR_001,Competent Automobiles,North,WH001,PRT_0091,MGP Spark Plug Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,2,34,32,5,10,10,Fulfilled,250,250,0
DMD00086,2025-06-18,2025,6,18,2,1,DLR_028,Maruti Point 28,Unassigned,WH001,PRT_0040,MGP Cabin Air Filter Type 5,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,5,82,45,5,10,10,Fulfilled,550,1100,0
DMD00087,2025-01-13,2025,1,13,0,1,DLR_021,Maruti Point 21,Unassigned,WH001,PRT_0062,MGP Air Filter Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,2,85,46,5,10,10,Fulfilled,450,1800,0
DMD00088,2025-05-20,2025,5,20,1,1,DLR_010,Machino Techno,East,WH001,PRT_0078,MGP Wiper Blades Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,12,78,37,5,10,10,Fulfilled,600,3000,0
DMD00089,2025-04-26,2025,4,26,5,1,DLR_002,Vitesse Motors,West,WH001,PRT_0087,MGP Battery Type 1,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,7,58,23,5,10,10,Fulfilled,4500,18000,0
DMD00090,2025-03-28,2025,3,28,4,1,DLR_010,Machino Techno,East,WH001,PRT_0063,MGP Radiator Type 4,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,17,53,33,5,10,10,Fulfilled,6500,6500,0
DMD00091,2025-09-24,2025,9,24,2,1,DLR_016,Maruti Point 16,Unassigned,WH001,PRT_0005,MGP Alternator Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,10,36,32,5,10,10,Fulfilled,5600,11200,0
DMD00092,2025-11-21,2025,11,21,4,1,DLR_009,Chowgule Industries,West,WH001,PRT_0035,MGP Fuel Pump Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,14,89,49,5,10,10,Fulfilled,4200,16800,0
DMD00093,2025-11-20,2025,11,20,3,1,DLR_023,Maruti Point 23,Unassigned,WH001,PRT_0032,MGP Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,2,11,12,5,10,10,Fulfilled,450,1350,1
DMD00094,2025-10-23,2025,10,23,3,1,DLR_012,Maruti Point 12,Unassigned,WH001,PRT_0028,MGP Oil Filter Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,18,71,27,5,10,10,Fulfilled,320,1600,0
DMD00095,2025-07-16,2025,7,16,2,1,DLR_026,Maruti Point 26,Unassigned,WH001,PRT_0095,MGP Radiator Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,10,36,30,5,10,10,Fulfilled,6500,6500,0
DMD00096,2025-07-04,2025,7,4,4,1,DLR_022,Maruti Point 22,Unassigned,WH001,PRT_0074,MGP Alternator Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,19,49,13,5,10,10,Fulfilled,5600,28000,0
DMD00097,2025-02-16,2025,2,16,6,1,DLR_015,Maruti Point 15,Unassigned,WH001,PRT_0027,MGP Radiator Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,4,79,47,5,10,10,Fulfilled,6500,26000,0
DMD00098,2025-09-04,2025,9,4,3,1,DLR_014,Maruti Point 14,Unassigned,WH001,PRT_0069,MGP Shock Absorber Type 1,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,18,25,11,5,10,10,Fulfilled,2800,8400,0
DMD00099,2025-02-22,2025,2,22,5,1,DLR_013,Maruti Point 13,Unassigned,WH001,PRT_0078,MGP Wiper Blades Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,2,39,16,5,10,10,Fulfilled,600,600,0
DMD00100,2025-06-09,2025,6,9,0,1,DLR_013,Maruti Point 13,Unassigned,WH001,PRT_0033,MGP Timing Belt Type 2,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,12,43,34,5,10,10,Fulfilled,1500,6000,0
DMD00101,2025-03-28,2025,3,28,4,1,DLR_008,Mandovi Motors,South,WH001,PRT_0015,MGP Timing Belt Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,5,42,36,5,10,10,Fulfilled,1500,6000,0
DMD00102,2025-09-15,2025,9,15,0,1,DLR_013,Maruti Point 13,Unassigned,WH001,PRT_0076,MGP Fuel Pump Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,19,70,20,5,10,10,Fulfilled,4200,12600,0
DMD00103,2025-12-21,2025,12,21,6,1,DLR_030,Maruti Point 30,Unassigned,WH001,PRT_0064,MGP Headlight Bulb Type 1,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,9,60,29,5,10,10,Fulfilled,850,2550,0
DMD00104,2025-01-21,2025,1,21,1,1,DLR_002,Vitesse Motors,West,WH001,PRT_0072,MGP Radiator Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,15,81,42,5,10,10,Fulfilled,6500,6500,0
DMD00105,2025-11-08,2025,11,8,5,1,DLR_015,Maruti Point 15,Unassigned,WH001,PRT_0030,MGP Alternator Type 3,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,16,24,31,5,10,10,Fulfilled,5600,5600,1
DMD00106,2025-01-09,2025,1,9,3,1,DLR_030,Maruti Point 30,Unassigned,WH001,PRT_0055,MGP Fuel Pump Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,9,31,15,5,10,10,Fulfilled,4200,16800,0
