Part_Number,Description,Category_Group,MRP_Base,Inventory_Level,Unit_Of_Measurement
PRT_0061,MGP Cabin Air Filter Type 4,Consumable,550,In Stock,Each
PRT_0062,MGP Brake Pads Type 3,Mechanical,1850,In Stock,Each
PRT_0063,MGP Headlight Bulb Type 5,Electrical,850,In Stock,Each
PRT_0064,MGP Spark Plug Type 3,Electrical,250,In Stock,Each
PRT_0065,MGP Alternator Type 2,Electrical,5600,In Stock,Each
PRT_0066,MGP Air Filter Type 4,Consumable,450,In Stock,Each
PRT_0067,MGP Battery Type 1,Electrical,4500,In Stock,Each
PRT_0068,MGP Spark Plug Type 4,Electrical,250,In Stock,Each
PRT_0069,MGP Oil Filter Type 5,Consumable,320,In Stock,Each
PRT_0070,MGP Spark Plug Type 2,Electrical,250,In Stock,Each
PRT_0071,MGP Wiper Blades Type 5,Consumable,600,In Stock,Each
PRT_0072,MGP Radiator Type 4,Mechanical,6500,In Stock,Each
PRT_0073,MGP Timing Belt Type 2,Mechanical,1500,In Stock,Each
PRT_0074,MGP Timing Belt Type 4,Mechanical,1500,In Stock,Each
PRT_0075,MGP Alternator Type 5,Electrical,5600,In Stock,Each
PRT_0076,MGP Thermostat Type 4,Mechanical,1200,In Stock,Each
PRT_0077,MGP Timing Belt Type 2,Mechanical,1500,In Stock,Each
PRT_0078,MGP Alternator Type 3,Electrical,5600,In Stock,Each
PRT_0079,MGP Spark Plug Type 4,Electrical,250,In Stock,Each
PRT_0080,MGP Cabin Air Filter Type 5,Consumable,550,In Stock,Each
PRT_0081,MGP Shock Absorber Type 4,Mechanical,2800,In Stock,Each
PRT_0082,MGP Cabin Air Filter Type 5,Consumable,550,In Stock,Each
PRT_0083,MGP Battery Type 3,Electrical,4500,In Stock,Each
PRT_0084,MGP Air Filter Type 3,Consumable,450,In Stock,Each
PRT_0085,MGP Clutch Plate Type 2,Mechanical,3200,In Stock,Each
PRT_0086,MGP Oil Filter Type 4,Consumable,320,In Stock,Each
PRT_0087,MGP Oil Filter Type 5,Consumable,320,In Stock,Each
PRT_0088,MGP Thermostat Type 1,Mechanical,1200,In Stock,Each
PRT_0089,MGP Alternator Type 5,Electrical,5600,In Stock,Each
PRT_0090,MGP Clutch Plate Type 5,Mechanical,3200,In Stock,Each
PRT_0091,MGP Thermostat Type 3,Mechanical,1200,In Stock,Each
PRT_0092,MGP Headlight Bulb Type 5,Electrical,850,In Stock,Each
PRT_0093,MGP Cabin Air Filter Type 2,Consumable,550,In Stock,Each
PRT_0094,MGP Thermostat Type 4,Mechanical,1200,In Stock,Each
PRT_0095,MGP Spark Plug Type 3,Electrical,250,In Stock,Each
PRT_0096,MGP Fuel Pump Type 5,Mechanical,4200,In Stock,Each
PRT_0097,MGP Clutch Plate Type 3,Mechanical,3200,In Stock,Each
PRT_0098,MGP Thermostat Type 5,Mechanical,1200,In Stock,Each
PRT_0099,MGP Cabin Air Filter Type 1,Consumable,550,In Stock,Each
PRT_0100,MGP Timing Belt Type 2,Mechanical,1500,In Stock,Each
