Chassis_Number,Engine_Number,Model_Code,Variant_ID,Color,Fuel_Type,Transmission_Type,Model_Year
VIN00110,ENG-VIN00110,Brezza,VXI,Midnight Black,CNG,Automatic,2024
VIN00111,ENG-VIN00111,Dzire,VXI,Midnight Black,CNG,Automatic,2024
VIN00112,ENG-VIN00112,Celerio,VXI,Magma Grey,Petrol,Manual,2024
VIN00113,ENG-VIN00113,Ertiga,VXI,Arctic White,Petrol,Manual,2024
VIN00114,ENG-VIN00114,Alto,VXI,Magma Grey,Petrol,Manual,2024
VIN00115,ENG-VIN00115,Alto,VXI,Magma Grey,Petrol,Automatic,2024
VIN00116,ENG-VIN00116,Ignis,VXI,Magma Grey,Petrol,Manual,2024
VIN00117,ENG-VIN00117,Swift,VXI,Midnight Black,Petrol,Automatic,2024
VIN00118,ENG-VIN00118,Ignis,VXI,Arctic White,CNG,Automatic,2024
VIN00119,ENG-VIN00119,Celerio,VXI,Arctic White,CNG,Automatic,2024
VIN00120,ENG-VIN00120,Celerio,VXI,Magma Grey,Petrol,Manual,2024
VIN00121,ENG-VIN00121,Swift,VXI,Magma Grey,CNG,Manual,2024
VIN00122,ENG-VIN00122,Ertiga,VXI,Magma Grey,Petrol,Manual,2024
VIN00123,ENG-VIN00123,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00124,ENG-VIN00124,Ignis,VXI,Arctic White,Petrol,Automatic,2024
VIN00125,ENG-VIN00125,Celerio,VXI,Arctic White,Petrol,Automatic,2024
VIN00126,ENG-VIN00126,Celerio,VXI,Arctic White,CNG,Automatic,2024
VIN00127,ENG-VIN00127,Alto,VXI,Arctic White,Petrol,Automatic,2024
VIN00128,ENG-VIN00128,Swift,VXI,Magma Grey,Petrol,Automatic,2024
VIN00129,ENG-VIN00129,Ertiga,VXI,Arctic White,CNG,Automatic,2024
VIN00130,ENG-VIN00130,Grand Vitara,VXI,Arctic White,Petrol,Automatic,2024
VIN00131,ENG-VIN00131,Swift,VXI,Midnight Black,CNG,Manual,2024
VIN00132,ENG-VIN00132,Baleno,VXI,Arctic White,Petrol,Manual,2024
VIN00133,ENG-VIN00133,Ignis,VXI,Midnight Black,Petrol,Automatic,2024
VIN00134,ENG-VIN00134,Alto,VXI,Magma Grey,Petrol,Automatic,2024
VIN00135,ENG-VIN00135,Dzire,VXI,Arctic White,CNG,Automatic,2024
VIN00136,ENG-VIN00136,Brezza,VXI,Magma Grey,Petrol,Manual,2024
VIN00137,ENG-VIN00137,Ertiga,VXI,Magma Grey,CNG,Manual,2024
VIN00138,ENG-VIN00138,Alto,VXI,Magma Grey,CNG,Automatic,2024
VIN00139,ENG-VIN00139,Celerio,VXI,Magma Grey,CNG,Manual,2024
VIN00140,ENG-VIN00140,Ignis,VXI,Arctic White,CNG,Manual,2024
VIN00141,ENG-VIN00141,Swift,VXI,Magma Grey,CNG,Automatic,2024
VIN00142,ENG-VIN00142,Ertiga,VXI,Arctic White,CNG,Manual,2024
VIN00143,ENG-VIN00143,Grand Vitara,VXI,Magma Grey,CNG,Automatic,2024
VIN00144,ENG-VIN00144,Baleno,VXI,Magma Grey,CNG,Automatic,2024
VIN00145,ENG-VIN00145,Brezza,VXI,Magma Grey,CNG,Automatic,2024
VIN00146,ENG-VIN00146,Brezza,VXI,Midnight Black,CNG,Manual,2024
VIN00147,ENG-VIN00147,Brezza,VXI,Magma Grey,CNG,Manual,2024
VIN00148,ENG-VIN00148,Baleno,VXI,Midnight Black,CNG,Manual,2024
VIN00149,ENG-VIN00149,Baleno,VXI,Magma Grey,Petrol,Manual,2024
VIN00150,ENG-VIN00150,Dzire,VXI,Midnight Black,CNG,Automatic,2024
VIN00151,ENG-VIN00151,Alto,VXI,Arctic White,Petrol,Automatic,2024
VIN00152,ENG-VIN00152,Baleno,VXI,Arctic White,Petrol,Automatic,2024
VIN00153,ENG-VIN00153,Alto,VXI,Midnight Black,Petrol,Manual,2024
VIN00154,ENG-VIN00154,Celerio,VXI,Midnight Black,Petrol,Automatic,2024
VIN00155,ENG-VIN00155,Celerio,VXI,Midnight Black,CNG,Automatic,2024
VIN00156,ENG-VIN00156,Celerio,VXI,Arctic White,Petrol,Automatic,2024
VIN00157,ENG-VIN00157,Celerio,VXI,Midnight Black,Petrol,Automatic,2024
VIN00158,ENG-VIN00158,Brezza,VXI,Magma Grey,CNG,Automatic,2024
VIN00159,ENG-VIN00159,Baleno,VXI,Midnight Black,CNG,Automatic,2024
VIN00160,ENG-VIN00160,Ignis,VXI,Arctic White,CNG,Automatic,2024
VIN00161,ENG-VIN00161,Ertiga,VXI,Magma Grey,Petrol,Manual,2024
VIN00162,ENG-VIN00162,Swift,VXI,Arctic White,Petrol,Manual,2024
VIN00163,ENG-VIN00163,Dzire,VXI,Magma Grey,CNG,Automatic,2024
VIN00164,ENG-VIN00164,Brezza,VXI,Midnight Black,Petrol,Manual,2024
VIN00165,ENG-VIN00165,Baleno,VXI,Midnight Black,CNG,Manual,2024
VIN00166,ENG-VIN00166,Baleno,VXI,Arctic White,CNG,Automatic,2024
VIN00167,ENG-VIN00167,Ignis,VXI,Arctic White,CNG,Manual,2024
VIN00168,ENG-VIN00168,Grand Vitara,VXI,Arctic White,Petrol,Manual,2024
VIN00169,ENG-VIN00169,Ignis,VXI,Magma Grey,CNG,Manual,2024
VIN00170,ENG-VIN00170,Brezza,VXI,Arctic White,Petrol,Automatic,2024
VIN00171,ENG-VIN00171,Baleno,VXI,Magma Grey,CNG,Manual,2024
VIN00172,ENG-VIN00172,Brezza,VXI,Arctic White,Petrol,Automatic,2024
VIN00173,ENG-VIN00173,Swift,VXI,Arctic White,CNG,Manual,2024
VIN00174,ENG-VIN00174,Celerio,VXI,Arctic White,CNG,Automatic,2024
VIN00175,ENG-VIN00175,Alto,VXI,Midnight Black,CNG,Manual,2024
VIN00176,ENG-VIN00176,Swift,VXI,Magma Grey,CNG,Manual,2024
VIN00177,ENG-VIN00177,Swift,VXI,Arctic White,Petrol,Manual,2024
VIN00178,ENG-VIN00178,Alto,VXI,Magma Grey,CNG,Manual,2024
VIN00179,ENG-VIN00179,Celerio,VXI,Magma Grey,CNG,Automatic,2024
VIN00180,ENG-VIN00180,Ignis,VXI,Magma Grey,CNG,Manual,2024
VIN00181,ENG-VIN00181,Ertiga,VXI,Magma Grey,Petrol,Manual,2024
VIN00182,ENG-VIN00182,Brezza,VXI,Magma Grey,Petrol,Automatic,2024
VIN00183,ENG-VIN00183,Ertiga,VXI,Magma Grey,CNG,Automatic,2024
VIN00184,ENG-VIN00184,Ertiga,VXI,Arctic White,CNG,Manual,2024
VIN00185,ENG-VIN00185,Swift,VXI,Arctic White,Petrol,Automatic,2024
VIN00186,ENG-VIN00186,Ignis,VXI,Midnight Black,CNG,Manual,2024
VIN00187,ENG-VIN00187,Celerio,VXI,Arctic White,CNG,Automatic,2024
VIN00188,ENG-VIN00188,Ignis,VXI,Arctic White,Petrol,Automatic,2024
VIN00189,ENG-VIN00189,Celerio,VXI,Magma Grey,CNG,Automatic,2024
VIN00190,ENG-VIN00190,Baleno,VXI,Magma Grey,Petrol,Automatic,2024
VIN00191,ENG-VIN00191,Ertiga,VXI,Magma Grey,CNG,Automatic,2024
VIN00192,ENG-VIN00192,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00193,ENG-VIN00193,Dzire,VXI,Arctic White,CNG,Automatic,2024
VIN00194,ENG-VIN00194,Dzire,VXI,Midnight Black,CNG,Manual,2024
VIN00195,ENG-VIN00195,Dzire,VXI,Magma Grey,Petrol,Manual,2024
VIN00196,ENG-VIN00196,Brezza,VXI,Magma Grey,Petrol,Automatic,2024
VIN00197,ENG-VIN00197,Baleno,VXI,Midnight Black,Petrol,Manual,2024
VIN00198,ENG-VIN00198,Swift,VXI,Midnight Black,Petrol,Manual,2024
VIN00199,ENG-VIN00199,Alto,VXI,Magma Grey,Petrol,Automatic,2024
VIN00200,ENG-VIN00200,Swift,VXI,Arctic White,CNG,Manual,2024
VIN00201,ENG-VIN00201,Brezza,VXI,Midnight Black,Petrol,Automatic,2024
VIN00202,ENG-VIN00202,Swift,VXI,Midnight Black,CNG,Manual,2024
VIN00203,ENG-VIN00203,Dzire,VXI,Arctic White,CNG,Manual,2024
VIN00204,ENG-VIN00204,Dzire,VXI,Magma Grey,CNG,Manual,2024
VIN00205,ENG-VIN00205,Baleno,VXI,Midnight Black,Petrol,Manual,2024
VIN00206,ENG-VIN00206,Grand Vitara,VXI,Midnight Black,Petrol,Manual,2024
VIN00207,ENG-VIN00207,Alto,VXI,Magma Grey,Petrol,Manual,2024
VIN00208,ENG-VIN00208,Baleno,VXI,Arctic White,Petrol,Automatic,2024
VIN00209,ENG-VIN00209,Grand Vitara,VXI,Magma Grey,CNG,Manual,2024
VIN00210,ENG-VIN00210,Dzire,VXI,Magma Grey,Petrol,Automatic,2024
VIN00211,ENG-VIN00211,Brezza,VXI,Midnight Black,CNG,Automatic,2024
VIN00212,ENG-VIN00212,Dzire,VXI,Magma Grey,Petrol,Manual,2024
VIN00213,ENG-VIN00213,Grand Vitara,VXI,Midnight Black,Petrol,Automatic,2024
VIN00214,ENG-VIN00214,Dzire,VXI,Midnight Black,Petrol,Manual,2024
VIN00215,ENG-VIN00215,Baleno,VXI,Midnight Black,Petrol,Manual,2024
VIN00216,ENG-VIN00216,Ignis,VXI,Magma Grey,Petrol,Manual,2024
VIN00217,ENG-VIN00217,Dzire,VXI,Magma Grey,CNG,Automatic,2024
VIN00218,ENG-VIN00218,Dzire,VXI,Arctic White,Petrol,Manual,2024
VIN00219,ENG-VIN00219,Dzire,VXI,Arctic White,CNG,Automatic,2024
VIN00220,ENG-VIN00220,Grand Vitara,VXI,Midnight Black,Petrol,Manual,2024
VIN00221,ENG-VIN00221,Ertiga,VXI,Arctic White,Petrol,Automatic,2024
VIN00222,ENG-VIN00222,Alto,VXI,Arctic White,CNG,Manual,2024
VIN00223,ENG-VIN00223,Swift,VXI,Arctic White,CNG,Automatic,2024
VIN00224,ENG-VIN00224,Brezza,VXI,Arctic White,Petrol,Manual,2024
VIN00225,ENG-VIN00225,Ignis,VXI,Midnight Black,CNG,Automatic,2024
VIN00226,ENG-VIN00226,Ertiga,VXI,Midnight Black,Petrol,Manual,2024
VIN00227,ENG-VIN00227,Alto,VXI,Magma Grey,Petrol,Manual,2024
VIN00228,ENG-VIN00228,Swift,VXI,Magma Grey,CNG,Automatic,2024
VIN00229,ENG-VIN00229,Alto,VXI,Arctic White,Petrol,Manual,2024
VIN00230,ENG-VIN00230,Baleno,VXI,Magma Grey,Petrol,Automatic,2024
VIN00231,ENG-VIN00231,Grand Vitara,VXI,Magma Grey,Petrol,Automatic,2024
VIN00232,ENG-VIN00232,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00233,ENG-VIN00233,Brezza,VXI,Midnight Black,Petrol,Manual,2024
VIN00234,ENG-VIN00234,Brezza,VXI,Midnight Black,CNG,Manual,2024
VIN00235,ENG-VIN00235,Dzire,VXI,Magma Grey,Petrol,Manual,2024
VIN00236,ENG-VIN00236,Alto,VXI,Midnight Black,CNG,Manual,2024
VIN00237,ENG-VIN00237,Grand Vitara,VXI,Arctic White,CNG,Automatic,2024
VIN00238,ENG-VIN00238,Ignis,VXI,Arctic White,CNG,Manual,2024
VIN00239,ENG-VIN00239,Ignis,VXI,Midnight Black,CNG,Automatic,2024
VIN00240,ENG-VIN00240,Baleno,VXI,Arctic White,Petrol,Manual,2024
VIN00241,ENG-VIN00241,Grand Vitara,VXI,Arctic White,CNG,Manual,2024
VIN00242,ENG-VIN00242,Baleno,VXI,Magma Grey,Petrol,Manual,2024
VIN00243,ENG-VIN00243,Swift,VXI,Arctic White,Petrol,Automatic,2024
VIN00244,ENG-VIN00244,Grand Vitara,VXI,Magma Grey,Petrol,Manual,2024
VIN00245,ENG-VIN00245,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00246,ENG-VIN00246,Alto,VXI,Midnight Black,CNG,Manual,2024
VIN00247,ENG-VIN00247,Dzire,VXI,Magma Grey,CNG,Manual,2024
VIN00248,ENG-VIN00248,Brezza,VXI,Midnight Black,CNG,Automatic,2024
VIN00249,ENG-VIN00249,Celerio,VXI,Arctic White,Petrol,Automatic,2024
VIN00250,ENG-VIN00250,Brezza,VXI,Magma Grey,CNG,Automatic,2024
VIN00251,ENG-VIN00251,Celerio,VXI,Midnight Black,CNG,Manual,2024
VIN00252,ENG-VIN00252,Baleno,VXI,Arctic White,Petrol,Automatic,2024
VIN00253,ENG-VIN00253,Swift,VXI,Midnight Black,Petrol,Manual,2024
VIN00254,ENG-VIN00254,Alto,VXI,Midnight Black,Petrol,Automatic,2024
VIN00255,ENG-VIN00255,Baleno,VXI,Magma Grey,CNG,Automatic,2024
VIN00256,ENG-VIN00256,Swift,VXI,Arctic White,CNG,Manual,2024
VIN00257,ENG-VIN00257,Brezza,VXI,Magma Grey,Petrol,Automatic,2024
VIN00258,ENG-VIN00258,Ertiga,VXI,Midnight Black,CNG,Automatic,2024
VIN00259,ENG-VIN00259,Celerio,VXI,Arctic White,CNG,Automatic,2024
VIN00260,ENG-VIN00260,Ignis,VXI,Midnight Black,CNG,Automatic,2024
VIN00261,ENG-VIN00261,Grand Vitara,VXI,Arctic White,Petrol,Manual,2024
VIN00262,ENG-VIN00262,Grand Vitara,VXI,Magma Grey,CNG,Automatic,2024
VIN00263,ENG-VIN00263,Brezza,VXI,Arctic White,CNG,Manual,2024
VIN00264,ENG-VIN00264,Celerio,VXI,Midnight Black,CNG,Manual,2024
VIN00265,ENG-VIN00265,Ignis,VXI,Arctic White,Petrol,Manual,2024
VIN00266,ENG-VIN00266,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00267,ENG-VIN00267,Dzire,VXI,Midnight Black,Petrol,Automatic,2024
VIN00268,ENG-VIN00268,Baleno,VXI,Midnight Black,Petrol,Automatic,2024
VIN00269,ENG-VIN00269,Brezza,VXI,Arctic White,CNG,Manual,2024
VIN00270,ENG-VIN00270,Alto,VXI,Arctic White,CNG,Manual,2024
VIN00271,ENG-VIN00271,Baleno,VXI,Midnight Black,Petrol,Manual,2024
VIN00272,ENG-VIN00272,Grand Vitara,VXI,Magma Grey,Petrol,Manual,2024
VIN00273,ENG-VIN00273,Ignis,VXI,Arctic White,Petrol,Automatic,2024
VIN00274,ENG-VIN00274,Alto,VXI,Magma Grey,Petrol,Manual,2024
VIN00275,ENG-VIN00275,Ertiga,VXI,Midnight Black,Petrol,Manual,2024
VIN00276,ENG-VIN00276,Ignis,VXI,Arctic White,Petrol,Manual,2024
VIN00277,ENG-VIN00277,Brezza,VXI,Arctic White,Petrol,Automatic,2024
VIN00278,ENG-VIN00278,Brezza,VXI,Magma Grey,Petrol,Manual,2024
VIN00279,ENG-VIN00279,Ignis,VXI,Arctic White,Petrol,Manual,2024
VIN00280,ENG-VIN00280,Ertiga,VXI,Magma Grey,CNG,Automatic,2024
VIN00281,ENG-VIN00281,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00282,ENG-VIN00282,Baleno,VXI,Arctic White,CNG,Automatic,2024
VIN00283,ENG-VIN00283,Grand Vitara,VXI,Magma Grey,CNG,Manual,2024
VIN00284,ENG-VIN00284,Dzire,VXI,Midnight Black,CNG,Manual,2024
VIN00285,ENG-VIN00285,Swift,VXI,Midnight Black,CNG,Manual,2024
VIN00286,ENG-VIN00286,Dzire,VXI,Arctic White,CNG,Automatic,2024
VIN00287,ENG-VIN00287,Brezza,VXI,Arctic White,Petrol,Manual,2024
VIN00288,ENG-VIN00288,Brezza,VXI,Magma Grey,Petrol,Manual,2024
VIN00289,ENG-VIN00289,Dzire,VXI,Arctic White,Petrol,Manual,2024
VIN00290,ENG-VIN00290,Brezza,VXI,Arctic White,Petrol,Manual,2024
VIN00291,ENG-VIN00291,Baleno,VXI,Magma Grey,CNG,Manual,2024
VIN00292,ENG-VIN00292,Celerio,VXI,Arctic White,CNG,Automatic,2024
VIN00293,ENG-VIN00293,Dzire,VXI,Midnight Black,Petrol,Manual,2024
VIN00294,ENG-VIN00294,Ignis,VXI,Magma Grey,CNG,Manual,2024
VIN00295,ENG-VIN00295,Baleno,VXI,Arctic White,Petrol,Automatic,2024
VIN00296,ENG-VIN00296,Ignis,VXI,Magma Grey,Petrol,Automatic,2024
VIN00297,ENG-VIN00297,Swift,VXI,Arctic White,Petrol,Automatic,2024
VIN00298,ENG-VIN00298,Ertiga,VXI,Magma Grey,Petrol,Manual,2024
VIN00299,ENG-VIN00299,Swift,VXI,Magma Grey,Petrol,Manual,2024
VIN00300,ENG-VIN00300,Dzire,VXI,Midnight Black,Petrol,Automatic,2024
VIN00301,ENG-VIN00301,Brezza,VXI,Arctic White,CNG,Automatic,2024
VIN00302,ENG-VIN00302,Brezza,VXI,Midnight Black,Petrol,Manual,2024
VIN00303,ENG-VIN00303,Grand Vitara,VXI,Magma Grey,CNG,Automatic,2024
VIN00304,ENG-VIN00304,Ignis,VXI,Arctic White,CNG,Manual,2024
VIN00305,ENG-VIN00305,Brezza,VXI,Arctic White,Petrol,Automatic,2024
VIN00306,ENG-VIN00306,Swift,VXI,Midnight Black,Petrol,Automatic,2024
VIN00307,ENG-VIN00307,Swift,VXI,Midnight Black,CNG,Manual,2024
VIN00308,ENG-VIN00308,Alto,VXI,Arctic White,Petrol,Automatic,2024
VIN00309,ENG-VIN00309,Dzire,VXI,Arctic White,Petrol,Manual,2024
VIN00310,ENG-VIN00310,Dzire,VXI,Arctic White,CNG,Manual,2024
VIN00311,ENG-VIN00311,Baleno,VXI,Midnight Black,Petrol,Manual,2024
VIN00312,ENG-VIN00312,Celerio,VXI,Midnight Black,Petrol,Manual,2024
VIN00313,ENG-VIN00313,Baleno,VXI,Arctic White,CNG,Automatic,2024
VIN00314,ENG-VIN00314,Ertiga,VXI,Midnight Black,Petrol,Manual,2024
VIN00315,ENG-VIN00315,Brezza,VXI,Midnight Black,Petrol,Manual,2024
VIN00316,ENG-VIN00316,Alto,VXI,Magma Grey,Petrol,Automatic,2024
