Date,Dealer_ID,Inventory_Level,Total_Demand_Qty,Avg_Unit_Price,Total_Sales_Value,Stockout_Count
2025-01-03,DLR_004,Standard,150,1200,180000,3
2025-01-03,DLR_005,Standard,225,1200,270000,1
2025-01-03,DLR_006,Standard,246,1200,295200,1
2025-01-03,DLR_007,Standard,161,1200,193200,3
2025-01-03,DLR_008,Standard,22,1200,26400,3
2025-01-03,DLR_009,Standard,139,1200,166800,0
2025-01-03,DLR_010,Standard,181,1200,217200,3
2025-01-03,DLR_011,Standard,207,1200,248400,3
2025-01-03,DLR_012,Standard,207,1200,248400,3
2025-01-03,DLR_013,Standard,163,1200,195600,0
2025-01-03,DLR_014,Standard,164,1200,196800,3
2025-01-03,DLR_015,Standard,166,1200,199200,1
2025-01-03,DLR_016,Standard,136,1200,163200,2
2025-01-03,DLR_017,Standard,213,1200,255600,1
2025-01-03,DLR_018,Standard,92,1200,110400,0
2025-01-03,DLR_019,Standard,226,1200,271200,1
2025-01-03,DLR_020,Standard,163,1200,195600,0
2025-01-03,DLR_021,Standard,229,1200,274800,2
2025-01-03,DLR_022,Standard,226,1200,271200,2
2025-01-03,DLR_023,Standard,21,1200,25200,0
2025-01-03,DLR_024,Standard,193,1200,231600,3
2025-01-03,DLR_025,Standard,152,1200,182400,3
2025-01-03,DLR_026,Standard,141,1200,169200,0
2025-01-03,DLR_027,Standard,260,1200,312000,0
2025-01-03,DLR_028,Standard,214,1200,256800,1
2025-01-03,DLR_029,Standard,105,1200,126000,3
2025-01-03,DLR_030,Standard,90,1200,108000,2
2025-01-04,DLR_001,Standard,82,1200,98400,2
2025-01-04,DLR_002,Standard,173,1200,207600,0
2025-01-04,DLR_003,Standard,159,1200,190800,1
2025-01-04,DLR_004,Standard,173,1200,207600,3
2025-01-04,DLR_005,Standard,236,1200,283200,3
2025-01-04,DLR_006,Standard,162,1200,194400,0
2025-01-04,DLR_007,Standard,41,1200,49200,2
2025-01-04,DLR_008,Standard,224,1200,268800,3
2025-01-04,DLR_009,Standard,76,1200,91200,3
2025-01-04,DLR_010,Standard,142,1200,170400,0
2025-01-04,DLR_011,Standard,97,1200,116400,2
2025-01-04,DLR_012,Standard,45,1200,54000,0
2025-01-04,DLR_013,Standard,257,1200,308400,0
2025-01-04,DLR_014,Standard,219,1200,262800,1
2025-01-04,DLR_015,Standard,133,1200,159600,2
2025-01-04,DLR_016,Standard,160,1200,192000,0
2025-01-04,DLR_017,Standard,183,1200,219600,0
2025-01-04,DLR_018,Standard,23,1200,27600,0
2025-01-04,DLR_019,Standard,110,1200,132000,3
2025-01-04,DLR_020,Standard,100,1200,120000,1
2025-01-04,DLR_021,Standard,148,1200,177600,0
2025-01-04,DLR_022,Standard,24,1200,28800,2
2025-01-04,DLR_023,Standard,223,1200,267600,1
2025-01-04,DLR_024,Standard,216,1200,259200,3
2025-01-04,DLR_025,Standard,117,1200,140400,1
2025-01-04,DLR_026,Standard,205,1200,246000,1
2025-01-04,DLR_027,Standard,26,1200,31200,2
2025-01-04,DLR_028,Standard,167,1200,200400,0
2025-01-04,DLR_029,Standard,139,1200,166800,3
2025-01-04,DLR_030,Standard,106,1200,127200,2
2025-01-05,DLR_001,Standard,27,1200,32400,0
2025-01-05,DLR_002,Standard,214,1200,256800,0
2025-01-05,DLR_003,Standard,236,1200,283200,3
2025-01-05,DLR_004,Standard,34,1200,40800,0
2025-01-05,DLR_005,Standard,115,1200,138000,1
2025-01-05,DLR_006,Standard,22,1200,26400,1
2025-01-05,DLR_007,Standard,99,1200,118800,3
2025-01-05,DLR_008,Standard,62,1200,74400,1
2025-01-05,DLR_009,Standard,173,1200,207600,3
2025-01-05,DLR_010,Standard,214,1200,256800,3
2025-01-05,DLR_011,Standard,232,1200,278400,2
2025-01-05,DLR_012,Standard,75,1200,90000,2
2025-01-05,DLR_013,Standard,146,1200,175200,0
2025-01-05,DLR_014,Standard,71,1200,85200,0
2025-01-05,DLR_015,Standard,249,1200,298800,0
2025-01-05,DLR_016,Standard,42,1200,50400,3
2025-01-05,DLR_017,Standard,147,1200,176400,0
2025-01-05,DLR_018,Standard,69,1200,82800,2
2025-01-05,DLR_019,Standard,158,1200,189600,3
2025-01-05,DLR_020,Standard,119,1200,142800,0
2025-01-05,DLR_021,Standard,238,1200,285600,2
2025-01-05,DLR_022,Standard,139,1200,166800,2
2025-01-05,DLR_023,Standard,123,1200,147600,3
2025-01-05,DLR_024,Standard,229,1200,274800,1
2025-01-05,DLR_025,Standard,158,1200,189600,1
2025-01-05,DLR_026,Standard,133,1200,159600,2
2025-01-05,DLR_027,Standard,259,1200,310800,3
2025-01-05,DLR_028,Standard,239,1200,286800,3
2025-01-05,DLR_029,Standard,155,1200,186000,2
2025-01-05,DLR_030,Standard,254,1200,304800,2
2025-01-06,DLR_001,Standard,271,1200,325200,0
2025-01-06,DLR_002,Standard,69,1200,82800,3
2025-01-06,DLR_003,Standard,93,1200,111600,0
2025-01-06,DLR_004,Standard,274,1200,328800,0
2025-01-06,DLR_005,Standard,242,1200,290400,2
2025-01-06,DLR_006,Standard,179,1200,214800,2
2025-01-06,DLR_007,Standard,70,1200,84000,0
2025-01-06,DLR_008,Standard,148,1200,177600,0
2025-01-06,DLR_009,Standard,222,1200,266400,3
2025-01-06,DLR_010,Standard,116,1200,139200,3
2025-01-06,DLR_011,Standard,25,1200,30000,0
2025-01-06,DLR_012,Standard,211,1200,253200,0
2025-01-06,DLR_013,Standard,202,1200,242400,1
2025-01-06,DLR_014,Standard,220,1200,264000,1
2025-01-06,DLR_015,Standard,95,1200,114000,1
2025-01-06,DLR_016,Standard,109,1200,130800,0
2025-01-06,DLR_017,Standard,253,1200,303600,3
2025-01-06,DLR_018,Standard,57,1200,68400,1
2025-01-06,DLR_019,Standard,183,1200,219600,0
2025-01-06,DLR_020,Standard,183,1200,219600,0
2025-01-06,DLR_021,Standard,249,1200,298800,1
2025-01-06,DLR_022,Standard,80,1200,96000,1
2025-01-06,DLR_023,Standard,114,1200,136800,0
2025-01-06,DLR_024,Standard,103,1200,123600,3
2025-01-06,DLR_025,Standard,71,1200,85200,0
2025-01-06,DLR_026,Standard,83,1200,99600,1
2025-01-06,DLR_027,Standard,86,1200,103200,1
2025-01-06,DLR_028,Standard,99,1200,118800,0
2025-01-06,DLR_029,Standard,86,1200,103200,1
2025-01-06,DLR_030,Standard,176,1200,211200,0
2025-01-07,DLR_001,Standard,28,1200,33600,1
2025-01-07,DLR_002,Standard,68,1200,81600,0
2025-01-07,DLR_003,Standard,145,1200,174000,0
2025-01-07,DLR_004,Standard,271,1200,325200,2
2025-01-07,DLR_005,Standard,41,1200,49200,2
2025-01-07,DLR_006,Standard,214,1200,256800,0
2025-01-07,DLR_007,Standard,247,1200,296400,2
2025-01-07,DLR_008,Standard,51,1200,61200,3
2025-01-07,DLR_009,Standard,164,1200,196800,0
2025-01-07,DLR_010,Standard,164,1200,196800,2
2025-01-07,DLR_011,Standard,180,1200,216000,1
2025-01-07,DLR_012,Standard,76,1200,91200,1
2025-01-07,DLR_013,Standard,181,1200,217200,2
2025-01-07,DLR_014,Standard,81,1200,97200,1
2025-01-07,DLR_015,Standard,49,1200,58800,2
2025-01-07,DLR_016,Standard,90,1200,108000,0
2025-01-07,DLR_017,Standard,92,1200,110400,3
2025-01-07,DLR_018,Standard,34,1200,40800,2
2025-01-07,DLR_019,Standard,150,1200,180000,1
2025-01-07,DLR_020,Standard,168,1200,201600,1
2025-01-07,DLR_021,Standard,86,1200,103200,0
2025-01-07,DLR_022,Standard,186,1200,223200,2
2025-01-07,DLR_023,Standard,217,1200,260400,3
2025-01-07,DLR_024,Standard,154,1200,184800,0
2025-01-07,DLR_025,Standard,153,1200,183600,2
2025-01-07,DLR_026,Standard,198,1200,237600,0
2025-01-07,DLR_027,Standard,117,1200,140400,3
2025-01-07,DLR_028,Standard,85,1200,102000,1
2025-01-07,DLR_029,Standard,134,1200,160800,0
2025-01-07,DLR_030,Standard,123,1200,147600,0
2025-01-08,DLR_001,Standard,167,1200,200400,0
2025-01-08,DLR_002,Standard,284,1200,340800,2
2025-01-08,DLR_003,Standard,258,1200,309600,1
2025-01-08,DLR_004,Standard,142,1200,170400,2
2025-01-08,DLR_005,Standard,124,1200,148800,0
2025-01-08,DLR_006,Standard,69,1200,82800,0
2025-01-08,DLR_007,Standard,74,1200,88800,3
2025-01-08,DLR_008,Standard,264,1200,316800,0
2025-01-08,DLR_009,Standard,31,1200,37200,1
2025-01-08,DLR_010,Standard,209,1200,250800,3
2025-01-08,DLR_011,Standard,284,1200,340800,2
2025-01-08,DLR_012,Standard,196,1200,235200,3
2025-01-08,DLR_013,Standard,126,1200,151200,0
2025-01-08,DLR_014,Standard,237,1200,284400,0
2025-01-08,DLR_015,Standard,124,1200,148800,0
2025-01-08,DLR_016,Standard,63,1200,75600,1
2025-01-08,DLR_017,Standard,282,1200,338400,1
2025-01-08,DLR_018,Standard,125,1200,150000,2
2025-01-08,DLR_019,Standard,268,1200,321600,3
2025-01-08,DLR_020,Standard,44,1200,52800,0
2025-01-08,DLR_021,Standard,85,1200,102000,2
2025-01-08,DLR_022,Standard,249,1200,298800,0
2025-01-08,DLR_023,Standard,241,1200,289200,0
2025-01-08,DLR_024,Standard,83,1200,99600,0
2025-01-08,DLR_025,Standard,176,1200,211200,1
2025-01-08,DLR_026,Standard,149,1200,178800,0
2025-01-08,DLR_027,Standard,74,1200,88800,0
2025-01-08,DLR_028,Standard,237,1200,284400,1
2025-01-08,DLR_029,Standard,282,1200,338400,2
2025-01-08,DLR_030,Standard,180,1200,216000,1
2025-01-09,DLR_001,Standard,124,1200,148800,2
2025-01-09,DLR_002,Standard,239,1200,286800,0
2025-01-09,DLR_003,Standard,77,1200,92400,3
2025-01-09,DLR_004,Standard,104,1200,124800,0
2025-01-09,DLR_005,Standard,156,1200,187200,0
2025-01-09,DLR_006,Standard,161,1200,193200,1
2025-01-09,DLR_007,Standard,258,1200,309600,0
2025-01-09,DLR_008,Standard,217,1200,260400,1
2025-01-09,DLR_009,Standard,76,1200,91200,3
2025-01-09,DLR_010,Standard,271,1200,325200,0
2025-01-09,DLR_011,Standard,150,1200,180000,1
2025-01-09,DLR_012,Standard,266,1200,319200,2
2025-01-09,DLR_013,Standard,264,1200,316800,1
2025-01-09,DLR_014,Standard,235,1200,282000,2
2025-01-09,DLR_015,Standard,28,1200,33600,3
2025-01-09,DLR_016,Standard,287,1200,344400,0
2025-01-09,DLR_017,Standard,108,1200,129600,3
2025-01-09,DLR_018,Standard,54,1200,64800,0
2025-01-09,DLR_019,Standard,222,1200,266400,0
2025-01-09,DLR_020,Standard,273,1200,327600,2
2025-01-09,DLR_021,Standard,151,1200,181200,0
2025-01-09,DLR_022,Standard,274,1200,328800,0
2025-01-09,DLR_023,Standard,184,1200,220800,3
2025-01-09,DLR_024,Standard,185,1200,222000,3
2025-01-09,DLR_025,Standard,83,1200,99600,1
2025-01-09,DLR_026,Standard,144,1200,172800,0
2025-01-09,DLR_027,Standard,259,1200,310800,3
2025-01-09,DLR_028,Standard,40,1200,48000,3
2025-01-09,DLR_029,Standard,232,1200,278400,3
2025-01-09,DLR_030,Standard,231,1200,277200,2
2025-01-10,DLR_001,Standard,291,1200,349200,0
2025-01-10,DLR_002,Standard,279,1200,334800,1
2025-01-10,DLR_003,Standard,84,1200,100800,3
2025-01-10,DLR_004,Standard,202,1200,242400,2
2025-01-10,DLR_005,Standard,163,1200,195600,2
2025-01-10,DLR_006,Standard,234,1200,280800,2
2025-01-10,DLR_007,Standard,281,1200,337200,2
2025-01-10,DLR_008,Standard,99,1200,118800,1
2025-01-10,DLR_009,Standard,215,1200,258000,0
2025-01-10,DLR_010,Standard,129,1200,154800,2
2025-01-10,DLR_011,Standard,41,1200,49200,0
2025-01-10,DLR_012,Standard,109,1200,130800,1
2025-01-10,DLR_013,Standard,89,1200,106800,3
2025-01-10,DLR_014,Standard,192,1200,230400,0
2025-01-10,DLR_015,Standard,114,1200,136800,1
2025-01-10,DLR_016,Standard,242,1200,290400,0
2025-01-10,DLR_017,Standard,97,1200,116400,3
2025-01-10,DLR_018,Standard,47,1200,56400,0
2025-01-10,DLR_019,Standard,35,1200,42000,2
2025-01-10,DLR_020,Standard,207,1200,248400,3
2025-01-10,DLR_021,Standard,110,1200,132000,0
2025-01-10,DLR_022,Standard,161,1200,193200,0
2025-01-10,DLR_023,Standard,270,1200,324000,3
2025-01-10,DLR_024,Standard,216,1200,259200,1
2025-01-10,DLR_025,Standard,289,1200,346800,1
2025-01-10,DLR_026,Standard,151,1200,181200,0
2025-01-10,DLR_027,Standard,94,1200,112800,1
2025-01-10,DLR_028,Standard,141,1200,169200,3
2025-01-10,DLR_029,Standard,252,1200,302400,1
2025-01-10,DLR_030,Standard,137,1200,164400,3
2025-01-11,DLR_001,Standard,224,1200,268800,0
2025-01-11,DLR_002,Standard,256,1200,307200,0
2025-01-11,DLR_003,Standard,271,1200,325200,1
2025-01-11,DLR_004,Standard,178,1200,213600,0
2025-01-11,DLR_005,Standard,279,1200,334800,1
2025-01-11,DLR_006,Standard,285,1200,342000,2
2025-01-11,DLR_007,Standard,93,1200,111600,0
2025-01-11,DLR_008,Standard,238,1200,285600,2
2025-01-11,DLR_009,Standard,283,1200,339600,3
2025-01-11,DLR_010,Standard,48,1200,57600,2
2025-01-11,DLR_011,Standard,276,1200,331200,0
2025-01-11,DLR_012,Standard,152,1200,182400,0
2025-01-11,DLR_013,Standard,45,1200,54000,1
2025-01-11,DLR_014,Standard,293,1200,351600,0
2025-01-11,DLR_015,Standard,215,1200,258000,1
2025-01-11,DLR_016,Standard,77,1200,92400,2
2025-01-11,DLR_017,Standard,150,1200,180000,2
2025-01-11,DLR_018,Standard,187,1200,224400,3
2025-01-11,DLR_019,Standard,26,1200,31200,2
2025-01-11,DLR_020,Standard,39,1200,46800,1
2025-01-11,DLR_021,Standard,233,1200,279600,2
2025-01-11,DLR_022,Standard,23,1200,27600,2
2025-01-11,DLR_023,Standard,209,1200,250800,2
2025-01-11,DLR_024,Standard,140,1200,168000,2
2025-01-11,DLR_025,Standard,214,1200,256800,1
2025-01-11,DLR_026,Standard,217,1200,260400,1
2025-01-11,DLR_027,Standard,66,1200,79200,0
2025-01-11,DLR_028,Standard,165,1200,198000,0
2025-01-11,DLR_029,Standard,181,1200,217200,3
2025-01-11,DLR_030,Standard,192,1200,230400,3
2025-01-12,DLR_001,Standard,140,1200,168000,2
2025-01-12,DLR_002,Standard,164,1200,196800,0
2025-01-12,DLR_003,Standard,293,1200,351600,0
2025-01-12,DLR_004,Standard,262,1200,314400,0
2025-01-12,DLR_005,Standard,172,1200,206400,3
2025-01-12,DLR_006,Standard,71,1200,85200,2
2025-01-12,DLR_007,Standard,203,1200,243600,0
2025-01-12,DLR_008,Standard,97,1200,116400,2
2025-01-12,DLR_009,Standard,167,1200,200400,0
2025-01-12,DLR_010,Standard,158,1200,189600,0
2025-01-12,DLR_011,Standard,223,1200,267600,3
2025-01-12,DLR_012,Standard,254,1200,304800,3
2025-01-12,DLR_013,Standard,87,1200,104400,2
2025-01-12,DLR_014,Standard,99,1200,118800,3
2025-01-12,DLR_015,Standard,153,1200,183600,0
2025-01-12,DLR_016,Standard,141,1200,169200,3
2025-01-12,DLR_017,Standard,297,1200,356400,3
2025-01-12,DLR_018,Standard,211,1200,253200,3
2025-01-12,DLR_019,Standard,103,1200,123600,0
2025-01-12,DLR_020,Standard,67,1200,80400,2
2025-01-12,DLR_021,Standard,206,1200,247200,2
2025-01-12,DLR_022,Standard,77,1200,92400,1
2025-01-12,DLR_023,Standard,189,1200,226800,3
2025-01-12,DLR_024,Standard,76,1200,91200,0
2025-01-12,DLR_025,Standard,248,1200,297600,0
2025-01-12,DLR_026,Standard,205,1200,246000,3
2025-01-12,DLR_027,Standard,257,1200,308400,3
2025-01-12,DLR_028,Standard,67,1200,80400,1
2025-01-12,DLR_029,Standard,287,1200,344400,1
2025-01-12,DLR_030,Standard,265,1200,318000,3
2025-01-13,DLR_001,Standard,300,1200,360000,3
2025-01-13,DLR_002,Standard,151,1200,181200,0
2025-01-13,DLR_003,Standard,188,1200,225600,2
2025-01-13,DLR_004,Standard,121,1200,145200,3
2025-01-13,DLR_005,Standard,292,1200,350400,1
2025-01-13,DLR_006,Standard,134,1200,160800,3
2025-01-13,DLR_007,Standard,214,1200,256800,1
2025-01-13,DLR_008,Standard,206,1200,247200,2
2025-01-13,DLR_009,Standard,96,1200,115200,1
2025-01-13,DLR_010,Standard,248,1200,297600,0
2025-01-13,DLR_011,Standard,209,1200,250800,3
2025-01-13,DLR_012,Standard,117,1200,140400,1
2025-01-13,DLR_013,Standard,275,1200,330000,3
2025-01-13,DLR_014,Standard,149,1200,178800,3
2025-01-13,DLR_015,Standard,69,1200,82800,0
2025-01-13,DLR_016,Standard,118,1200,141600,3
2025-01-13,DLR_017,Standard,39,1200,46800,1
2025-01-13,DLR_018,Standard,270,1200,324000,0
2025-01-13,DLR_019,Standard,253,1200,303600,3
2025-01-13,DLR_020,Standard,88,1200,105600,0
2025-01-13,DLR_021,Standard,272,1200,326400,2
2025-01-13,DLR_022,Standard,261,1200,313200,0
2025-01-13,DLR_023,Standard,155,1200,186000,2
2025-01-13,DLR_024,Standard,232,1200,278400,0
2025-01-13,DLR_025,Standard,117,1200,140400,3
2025-01-13,DLR_026,Standard,69,1200,82800,2
2025-01-13,DLR_027,Standard,118,1200,141600,2
2025-01-13,DLR_028,Standard,220,1200,264000,3
2025-01-13,DLR_029,Standard,92,1200,110400,1
2025-01-13,DLR_030,Standard,292,1200,350400,0
2025-01-14,DLR_001,Standard,263,1200,315600,1
2025-01-14,DLR_002,Standard,143,1200,171600,2
2025-01-14,DLR_003,Standard,157,1200,188400,2
2025-01-14,DLR_004,Standard,142,1200,170400,3
2025-01-14,DLR_005,Standard,205,1200,246000,1
2025-01-14,DLR_006,Standard,69,1200,82800,1
2025-01-14,DLR_007,Standard,264,1200,316800,2
2025-01-14,DLR_008,Standard,268,1200,321600,3
2025-01-14,DLR_009,Standard,241,1200,289200,2
2025-01-14,DLR_010,Standard,255,1200,306000,0
2025-01-14,DLR_011,Standard,148,1200,177600,1
2025-01-14,DLR_012,Standard,101,1200,121200,0
2025-01-14,DLR_013,Standard,187,1200,224400,3
2025-01-14,DLR_014,Standard,69,1200,82800,2
2025-01-14,DLR_015,Standard,24,1200,28800,1
2025-01-14,DLR_016,Standard,174,1200,208800,3
2025-01-14,DLR_017,Standard,288,1200,345600,3
2025-01-14,DLR_018,Standard,159,1200,190800,1
2025-01-14,DLR_019,Standard,274,1200,328800,0
2025-01-14,DLR_020,Standard,284,1200,340800,2
2025-01-14,DLR_021,Standard,97,1200,116400,0
2025-01-14,DLR_022,Standard,136,1200,163200,1
2025-01-14,DLR_023,Standard,118,1200,141600,3
2025-01-14,DLR_024,Standard,139,1200,166800,0
2025-01-14,DLR_025,Standard,157,1200,188400,1
2025-01-14,DLR_026,Standard,263,1200,315600,0
2025-01-14,DLR_027,Standard,255,1200,306000,2
2025-01-14,DLR_028,Standard,170,1200,204000,0
2025-01-14,DLR_029,Standard,176,1200,211200,1
2025-01-14,DLR_030,Standard,138,1200,165600,3
2025-01-15,DLR_001,Standard,142,1200,170400,0
2025-01-15,DLR_002,Standard,136,1200,163200,3
2025-01-15,DLR_003,Standard,302,1200,362400,2
2025-01-15,DLR_004,Standard,97,1200,116400,3
2025-01-15,DLR_005,Standard,227,1200,272400,0
2025-01-15,DLR_006,Standard,174,1200,208800,0
2025-01-15,DLR_007,Standard,154,1200,184800,1
2025-01-15,DLR_008,Standard,236,1200,283200,0
2025-01-15,DLR_009,Standard,91,1200,109200,0
2025-01-15,DLR_010,Standard,252,1200,302400,2
2025-01-15,DLR_011,Standard,253,1200,303600,3
2025-01-15,DLR_012,Standard,209,1200,250800,2
2025-01-15,DLR_013,Standard,47,1200,56400,1
2025-01-15,DLR_014,Standard,171,1200,205200,0
2025-01-15,DLR_015,Standard,199,1200,238800,3
2025-01-15,DLR_016,Standard,269,1200,322800,3
2025-01-15,DLR_017,Standard,69,1200,82800,1
2025-01-15,DLR_018,Standard,254,1200,304800,1
2025-01-15,DLR_019,Standard,88,1200,105600,1
2025-01-15,DLR_020,Standard,247,1200,296400,3
2025-01-15,DLR_021,Standard,36,1200,43200,1
2025-01-15,DLR_022,Standard,106,1200,127200,3
2025-01-15,DLR_023,Standard,138,1200,165600,1
2025-01-15,DLR_024,Standard,27,1200,32400,2
2025-01-15,DLR_025,Standard,241,1200,289200,3
2025-01-15,DLR_026,Standard,186,1200,223200,3
2025-01-15,DLR_027,Standard,221,1200,265200,0
2025-01-15,DLR_028,Standard,27,1200,32400,2
2025-01-15,DLR_029,Standard,44,1200,52800,1
2025-01-15,DLR_030,Standard,189,1200,226800,1
2025-01-16,DLR_001,Standard,294,1200,352800,2
2025-01-16,DLR_002,Standard,263,1200,315600,2
2025-01-16,DLR_003,Standard,122,1200,146400,3
2025-01-16,DLR_004,Standard,245,1200,294000,2
2025-01-16,DLR_005,Standard,50,1200,60000,3
2025-01-16,DLR_006,Standard,95,1200,114000,3
2025-01-16,DLR_007,Standard,137,1200,164400,1
2025-01-16,DLR_008,Standard,107,1200,128400,2
2025-01-16,DLR_009,Standard,221,1200,265200,3
2025-01-16,DLR_010,Standard,313,1200,375600,2
2025-01-16,DLR_011,Standard,105,1200,126000,1
2025-01-16,DLR_012,Standard,244,1200,292800,0
2025-01-16,DLR_013,Standard,123,1200,147600,0
2025-01-16,DLR_014,Standard,142,1200,170400,2
2025-01-16,DLR_015,Standard,183,1200,219600,2
2025-01-16,DLR_016,Standard,159,1200,190800,1
2025-01-16,DLR_017,Standard,39,1200,46800,2
2025-01-16,DLR_018,Standard,123,1200,147600,0
2025-01-16,DLR_019,Standard,205,1200,246000,0
2025-01-16,DLR_020,Standard,215,1200,258000,3
2025-01-16,DLR_021,Standard,137,1200,164400,2
2025-01-16,DLR_022,Standard,226,1200,271200,0
2025-01-16,DLR_023,Standard,200,1200,240000,2
2025-01-16,DLR_024,Standard,84,1200,100800,1
2025-01-16,DLR_025,Standard,182,1200,218400,3
2025-01-16,DLR_026,Standard,152,1200,182400,1
2025-01-16,DLR_027,Standard,161,1200,193200,1
2025-01-16,DLR_028,Standard,251,1200,301200,2
2025-01-16,DLR_029,Standard,233,1200,279600,0
2025-01-16,DLR_030,Standard,142,1200,170400,3
2025-01-17,DLR_001,Standard,123,1200,147600,1
2025-01-17,DLR_002,Standard,27,1200,32400,1
2025-01-17,DLR_003,Standard,153,1200,183600,0
2025-01-17,DLR_004,Standard,148,1200,177600,2
2025-01-17,DLR_005,Standard,59,1200,70800,1
2025-01-17,DLR_006,Standard,272,1200,326400,3
2025-01-17,DLR_007,Standard,146,1200,175200,3
2025-01-17,DLR_008,Standard,214,1200,256800,1
2025-01-17,DLR_009,Standard,159,1200,190800,3
2025-01-17,DLR_010,Standard,228,1200,273600,2
2025-01-17,DLR_011,Standard,120,1200,144000,0
2025-01-17,DLR_012,Standard,232,1200,278400,2
2025-01-17,DLR_013,Standard,81,1200,97200,2
2025-01-17,DLR_014,Standard,173,1200,207600,1
2025-01-17,DLR_015,Standard,31,1200,37200,2
2025-01-17,DLR_016,Standard,50,1200,60000,0
2025-01-17,DLR_017,Standard,314,1200,376800,0
2025-01-17,DLR_018,Standard,146,1200,175200,1
2025-01-17,DLR_019,Standard,151,1200,181200,0
2025-01-17,DLR_020,Standard,189,1200,226800,1
2025-01-17,DLR_021,Standard,135,1200,162000,2
2025-01-17,DLR_022,Standard,125,1200,150000,1
2025-01-17,DLR_023,Standard,64,1200,76800,1
2025-01-17,DLR_024,Standard,45,1200,54000,3
2025-01-17,DLR_025,Standard,250,1200,300000,0
2025-01-17,DLR_026,Standard,237,1200,284400,2
2025-01-17,DLR_027,Standard,313,1200,375600,2
2025-01-17,DLR_028,Standard,167,1200,200400,1
2025-01-17,DLR_029,Standard,77,1200,92400,3
2025-01-17,DLR_030,Standard,175,1200,210000,3
2025-01-18,DLR_001,Standard,276,1200,331200,2
2025-01-18,DLR_002,Standard,313,1200,375600,3
2025-01-18,DLR_003,Standard,259,1200,310800,3
2025-01-18,DLR_004,Standard,38,1200,45600,3
