vin,dealer_id,model,variant,color,days_in_inventory,status
FG51BXW76ICVQY5IB,DLR_07,Altroz,XZ,Opera Blue,154,Critical
I6UU13I59SOJUV0GY,DLR_08,Punch,Accomplished+,Orcus White,16,Available
ZOKGTII4FQCOOTNJL,DLR_01,Tiago,XM,Arizona Blue,58,Available
NVBC2VYHH6K6HG001,DLR_07,Nexon,Smart+,Pure Grey,2,Available
KQXLM5Q201LHLB50A,DLR_11,Curvv,Creative,Pristine White,37,Available
UIT7M1R00Q0MFTG69,DLR_09,Tiago,XZ,Daytona Grey,19,Available
EWCFHQCW76XATOAZT,DLR_07,Curvv,Creative+,Virtual Sunrise,47,Available
SIWJM2C8QIZK3C9XB,DLR_07,Punch,Accomplished,Orcus White,1,Available
4XL9967I6YUJ7YKTX,DLR_05,Punch,Adventure,Atomic Orange,4,Available
KUU4YTN02YC0MDICV,DLR_16,Nexon,Smart,Daytona Grey,64,Available
M7PYXDW2ZCFZW0LDA,DLR_09,Tiago,NRG,Flame Red,71,Aging
TOAMDVLNKND669UGN,DLR_05,Punch,Pure,Orcus White,20,Available
RCJIWVHDK8LW2LM34,DLR_04,Nexon,Pure,Calgary White,2,Available
88KZRUIN3OEUVTYT8,DLR_02,Altroz,XM,Harbour Blue,21,Available
2ORWIXZ2C9ROS7YT2,DLR_12,Punch,Adventure,Atomic Orange,9,Available
XMXB9YO18PAJSSUUQ,DLR_17,Punch,Accomplished,Tornado Blue,2,Available
O8E7FLQHRRPZLK3E4,DLR_14,Punch,Accomplished,Calypso Red,196,Critical
FU8IOGXPBWHVNZH13,DLR_11,Tiago,XE,Daytona Grey,23,Available
J5SXVWVM4W3ZKWDEE,DLR_02,Nexon,Fearless,Pristine White,1,Available
NGWYX9TRFLQBMAE38,DLR_02,Punch,Accomplished,Meteor Bronze,35,Available
U2HBIK2U1RSUJT9T1,DLR_07,Tiago,XZ,Arizona Blue,11,Available
9QM3P91I3VMZWFFHH,DLR_06,Harrier,Smart,Lunar Slate,131,Critical
J49YD82795E5IZ31Y,DLR_05,Nexon,Smart+,Pristine White,148,Critical
5DSK7N8LA100QXMCT,DLR_09,Punch,Pure,Meteor Bronze,8,Available
UURMYBD2QE4PA8HYE,DLR_06,Nexon,Smart,Pure Grey,5,Available
XXBW01PDDHCVSQAME,DLR_02,Tiago,NRG,Flame Red,3,Available
NKN35XYCUVFMH07WP,DLR_11,Safari,Pure,Orcus White,88,Aging
LFJDTVV2Y4XKSS0KB,DLR_17,Nexon,Smart,Fearless Purple,16,Available
T997E4UNY181ACJBC,DLR_18,Curvv,Pure,Opera Blue,27,Available
CTWJLSH3TOW4YCZ04,DLR_07,Harrier,Adventure,Ash Grey,23,Available
00EZZF8S2ZGE2J51B,DLR_01,Nexon,Pure,Intensi-Teal,5,Available
QMRUNJDU0ISB5IQNF,DLR_04,Safari,Smart,Oberon Black,59,Available
OZJCNS6G298CQK4LT,DLR_16,Curvv,Pure+,Opera Blue,2,Available
VR1H61IAOIM458AX4,DLR_03,Nexon,Pure,Intensi-Teal,3,Available
D76SZN9DDE3CUP8IJ,DLR_02,Harrier,Pure+,Ash Grey,176,Aging
CH2VFFQOT8HLJEFY3,DLR_14,Punch,Accomplished,Calypso Red,14,Available
BK3G84UTDD2EC2IHO,DLR_01,Harrier,Adventure+,Orcus White,81,Aging
HX3D43E7B7P0RNPM6,DLR_18,Harrier,Smart,Orcus White,2,Available
R5RDNPX2I9TANZR2M,DLR_06,Nexon,Smart,Intensi-Teal,2,Available
3K3QMVIFIIT2018U9,DLR_04,Tiago,XM,Midnight Plum,9,Available
0MVZMUF8438TGBCVA,DLR_17,Punch,Creative+,Orcus White,44,Available
CFZFDSNCZXVML90PX,DLR_05,Punch,Accomplished,Calypso Red,59,Available
X3N0KGAZU41UGL3WX,DLR_04,Punch,Accomplished,Daytona Grey,55,Available
83Y0MAHYM2ZBPPFO5,DLR_07,Nexon,Smart+,Pristine White,120,Critical
IQ2BAJDM5FC79M96Z,DLR_05,Punch,Creative,Daytona Grey,41,Available
9OT7TXKDOTRBAD3WR,DLR_10,Punch,Accomplished,Tornado Blue,2,Available
Q6JXNNNGBPJ4UFZDY,DLR_03,Nexon,Pure+,Calgary White,83,Available
T5R5RC6ZS62YWE1G9,DLR_06,Safari,Adventure,Orcus White,179,Critical
W4J66CNOLJQ52WSPO,DLR_14,Altroz,XE,Opera Blue,16,Available
2555JXURGOWYOO5YB,DLR_09,Nexon,Creative,Flame Red,29,Available
RZD5E9P3JPXGH3015,DLR_04,Punch,Adventure,Calypso Red,25,Available
45BG34IQ7ZJ3SWEBN,DLR_07,Safari,Smart,Oberon Black,37,Available
60YKNFU84XYJOA21A,DLR_02,Tiago,NRG,Flame Red,24,Available
ZZJ64QHKSWVA984UV,DLR_10,Curvv,Pure+,Daytona Grey,29,Available
JX8XGSIC43OLFARK6,DLR_11,Punch,Adventure,Calypso Red,49,Available
IT26YS445GDEJ31GY,DLR_13,Punch,Accomplished,Orcus White,26,Available
LJK4Q5V7C6S5NKB4E,DLR_02,Punch,Adventure,Calypso Red,24,Available
Z2RWGWAJ1G1R1DWWO,DLR_06,Nexon,Pure,Calgary White,8,Available
TAA0I5LDSLCB8QSSP,DLR_05,Altroz,XE,Avenue White,305,Aging
7OI0E0VGNXB5JTB9X,DLR_02,Harrier,Fearless+,Daytona Grey,12,Available
RFZWKXXJVE3DZEEDH,DLR_01,Harrier,Adventure,Ash Grey,4,Available
BRH7LAY64YFDS0DJI,DLR_04,Nexon,Pure,Fearless Purple,11,Available
YPE46AEXL68J0NMEO,DLR_04,Altroz,XM,Harbour Blue,168,Critical
GE094D6RUPW2W5506,DLR_15,Punch,Accomplished,Meteor Bronze,48,Available
A5S00I85SYWP0RXXF,DLR_07,Punch,Creative,Tornado Blue,3,Available
45CRI8BIXOIQ2Q4QE,DLR_17,Safari,Adventure,Daytona Grey,31,Available
DVWKSHY8NBIQUWRXZ,DLR_10,Punch,Pure,Daytona Grey,48,Available
KSZBFFZZDVG7OQ2ZD,DLR_14,Nexon,Smart,Pure Grey,42,Available
8ERTB74RS7GU0ENV5,DLR_17,Punch,Creative,Meteor Bronze,21,Available
8QEOZ0KZ4Z7WHWKMY,DLR_05,Tiago,NRG,Daytona Grey,3,Available
U7ZY6T5PADNBCJ29Y,DLR_10,Altroz,Dark,Avenue White,123,Critical
QWYUIXNS2ZYBNO2Y8,DLR_01,Nexon,Creative,Intensi-Teal,7,Available
ZX1TV18KGYGGSNPUE,DLR_13,Nexon,Smart,Pure Grey,89,Available
LB7WXRUM2LHGCSOTD,DLR_03,Tiago,XM,Daytona Grey,9,Available
939AYQ6WW8YL68NTK,DLR_03,Nexon,Smart+,Daytona Grey,188,Critical
6GS8G8TACY15PDTZ9,DLR_15,Curvv,Pure,Opera Blue,13,Available
LDB2UUIJNWPAYTXW1,DLR_10,Harrier,Fearless,Daytona Grey,11,Available
KD1POXRTEO2T8FY62,DLR_12,Tiago,XE,Opal White,8,Available
AVT8K06MOXSFH4GG2,DLR_05,Harrier,Fearless,Oberon Black,1,Available
KCD0RLEXDW6LQWLVU,DLR_16,Safari,Accomplished,Lunar Slate,52,Available
MYLRQ1RDXCK36H0W0,DLR_04,Punch,Adventure,Orcus White,62,Aging
HBJ6TXFO6V4ESDNAI,DLR_16,Curvv,Creative,Pure Grey,18,Available
UU5F07B1IJIYS2N75,DLR_20,Altroz,XZ,Harbour Blue,27,Available
UNNV6CJ9IO3M25A5P,DLR_10,Nexon,Smart,Fearless Purple,90,Aging
3XOLEYRVXOIEVES6F,DLR_07,Nexon,Smart+,Daytona Grey,20,Available
ZXKDQ95G3V23GXJ0M,DLR_17,Nexon,Pure,Intensi-Teal,43,Available
4SPFDRWB2SEREV361,DLR_09,Punch,Pure,Tornado Blue,5,Available
R1M264UPJ16DVTJA0,DLR_07,Tiago,XM,Midnight Plum,25,Available
ODPVJTUW9OHTUGUR9,DLR_07,Nexon,Pure,Daytona Grey,30,Available
8DS22WYBOW23QVDJN,DLR_14,Tiago,XM,Opal White,71,Available
C1GRA47SH2SZWYMX9,DLR_12,Tiago,NRG,Midnight Plum,7,Available
AZ7T0UUM3I8QOAGSU,DLR_04,Nexon,Pure,Calgary White,35,Available
8U118QQVAECW9YIL8,DLR_05,Tiago,XE,Flame Red,94,Critical
3C7RM6J8Y6RH05HHI,DLR_01,Tiago,XZ+,Opal White,23,Available
484NL65UJG1SO1ESP,DLR_02,Tiago,XE,Arizona Blue,41,Available
ZQYAHULWJTIQWNRHZ,DLR_01,Curvv,Pure,Pristine White,8,Available
DJIPNF8F3GR94SZ2K,DLR_16,Punch,Adventure,Orcus White,244,Critical
RWQMMU7JAE58HUXG2,DLR_08,Tiago,XM,Opal White,3,Available
Q85X7PWO6CMLXZVO5,DLR_11,Punch,Adventure,Tornado Blue,16,Available
4EIJ00HOD7RB1S9DW,DLR_18,Harrier,Adventure,Ash Grey,21,Available
ESGBM65Q57TE8TVQ0,DLR_17,Nexon,Smart+,Fearless Purple,6,Available
2PNJKA34MQA78RAPK,DLR_06,Safari,Adventure,Stardust Ash,23,Available
F0ONJPI163YK03O4G,DLR_01,Nexon,Smart+,Intensi-Teal,12,Available
ABTGDJZ0IFRML29Q2,DLR_10,Punch,Accomplished,Daytona Grey,17,Available
G6JNA9ZN9I9H0DXHO,DLR_15,Punch,Creative,Meteor Bronze,5,Available
KMBY9IPA2VOI8UYYF,DLR_18,Altroz,XE,Cosmo Dark,71,Aging
CXZ2EI9212PGYME6R,DLR_03,Harrier,Pure,Coral Red,327,Critical
0J36TCFKJNAWNGA41,DLR_04,Punch,Accomplished,Orcus White,34,Available
RTWLXDSC4E5HRDU4X,DLR_12,Nexon,Pure+,Calgary White,7,Available
7HR6C2CU7ONZ3JBCK,DLR_12,Tiago,XE,Midnight Plum,55,Available
SIWG0ODWMQX5GGOMF,DLR_19,Curvv,Smart,Pure Grey,12,Available
P0VUH17J8QO09VS9K,DLR_06,Altroz,XM,Avenue White,192,Aging
7FBMENUI3DO7002G3,DLR_03,Punch,Creative,Atomic Orange,104,Critical
UCC1M3O55IXVA1NKB,DLR_09,Harrier,Fearless,Coral Red,12,Available
81UDP2FMR0TJOPZ1R,DLR_02,Tiago,XM,Opal White,34,Available
C1L7DYPMLVAK9W9PF,DLR_06,Nexon,Pure,Fearless Purple,31,Available
EB8753AYEQAHTHSJR,DLR_15,Nexon,Smart,Pure Grey,51,Available
GK2WBXANJ4X5A5XIN,DLR_02,Harrier,Adventure,Oberon Black,144,Critical
SQ7AITMOFMMWI9S3W,DLR_02,Altroz,XM,Cosmo Dark,4,Available
6XDN8WWIIF86LTHET,DLR_17,Safari,Adventure+,Oberon Black,238,Critical
9F77LU8EL5015OOP7,DLR_16,Safari,Pure,Oberon Black,182,Aging
1WJUIIYMYRSVZN4RE,DLR_17,Curvv,Pure,Virtual Sunrise,1,Available
91C795RLQIOB0NLW0,DLR_01,Nexon,Creative,Pristine White,126,Aging
3B9SO0USWBKOK3QPW,DLR_07,Tiago,NRG,Midnight Plum,4,Available
E27ZEOQGVZHQJY62Z,DLR_07,Nexon,Smart,Calgary White,4,Available
WFTBGM55FF1BL08KG,DLR_02,Nexon,Pure,Intensi-Teal,55,Available
R3VRHXQPVA5KW3HGB,DLR_19,Curvv,Smart,Virtual Sunrise,24,Available
DD9FKXZUU80MB1L63,DLR_02,Punch,Pure,Daytona Grey,8,Available
LOHHCU9TD0V2ZP4JU,DLR_15,Harrier,Smart,Orcus White,53,Available
5IKGEQ20HWOBM3HXY,DLR_17,Tiago,XM+,Arizona Blue,14,Available
LOU83G47RRBEFQ56Q,DLR_01,Nexon,Smart+,Pure Grey,5,Available
AUL62CF4MNTFVGE2L,DLR_17,Safari,Smart,Oberon Black,96,Critical
8HKE226PARSG70S1F,DLR_12,Safari,Pure,Daytona Grey,45,Available
QZSA7YVDQBSXLUL6L,DLR_15,Safari,Accomplished,Daytona Grey,1,Available
JAWSHMLFZKICWMPEQ,DLR_04,Nexon,Smart+,Flame Red,1,Available
L3ZYT91QE37QQYZQI,DLR_02,Harrier,Smart,Daytona Grey,84,Available
X25QBRMQG1VED32LX,DLR_16,Nexon,Pure+,Calgary White,9,Available
9NM3V2P2TIXC7URVQ,DLR_08,Safari,Pure,Oberon Black,3,Available
31NRXD356WAFFTOUH,DLR_15,Tiago,XE,Opal White,48,Available
69UWS44C68AU9DKBP,DLR_04,Harrier,Pure+,Coral Red,148,Aging
GFT4MPK5EAXF5X9EE,DLR_10,Tiago,XZ,Arizona Blue,48,Available
TQMGVU4ISOTN9UZER,DLR_16,Safari,Accomplished,Lunar Slate,66,Aging
SVIWXYYTUW6TAQ6UL,DLR_02,Harrier,Adventure,Coral Red,14,Available
2JWUUXK0AREC2JWJJ,DLR_20,Punch,Adventure,Atomic Orange,258,Critical
G2IGSB98V341ONX0G,DLR_09,Harrier,Fearless,Lunar Slate,38,Available
OK01TNZRF5A7QY8YB,DLR_15,Tiago,XE,Opal White,5,Available
2JVQYIY1SY9LAACOS,DLR_10,Curvv,Accomplished,Daytona Grey,12,Available
CV6HVE8DVN1X2GDGK,DLR_05,Harrier,Adventure,Orcus White,1,Available
1LFC1NLC8JPR7VGRF,DLR_01,Harrier,Pure,Ash Grey,56,Available
CUJQ6FX7XJZ6US7RP,DLR_03,Harrier,Adventure,Lunar Slate,1,Available
3RU7MYOW8DT8CQ1XG,DLR_14,Safari,Adventure,Orcus White,39,Available
R5PGBA9IN2XR838AM,DLR_05,Nexon,Smart,Flame Red,33,Available
75T0IC0RA6WIXAW63,DLR_12,Punch,Adventure,Atomic Orange,41,Available
VWCHM40OEYTL8HBGC,DLR_09,Nexon,Creative,Pure Grey,4,Available
UE2WNF5CA7ZVKY2RE,DLR_13,Nexon,Smart,Daytona Grey,28,Available
VZWD3KPUG99W59SQW,DLR_04,Nexon,Pure,Daytona Grey,26,Available
F7BNHJW6QDBTFBSCI,DLR_01,Nexon,Smart,Pure Grey,160,Critical
LD05NHQR6F7QNEZW9,DLR_09,Punch,Adventure,Calypso Red,1,Available
QGM5V2WWG84D4R9V4,DLR_02,Nexon,Creative,Daytona Grey,4,Available
6VFUA9BQ1BTR23QIU,DLR_13,Nexon,Creative,Pristine White,14,Available
AYFQUV9QEZG5WZAWN,DLR_13,Nexon,Fearless,Pristine White,1,Available
HYWM7S6NBNQBNXZU1,DLR_08,Harrier,Pure,Lunar Slate,312,Critical
Z11L6SPBNQS3QT36Q,DLR_05,Nexon,Pure,Fearless Purple,191,Aging
QC6K8DJZR5SWK8TEM,DLR_11,Punch,Accomplished,Tornado Blue,10,Available
OMXLVZ4QKE2GJR81B,DLR_10,Punch,Adventure,Orcus White,119,Critical
94YXFIBLEJGUBLMNT,DLR_07,Punch,Pure,Atomic Orange,29,Available
7F8TSXK6819Y207ME,DLR_04,Nexon,Fearless,Calgary White,59,Available
HMLVHS21HD4Y89ORV,DLR_01,Punch,Accomplished,Tornado Blue,23,Available
AMLQUH50OPF060O4V,DLR_01,Tiago,XZ,Arizona Blue,16,Available
1DO6OUZ1EGNTB34KU,DLR_04,Nexon,Fearless+,Pristine White,5,Available
XKG6XB1R8VNRPJY93,DLR_01,Punch,Pure,Atomic Orange,97,Critical
QYMBNW8BKXCGW1VGL,DLR_13,Punch,Pure,Daytona Grey,4,Available
TMFEK2O7FHS32UY84,DLR_16,Punch,Accomplished+,Atomic Orange,33,Available
7RLN36V1MZB3I4FIE,DLR_12,Harrier,Adventure+,Orcus White,3,Available
1BD2SCEJCY127H6GM,DLR_01,Nexon,Creative,Flame Red,4,Available
S0IUDUAHGK6T9DHSZ,DLR_16,Nexon,Fearless,Pristine White,27,Available
SO1LQSRNKZCRNQ0Y4,DLR_09,Punch,Adventure,Orcus White,101,Critical
27NAYYOSYEOZ906GN,DLR_06,Nexon,Fearless+,Pure Grey,8,Available
ZUJ2XORVORK1DJRWE,DLR_03,Nexon,Creative+,Daytona Grey,96,Critical
LKW1XSRQKRST3TA19,DLR_01,Nexon,Smart,Daytona Grey,19,Available
GX25FPLO1URTTQUFC,DLR_02,Safari,Pure,Lunar Slate,15,Available
VEN3V1WNP9OCIILDY,DLR_09,Nexon,Smart+,Pure Grey,157,Critical
PSPAQALULDRYHR3YF,DLR_02,Safari,Smart,Orcus White,38,Available
JKU2W8ZUVJUTPMC3S,DLR_19,Punch,Pure,Tornado Blue,127,Critical
YT5WSGRX37JW34670,DLR_11,Punch,Adventure,Calypso Red,40,Available
4O46W4JKFYIIFA2LR,DLR_03,Nexon,Pure,Fearless Purple,30,Available
2JTXB02B6LKC86Y5O,DLR_06,Altroz,Dark,Avenue White,5,Available
U1SRDV1L30307HDHJ,DLR_15,Safari,Smart,Oberon Black,341,Critical
RIJ2FRNLX6B02B7YJ,DLR_16,Punch,Pure,Atomic Orange,180,Critical
IPA877K71K4FPL3X2,DLR_10,Punch,Accomplished,Atomic Orange,9,Available
LP7DFJCP0TLZ1XGPX,DLR_01,Nexon,Creative,Fearless Purple,22,Available
Z1XEVO7Q5EGVLKDNO,DLR_03,Nexon,Smart+,Flame Red,5,Available
IDQJ4BWVF8GUAS173,DLR_15,Punch,Accomplished,Tornado Blue,234,Critical
NPHH30GG2B9IQIUXD,DLR_03,Punch,Pure,Calypso Red,4,Available
JDCLI6978V0BJWKON,DLR_16,Punch,Creative+,Orcus White,70,Available
5ELTFEBE5407K5W1J,DLR_08,Altroz,XM+,Cosmo Dark,32,Available
X2BFIBJZP97BMZRR4,DLR_17,Punch,Adventure,Orcus White,46,Available
UXH9A1G7IRDLK9EN7,DLR_02,Safari,Smart,Daytona Grey,156,Aging
WJXLBWQ8962E52K20,DLR_04,Nexon,Smart,Fearless Purple,34,Available
4F2K1XERP3LYEX3SR,DLR_09,Tiago,XE,Daytona Grey,193,Critical
PBMQIYFRWSKP6RFE6,DLR_07,Safari,Pure+,Lunar Slate,80,Aging
PDXUJJCSEXGGOC5KV,DLR_07,Safari,Pure,Orcus White,163,Critical
0V5DTAEGRY58VRW9M,DLR_11,Punch,Accomplished,Orcus White,1,Available
EA84HXXPW2GKQRAFF,DLR_11,Harrier,Pure,Daytona Grey,3,Available
U4BAWZ940VTKRRVWY,DLR_19,Harrier,Pure,Oberon Black,5,Available
C6PRR7MZAKGMIH6MV,DLR_07,Safari,Adventure,Lunar Slate,58,Available
3Y0224WK0YEHVDO9K,DLR_10,Safari,Smart,Cosmic Gold,31,Available
36BCPWEIJMMB5JFYS,DLR_01,Nexon,Smart,Pristine White,27,Available
DV283BDW56FKPS0DX,DLR_12,Harrier,Fearless,Ash Grey,375,Critical
I3MSDN1MXF1PI2OOQ,DLR_02,Punch,Creative,Meteor Bronze,42,Available
DL9FC1XX6CWZXSKOY,DLR_14,Safari,Pure,Daytona Grey,112,Aging
FOX5WWPM3X15DTOZ5,DLR_04,Tiago,XZ,Opal White,116,Critical
WA6TJ3KPS04JSE17Q,DLR_08,Tiago,XE,Flame Red,49,Available
7X4IKY3UFN0DSG2QF,DLR_01,Tiago,XM,Midnight Plum,44,Available
CYOU25VW9Y80PFSRQ,DLR_06,Punch,Pure,Orcus White,19,Available
FU7E4DNKSEKNKBF2P,DLR_07,Altroz,XM+,Opera Blue,42,Available
M5PUU62RZV1SQQQ5L,DLR_04,Curvv,Pure,Opera Blue,4,Available
860X5ZU2ZUEUGWUBU,DLR_11,Safari,Pure,Lunar Slate,18,Available
JH34UDTLVR7MGATND,DLR_07,Nexon,Fearless,Intensi-Teal,1,Available
YC8GZKDF6J76BIVIS,DLR_08,Altroz,XM,Downtown Red,8,Available
BW6ATVD1XEUQ4S2FT,DLR_18,Tiago,XE,Midnight Plum,23,Available
38WXGC7JJY94H4KFT,DLR_03,Nexon,Fearless,Intensi-Teal,8,Available
5HS258W9ZJXLH8L6E,DLR_02,Nexon,Creative,Fearless Purple,27,Available
ZROC5XT63QE8NVN43,DLR_09,Curvv,Smart,Pristine White,22,Available
1YZG3W3H98BRZVA9W,DLR_02,Altroz,XM,Downtown Red,1,Available
YVGV0E7450J4A8YWY,DLR_04,Nexon,Pure,Daytona Grey,36,Available
P9JYQN15IKPQAHCUA,DLR_01,Safari,Pure,Cosmic Gold,5,Available
LWDR3VWMJDIMBM271,DLR_20,Harrier,Pure,Daytona Grey,6,Available
6Y2C2BVPDCB4OWO52,DLR_14,Tiago,XZ,Opal White,130,Critical
XYASVDAZV46ESMRWG,DLR_07,Tiago,XM,Midnight Plum,34,Available
VTFQVK8SXFI3UBM9X,DLR_01,Nexon,Smart,Intensi-Teal,198,Critical
4UMKLD56R7WYQHR13,DLR_01,Nexon,Smart,Fearless Purple,177,Critical
