dealer_id,sku,quantity_on_hand,floorplan_interest_rate
DLR_02,PRT_0093,37,0.099
DLR_02,PRT_0094,27,0.099
DLR_02,PRT_0095,30,0.091
DLR_02,PRT_0096,12,0.082
DLR_02,PRT_0097,24,0.089
DLR_02,PRT_0098,22,0.099
DLR_02,PRT_0099,11,0.092
DLR_02,PRT_0100,50,0.113
DLR_03,PRT_0001,15,0.111
DLR_03,PRT_0002,48,0.1
DLR_03,PRT_0003,36,0.083
DLR_03,PRT_0004,33,0.1
DLR_03,PRT_0005,8,0.114
DLR_03,PRT_0006,39,0.115
DLR_03,PRT_0007,7,0.114
DLR_03,PRT_0008,25,0.082
DLR_03,PRT_0009,48,0.095
DLR_03,PRT_0010,36,0.114
DLR_03,PRT_0011,48,0.111
DLR_03,PRT_0012,49,0.098
DLR_03,PRT_0013,12,0.085
DLR_03,PRT_0014,32,0.119
DLR_03,PRT_0015,32,0.083
DLR_03,PRT_0016,31,0.099
DLR_03,PRT_0017,28,0.103
DLR_03,PRT_0018,30,0.118
DLR_03,PRT_0019,47,0.111
DLR_03,PRT_0020,12,0.089
DLR_03,PRT_0021,20,0.111
DLR_03,PRT_0022,33,0.094
DLR_03,PRT_0023,24,0.086
DLR_03,PRT_0024,46,0.114
DLR_03,PRT_0025,50,0.102
DLR_03,PRT_0026,11,0.108
DLR_03,PRT_0027,44,0.095
DLR_03,PRT_0028,22,0.119
DLR_03,PRT_0029,46,0.093
DLR_03,PRT_0030,23,0.107
DLR_03,PRT_0031,18,0.081
DLR_03,PRT_0032,32,0.112
DLR_03,PRT_0033,41,0.109
DLR_03,PRT_0034,12,0.117
DLR_03,PRT_0035,5,0.089
DLR_03,PRT_0036,35,0.103
DLR_03,PRT_0037,49,0.119
DLR_03,PRT_0038,33,0.111
DLR_03,PRT_0039,19,0.088
DLR_03,PRT_0040,40,0.116
DLR_03,PRT_0041,36,0.102
DLR_03,PRT_0042,35,0.116
DLR_03,PRT_0043,29,0.102
DLR_03,PRT_0044,49,0.103
DLR_03,PRT_0045,25,0.093
DLR_03,PRT_0046,50,0.092
DLR_03,PRT_0047,31,0.113
DLR_03,PRT_0048,31,0.104
DLR_03,PRT_0049,16,0.09
DLR_03,PRT_0050,44,0.112
DLR_03,PRT_0051,14,0.084
DLR_03,PRT_0052,41,0.081
DLR_03,PRT_0053,31,0.087
DLR_03,PRT_0054,46,0.11
DLR_03,PRT_0055,20,0.112
DLR_03,PRT_0056,37,0.083
DLR_03,PRT_0057,39,0.111
DLR_03,PRT_0058,21,0.103
DLR_03,PRT_0059,6,0.115
DLR_03,PRT_0060,33,0.115
DLR_03,PRT_0061,15,0.102
DLR_03,PRT_0062,46,0.119
DLR_03,PRT_0063,42,0.117
DLR_03,PRT_0064,11,0.083
DLR_03,PRT_0065,11,0.11
DLR_03,PRT_0066,46,0.104
DLR_03,PRT_0067,50,0.101
DLR_03,PRT_0068,49,0.089
DLR_03,PRT_0069,12,0.082
DLR_03,PRT_0070,24,0.109
DLR_03,PRT_0071,31,0.107
DLR_03,PRT_0072,43,0.113
DLR_03,PRT_0073,45,0.113
DLR_03,PRT_0074,48,0.104
DLR_03,PRT_0075,28,0.11
DLR_03,PRT_0076,25,0.1
DLR_03,PRT_0077,23,0.114
DLR_03,PRT_0078,50,0.082
DLR_03,PRT_0079,35,0.09
DLR_03,PRT_0080,13,0.118
DLR_03,PRT_0081,39,0.092
DLR_03,PRT_0082,16,0.083
DLR_03,PRT_0083,9,0.093
DLR_03,PRT_0084,34,0.116
DLR_03,PRT_0085,15,0.103
DLR_03,PRT_0086,13,0.11
DLR_03,PRT_0087,40,0.113
DLR_03,PRT_0088,29,0.113
DLR_03,PRT_0089,49,0.096
DLR_03,PRT_0090,12,0.099
DLR_03,PRT_0091,43,0.108
DLR_03,PRT_0092,38,0.081
DLR_03,PRT_0093,14,0.087
DLR_03,PRT_0094,36,0.085
DLR_03,PRT_0095,32,0.118
DLR_03,PRT_0096,12,0.089
DLR_03,PRT_0097,47,0.117
DLR_03,PRT_0098,7,0.105
DLR_03,PRT_0099,32,0.09
DLR_03,PRT_0100,12,0.12
DLR_04,PRT_0001,11,0.093
DLR_04,PRT_0002,10,0.092
DLR_04,PRT_0003,21,0.081
DLR_04,PRT_0004,16,0.118
DLR_04,PRT_0005,31,0.112
DLR_04,PRT_0006,45,0.085
DLR_04,PRT_0007,47,0.118
DLR_04,PRT_0008,42,0.089
DLR_04,PRT_0009,49,0.093
DLR_04,PRT_0010,9,0.107
DLR_04,PRT_0011,12,0.09
DLR_04,PRT_0012,35,0.114
DLR_04,PRT_0013,28,0.105
DLR_04,PRT_0014,20,0.106
DLR_04,PRT_0015,29,0.113
DLR_04,PRT_0016,26,0.112
DLR_04,PRT_0017,7,0.114
DLR_04,PRT_0018,39,0.083
DLR_04,PRT_0019,38,0.082
DLR_04,PRT_0020,22,0.087
DLR_04,PRT_0021,25,0.106
DLR_04,PRT_0022,27,0.101
DLR_04,PRT_0023,39,0.104
DLR_04,PRT_0024,48,0.112
DLR_04,PRT_0025,31,0.111
DLR_04,PRT_0026,14,0.115
DLR_04,PRT_0027,9,0.112
DLR_04,PRT_0028,15,0.081
DLR_04,PRT_0029,6,0.087
DLR_04,PRT_0030,41,0.091
DLR_04,PRT_0031,36,0.1
DLR_04,PRT_0032,25,0.085
DLR_04,PRT_0033,16,0.095
DLR_04,PRT_0034,18,0.108
DLR_04,PRT_0035,35,0.084
DLR_04,PRT_0036,31,0.102
DLR_04,PRT_0037,9,0.119
DLR_04,PRT_0038,43,0.081
DLR_04,PRT_0039,29,0.081
DLR_04,PRT_0040,14,0.116
DLR_04,PRT_0041,26,0.092
DLR_04,PRT_0042,31,0.084
DLR_04,PRT_0043,46,0.086
DLR_04,PRT_0044,19,0.08
DLR_04,PRT_0045,14,0.087
DLR_04,PRT_0046,42,0.081
DLR_04,PRT_0047,40,0.081
DLR_04,PRT_0048,39,0.087
DLR_04,PRT_0049,17,0.107
DLR_04,PRT_0050,20,0.114
DLR_04,PRT_0051,6,0.098
DLR_04,PRT_0052,46,0.104
DLR_04,PRT_0053,8,0.107
DLR_04,PRT_0054,38,0.107
DLR_04,PRT_0055,21,0.092
DLR_04,PRT_0056,38,0.098
DLR_04,PRT_0057,39,0.099
DLR_04,PRT_0058,15,0.084
DLR_04,PRT_0059,5,0.109
DLR_04,PRT_0060,29,0.091
DLR_04,PRT_0061,21,0.116
DLR_04,PRT_0062,29,0.12
DLR_04,PRT_0063,37,0.111
DLR_04,PRT_0064,6,0.107
DLR_04,PRT_0065,16,0.113
DLR_04,PRT_0066,47,0.114
DLR_04,PRT_0067,39,0.114
DLR_04,PRT_0068,6,0.094
DLR_04,PRT_0069,35,0.117
DLR_04,PRT_0070,21,0.119
DLR_04,PRT_0071,47,0.08
DLR_04,PRT_0072,32,0.12
DLR_04,PRT_0073,37,0.116
DLR_04,PRT_0074,47,0.094
DLR_04,PRT_0075,46,0.089
DLR_04,PRT_0076,16,0.109
DLR_04,PRT_0077,43,0.087
DLR_04,PRT_0078,30,0.094
DLR_04,PRT_0079,44,0.117
DLR_04,PRT_0080,32,0.105
DLR_04,PRT_0081,21,0.111
DLR_04,PRT_0082,14,0.117
DLR_04,PRT_0083,6,0.119
DLR_04,PRT_0084,46,0.082
DLR_04,PRT_0085,47,0.103
DLR_04,PRT_0086,25,0.082
DLR_04,PRT_0087,22,0.089
DLR_04,PRT_0088,26,0.102
DLR_04,PRT_0089,49,0.113
DLR_04,PRT_0090,38,0.101
DLR_04,PRT_0091,41,0.113
DLR_04,PRT_0092,28,0.089
DLR_04,PRT_0093,18,0.085
DLR_04,PRT_0094,30,0.089
DLR_04,PRT_0095,18,0.082
DLR_04,PRT_0096,40,0.099
DLR_04,PRT_0097,23,0.102
DLR_04,PRT_0098,50,0.101
DLR_04,PRT_0099,9,0.089
DLR_04,PRT_0100,14,0.113
DLR_05,PRT_0001,0,0.086
DLR_05,PRT_0002,0,0.105
DLR_05,PRT_0003,42,0.088
DLR_05,PRT_0004,32,0.119
DLR_05,PRT_0005,44,0.084
DLR_05,PRT_0006,24,0.111
DLR_05,PRT_0007,13,0.099
DLR_05,PRT_0008,26,0.093
DLR_05,PRT_0009,11,0.106
DLR_05,PRT_0010,16,0.092
DLR_05,PRT_0011,13,0.118
DLR_05,PRT_0012,7,0.116
DLR_05,PRT_0013,26,0.085
DLR_05,PRT_0014,38,0.099
DLR_05,PRT_0015,23,0.092
DLR_05,PRT_0016,20,0.103
DLR_05,PRT_0017,23,0.088
DLR_05,PRT_0018,49,0.11
DLR_05,PRT_0019,24,0.096
DLR_05,PRT_0020,11,0.117
DLR_05,PRT_0021,9,0.112
DLR_05,PRT_0022,45,0.091
DLR_05,PRT_0023,39,0.082
DLR_05,PRT_0024,7,0.093
DLR_05,PRT_0025,47,0.114
DLR_05,PRT_0026,14,0.087
DLR_05,PRT_0027,13,0.115
DLR_05,PRT_0028,23,0.107
DLR_05,PRT_0029,45,0.113
DLR_05,PRT_0030,42,0.082
DLR_05,PRT_0031,11,0.115
DLR_05,PRT_0032,10,0.091
DLR_05,PRT_0033,48,0.116
DLR_05,PRT_0034,41,0.1
DLR_05,PRT_0035,14,0.101
DLR_05,PRT_0036,5,0.089
DLR_05,PRT_0037,49,0.097
DLR_05,PRT_0038,28,0.101
DLR_05,PRT_0039,16,0.116
DLR_05,PRT_0040,20,0.086
DLR_05,PRT_0041,40,0.094
DLR_05,PRT_0042,8,0.12
DLR_05,PRT_0043,46,0.11
DLR_05,PRT_0044,20,0.088
DLR_05,PRT_0045,21,0.102
DLR_05,PRT_0046,27,0.086
DLR_05,PRT_0047,20,0.114
DLR_05,PRT_0048,28,0.084
DLR_05,PRT_0049,27,0.087
DLR_05,PRT_0050,40,0.104
DLR_05,PRT_0051,6,0.1
DLR_05,PRT_0052,6,0.09
DLR_05,PRT_0053,40,0.116
DLR_05,PRT_0054,41,0.108
DLR_05,PRT_0055,11,0.083
DLR_05,PRT_0056,20,0.095
DLR_05,PRT_0057,48,0.115
DLR_05,PRT_0058,8,0.098
DLR_05,PRT_0059,34,0.1
DLR_05,PRT_0060,48,0.108
DLR_05,PRT_0061,22,0.092
DLR_05,PRT_0062,25,0.114
DLR_05,PRT_0063,47,0.101
DLR_05,PRT_0064,37,0.082
DLR_05,PRT_0065,18,0.084
DLR_05,PRT_0066,40,0.11
DLR_05,PRT_0067,32,0.09
DLR_05,PRT_0068,5,0.101
DLR_05,PRT_0069,7,0.086
DLR_05,PRT_0070,28,0.11
DLR_05,PRT_0071,37,0.115
DLR_05,PRT_0072,24,0.084
DLR_05,PRT_0073,35,0.082
DLR_05,PRT_0074,31,0.089
DLR_05,PRT_0075,9,0.094
DLR_05,PRT_0076,40,0.113
DLR_05,PRT_0077,48,0.103
DLR_05,PRT_0078,23,0.084
DLR_05,PRT_0079,12,0.099
DLR_05,PRT_0080,7,0.092
DLR_05,PRT_0081,27,0.106
DLR_05,PRT_0082,32,0.096
DLR_05,PRT_0083,39,0.088
DLR_05,PRT_0084,28,0.12
DLR_05,PRT_0085,21,0.107
DLR_05,PRT_0086,50,0.088
DLR_05,PRT_0087,33,0.091
DLR_05,PRT_0088,40,0.086
DLR_05,PRT_0089,39,0.083
DLR_05,PRT_0090,41,0.092
DLR_05,PRT_0091,24,0.115
DLR_05,PRT_0092,37,0.082
DLR_05,PRT_0093,27,0.105
DLR_05,PRT_0094,39,0.088
DLR_05,PRT_0095,42,0.101
DLR_05,PRT_0096,20,0.096
DLR_05,PRT_0097,6,0.112
DLR_05,PRT_0098,41,0.095
DLR_05,PRT_0099,37,0.087
DLR_05,PRT_0100,31,0.089
DLR_06,PRT_0001,0,0.119
DLR_06,PRT_0002,0,0.12
DLR_06,PRT_0003,39,0.116
DLR_06,PRT_0004,29,0.08
DLR_06,PRT_0005,24,0.092
DLR_06,PRT_0006,12,0.101
DLR_06,PRT_0007,14,0.107
DLR_06,PRT_0008,24,0.108
DLR_06,PRT_0009,31,0.096
DLR_06,PRT_0010,32,0.088
DLR_06,PRT_0011,28,0.118
DLR_06,PRT_0012,44,0.103
DLR_06,PRT_0013,9,0.086
DLR_06,PRT_0014,26,0.086
DLR_06,PRT_0015,44,0.099
DLR_06,PRT_0016,31,0.086
DLR_06,PRT_0017,37,0.106
DLR_06,PRT_0018,31,0.085
DLR_06,PRT_0019,37,0.119
DLR_06,PRT_0020,15,0.113
DLR_06,PRT_0021,27,0.087
DLR_06,PRT_0022,27,0.083
DLR_06,PRT_0023,29,0.1
DLR_06,PRT_0024,27,0.083
DLR_06,PRT_0025,5,0.103
DLR_06,PRT_0026,46,0.086
DLR_06,PRT_0027,8,0.088
DLR_06,PRT_0028,37,0.089
DLR_06,PRT_0029,42,0.095
DLR_06,PRT_0030,10,0.099
DLR_06,PRT_0031,14,0.093
DLR_06,PRT_0032,17,0.089
DLR_06,PRT_0033,35,0.118
DLR_06,PRT_0034,39,0.113
DLR_06,PRT_0035,10,0.117
DLR_06,PRT_0036,17,0.086
DLR_06,PRT_0037,29,0.091
DLR_06,PRT_0038,44,0.106
DLR_06,PRT_0039,21,0.086
DLR_06,PRT_0040,40,0.106
DLR_06,PRT_0041,32,0.117
DLR_06,PRT_0042,8,0.081
DLR_06,PRT_0043,9,0.112
DLR_06,PRT_0044,14,0.114
DLR_06,PRT_0045,10,0.111
DLR_06,PRT_0046,22,0.119
DLR_06,PRT_0047,42,0.099
DLR_06,PRT_0048,10,0.086
DLR_06,PRT_0049,36,0.092
DLR_06,PRT_0050,21,0.081
DLR_06,PRT_0051,37,0.11
DLR_06,PRT_0052,6,0.113
DLR_06,PRT_0053,30,0.112
DLR_06,PRT_0054,6,0.094
DLR_06,PRT_0055,47,0.11
DLR_06,PRT_0056,25,0.12
DLR_06,PRT_0057,32,0.106
DLR_06,PRT_0058,49,0.087
DLR_06,PRT_0059,15,0.097
DLR_06,PRT_0060,21,0.101
DLR_06,PRT_0061,50,0.1
DLR_06,PRT_0062,48,0.118
DLR_06,PRT_0063,13,0.1
DLR_06,PRT_0064,30,0.086
DLR_06,PRT_0065,17,0.105
DLR_06,PRT_0066,8,0.089
DLR_06,PRT_0067,48,0.084
DLR_06,PRT_0068,46,0.119
DLR_06,PRT_0069,33,0.09
DLR_06,PRT_0070,38,0.082
DLR_06,PRT_0071,25,0.082
DLR_06,PRT_0072,33,0.101
DLR_06,PRT_0073,46,0.111
DLR_06,PRT_0074,44,0.09
DLR_06,PRT_0075,44,0.106
DLR_06,PRT_0076,26,0.09
DLR_06,PRT_0077,11,0.08
DLR_06,PRT_0078,6,0.086
DLR_06,PRT_0079,28,0.097
DLR_06,PRT_0080,50,0.093
DLR_06,PRT_0081,35,0.109
DLR_06,PRT_0082,5,0.111
DLR_06,PRT_0083,16,0.104
DLR_06,PRT_0084,41,0.11
DLR_06,PRT_0085,29,0.081
DLR_06,PRT_0086,14,0.115
DLR_06,PRT_0087,40,0.085
DLR_06,PRT_0088,32,0.119
DLR_06,PRT_0089,27,0.101
DLR_06,PRT_0090,13,0.099
DLR_06,PRT_0091,18,0.095
DLR_06,PRT_0092,48,0.119
DLR_06,PRT_0093,28,0.107
DLR_06,PRT_0094,18,0.105
DLR_06,PRT_0095,40,0.084
DLR_06,PRT_0096,48,0.092
DLR_06,PRT_0097,35,0.103
DLR_06,PRT_0098,42,0.101
DLR_06,PRT_0099,6,0.106
DLR_06,PRT_0100,32,0.108
DLR_07,PRT_0001,0,0.109
DLR_07,PRT_0002,0,0.112
DLR_07,PRT_0003,50,0.111
DLR_07,PRT_0004,7,0.089
DLR_07,PRT_0005,27,0.116
DLR_07,PRT_0006,38,0.089
DLR_07,PRT_0007,5,0.11
DLR_07,PRT_0008,25,0.08
DLR_07,PRT_0009,19,0.099
DLR_07,PRT_0010,32,0.119
DLR_07,PRT_0011,18,0.096
DLR_07,PRT_0012,27,0.101
DLR_07,PRT_0013,31,0.104
DLR_07,PRT_0014,13,0.081
DLR_07,PRT_0015,36,0.109
DLR_07,PRT_0016,32,0.101
DLR_07,PRT_0017,9,0.106
DLR_07,PRT_0018,21,0.091
DLR_07,PRT_0019,9,0.111
DLR_07,PRT_0020,26,0.116
DLR_07,PRT_0021,8,0.098
DLR_07,PRT_0022,13,0.099
DLR_07,PRT_0023,22,0.084
DLR_07,PRT_0024,25,0.102
DLR_07,PRT_0025,13,0.093
DLR_07,PRT_0026,40,0.12
DLR_07,PRT_0027,26,0.082
DLR_07,PRT_0028,7,0.118
DLR_07,PRT_0029,41,0.109
DLR_07,PRT_0030,8,0.091
DLR_07,PRT_0031,15,0.11
DLR_07,PRT_0032,38,0.105
DLR_07,PRT_0033,46,0.093
DLR_07,PRT_0034,15,0.1
DLR_07,PRT_0035,48,0.09
DLR_07,PRT_0036,11,0.101
DLR_07,PRT_0037,20,0.112
DLR_07,PRT_0038,13,0.115
DLR_07,PRT_0039,31,0.098
DLR_07,PRT_0040,18,0.085
DLR_07,PRT_0041,6,0.119
DLR_07,PRT_0042,7,0.105
DLR_07,PRT_0043,21,0.105
DLR_07,PRT_0044,12,0.109
DLR_07,PRT_0045,25,0.102
DLR_07,PRT_0046,22,0.097
DLR_07,PRT_0047,22,0.117
DLR_07,PRT_0048,43,0.111
DLR_07,PRT_0049,45,0.084
DLR_07,PRT_0050,25,0.106
DLR_07,PRT_0051,29,0.088
DLR_07,PRT_0052,6,0.101
DLR_07,PRT_0053,42,0.108
DLR_07,PRT_0054,38,0.101
DLR_07,PRT_0055,38,0.104
DLR_07,PRT_0056,7,0.114
DLR_07,PRT_0057,5,0.09
DLR_07,PRT_0058,41,0.119
DLR_07,PRT_0059,27,0.091
DLR_07,PRT_0060,48,0.103
DLR_07,PRT_0061,40,0.118
DLR_07,PRT_0062,16,0.118
DLR_07,PRT_0063,12,0.114
DLR_07,PRT_0064,47,0.088
DLR_07,PRT_0065,44,0.093
DLR_07,PRT_0066,32,0.11
DLR_07,PRT_0067,33,0.119
DLR_07,PRT_0068,46,0.082
DLR_07,PRT_0069,38,0.116
DLR_07,PRT_0070,33,0.114
DLR_07,PRT_0071,19,0.117
DLR_07,PRT_0072,14,0.084
DLR_07,PRT_0073,43,0.097
DLR_07,PRT_0074,15,0.08
DLR_07,PRT_0075,20,0.11
DLR_07,PRT_0076,24,0.084
DLR_07,PRT_0077,44,0.091
DLR_07,PRT_0078,43,0.102
DLR_07,PRT_0079,15,0.105
DLR_07,PRT_0080,21,0.113
DLR_07,PRT_0081,13,0.11
DLR_07,PRT_0082,9,0.09
DLR_07,PRT_0083,10,0.086
DLR_07,PRT_0084,43,0.097
DLR_07,PRT_0085,34,0.096
DLR_07,PRT_0086,45,0.107
DLR_07,PRT_0087,29,0.11
DLR_07,PRT_0088,33,0.105
DLR_07,PRT_0089,49,0.11
DLR_07,PRT_0090,45,0.105
DLR_07,PRT_0091,24,0.094
DLR_07,PRT_0092,6,0.088
DLR_07,PRT_0093,26,0.081
DLR_07,PRT_0094,11,0.118
DLR_07,PRT_0095,41,0.101
DLR_07,PRT_0096,34,0.094
DLR_07,PRT_0097,25,0.097
DLR_07,PRT_0098,36,0.108
DLR_07,PRT_0099,39,0.118
DLR_07,PRT_0100,24,0.111
DLR_08,PRT_0001,5,0.093
DLR_08,PRT_0002,7,0.109
DLR_08,PRT_0003,11,0.106
DLR_08,PRT_0004,50,0.119
DLR_08,PRT_0005,5,0.114
DLR_08,PRT_0006,21,0.084
DLR_08,PRT_0007,12,0.109
DLR_08,PRT_0008,35,0.088
DLR_08,PRT_0009,15,0.084
DLR_08,PRT_0010,11,0.094
DLR_08,PRT_0011,50,0.116
DLR_08,PRT_0012,10,0.115
DLR_08,PRT_0013,33,0.086
DLR_08,PRT_0014,33,0.097
DLR_08,PRT_0015,13,0.098
DLR_08,PRT_0016,5,0.084
DLR_08,PRT_0017,35,0.093
DLR_08,PRT_0018,43,0.1
DLR_08,PRT_0019,18,0.091
DLR_08,PRT_0020,13,0.12
DLR_08,PRT_0021,44,0.083
DLR_08,PRT_0022,20,0.084
DLR_08,PRT_0023,17,0.103
DLR_08,PRT_0024,15,0.102
DLR_08,PRT_0025,23,0.112
DLR_08,PRT_0026,35,0.092
DLR_08,PRT_0027,10,0.111
DLR_08,PRT_0028,29,0.1
DLR_08,PRT_0029,19,0.117
DLR_08,PRT_0030,27,0.082
DLR_08,PRT_0031,24,0.086
DLR_08,PRT_0032,27,0.102
DLR_08,PRT_0033,38,0.116
