Part_Number,Description,Inventory_Level,Category_Group,Unit_Of_Measurement,MRP_Base,Critical_Flag,Reorder_Point,Min_Order_Qty
990J0M98816,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Piece,647.61,0,20,200
99000M00216,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,Piece,286.12,0,20,200
990J0M23429,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,gm,512.28,0,20,200
99000M50025,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Piece,1193.67,0,20,200
990J0M54278,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,L,2269.84,0,20,200
99000M71920,Steering Cover,Consumable,High-Velocity Workshop Consumables,gm,1354.2,0,20,200
990J0M33837,Super Lubricant,Consumable,High-Velocity Workshop Consumables,gm,201.68,0,20,200
99000M75460,Super Adhesive,Consumable,High-Velocity Workshop Consumables,ml,411.44,0,20,200
990J0M43595,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Pack,2022.22,0,20,200
99000M49090,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,gm,2179.94,0,20,200
990J0M95269,Body Wax Top,Consumable,High-Velocity Workshop Consumables,L,474.56,0,20,200
99000M48935,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Set,1352.96,0,20,200
990J0M26115,Car Primer,Consumable,High-Velocity Workshop Consumables,Piece,2241.27,0,20,200
99000M44272,Tyre Shine,Consumable,High-Velocity Workshop Consumables,Set,284.03,0,20,200
990J0M66852,Rubber Care,Consumable,High-Velocity Workshop Consumables,Set,11.3,0,20,200
99000M55026,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,ml,27.31,0,20,200
990J0M21969,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,ml,1049.35,0,20,200
99000M03758,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Unit,308.46,0,20,200
990J0M66209,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Piece,429.04,0,20,200
99000M61097,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Unit,1015.55,0,20,200
990J0M51015,Steering Cover,Consumable,High-Velocity Workshop Consumables,Unit,642.25,0,20,200
99000M83221,Super Lubricant,Consumable,High-Velocity Workshop Consumables,Set,1743.8,0,20,200
990J0M89484,Super Adhesive,Consumable,High-Velocity Workshop Consumables,Unit,378.74,0,20,200
99000M93274,Super Cleaner,Consumable,High-Velocity Workshop Consumables,ml,1527.82,0,20,200
990J0M00864,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,gm,869.23,0,20,200
99000M55690,Body Wax Top,Consumable,High-Velocity Workshop Consumables,ml,1704.96,0,20,200
990J0M87102,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,L,1124.98,0,20,200
99000M26319,Car Primer,Consumable,High-Velocity Workshop Consumables,Piece,1683.62,0,20,200
990J0M98516,Tyre Shine,Consumable,High-Velocity Workshop Consumables,ml,612.98,0,20,200
99000M37167,Rubber Care,Consumable,High-Velocity Workshop Consumables,gm,1584.44,0,20,200
990J0M65743,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Set,1344.08,0,20,200
99000M80633,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,Unit,385.29,0,20,200
990J0M86212,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Set,1742.57,0,20,200
99000M91916,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,L,821.64,0,20,200
990J0M72092,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Pack,1285.11,0,20,200
99000M11421,Steering Cover,Consumable,High-Velocity Workshop Consumables,Piece,444.17,0,20,200
990J0M84906,Super Lubricant,Consumable,High-Velocity Workshop Consumables,Piece,2342.46,0,20,200
99000M37514,Super Adhesive,Consumable,High-Velocity Workshop Consumables,ml,859.26,0,20,200
990J0M39394,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Pack,2312.49,0,20,200
99000M85991,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Pack,652.27,0,20,200
990J0M46853,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Pack,2455.6,0,20,200
99000M16381,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,L,659.46,0,20,200
990J0M31626,Car Primer,Consumable,High-Velocity Workshop Consumables,Set,2244.07,0,20,200
99000M29865,Tyre Shine,Consumable,High-Velocity Workshop Consumables,ml,479.88,0,20,200
990J0M07410,Rubber Care,Consumable,High-Velocity Workshop Consumables,ml,1753.89,0,20,200
99000M51417,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,ml,2142.25,0,20,200
990J0M59050,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,L,219.51,0,20,200
99000M32721,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,L,2247.4,0,20,200
990J0M61277,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Set,32.9,0,20,200
99000M02567,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Unit,1662.12,0,20,200
990J0M68507,Steering Cover,Consumable,High-Velocity Workshop Consumables,Set,1376.35,0,20,200
99000M02879,Super Lubricant,Consumable,High-Velocity Workshop Consumables,ml,1633.38,0,20,200
990J0M94189,Super Adhesive,Consumable,High-Velocity Workshop Consumables,Unit,55.01,0,20,200
99000M91422,Super Cleaner,Consumable,High-Velocity Workshop Consumables,L,922.51,0,20,200
990J0M46224,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,ml,1647.46,0,20,200
99000M44074,Body Wax Top,Consumable,High-Velocity Workshop Consumables,L,1276.95,0,20,200
990J0M45535,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Piece,633.65,0,20,200
99000M79919,Car Primer,Consumable,High-Velocity Workshop Consumables,Set,988.81,0,20,200
990J0M76223,Tyre Shine,Consumable,High-Velocity Workshop Consumables,ml,1091.64,0,20,200
99000M48414,Rubber Care,Consumable,High-Velocity Workshop Consumables,Set,1616.31,0,20,200
990J0M39800,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Unit,496.16,0,20,200
99000M40774,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,ml,1434.29,0,20,200
990J0M73754,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,L,2351.74,0,20,200
99000M43494,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Set,2288.01,0,20,200
990J0M47212,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,L,48.49,0,20,200
99000M18721,Steering Cover,Consumable,High-Velocity Workshop Consumables,gm,1076.18,0,20,200
990J0M45246,Super Lubricant,Consumable,High-Velocity Workshop Consumables,Piece,2409.41,0,20,200
99000M54250,Super Adhesive,Consumable,High-Velocity Workshop Consumables,L,743.18,0,20,200
990J0M06112,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Unit,799.14,0,20,200
99000M26651,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Unit,992.78,0,20,200
990J0M23103,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Pack,2325.74,0,20,200
99000M51895,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Pack,1541.37,0,20,200
990J0M11103,Car Primer,Consumable,High-Velocity Workshop Consumables,Piece,358.81,0,20,200
99000M82084,Tyre Shine,Consumable,High-Velocity Workshop Consumables,Pack,2194.66,0,20,200
990J0M66330,Rubber Care,Consumable,High-Velocity Workshop Consumables,Unit,350.19,0,20,200
99000M78079,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Piece,741.04,0,20,200
990J0M19200,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,Pack,2027.18,0,20,200
99000M29602,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,gm,213.17,0,20,200
990J0M89922,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,L,1997.75,0,20,200
99000M02378,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Set,1991.52,0,20,200
990J0M91093,Steering Cover,Consumable,High-Velocity Workshop Consumables,ml,851.61,0,20,200
99000M13413,Super Lubricant,Consumable,High-Velocity Workshop Consumables,Pack,244.02,0,20,200
990J0M10976,Super Adhesive,Consumable,High-Velocity Workshop Consumables,Piece,99.5,0,20,200
99000M93858,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Pack,1361.19,0,20,200
990J0M50310,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Set,1481.17,0,20,200
99000M56671,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Unit,103.0,0,20,200
990J0M53016,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Set,1347.34,0,20,200
99000M92782,Car Primer,Consumable,High-Velocity Workshop Consumables,Unit,2071.39,0,20,200
990J0M03061,Tyre Shine,Consumable,High-Velocity Workshop Consumables,L,1561.0,0,20,200
99000M87245,Rubber Care,Consumable,High-Velocity Workshop Consumables,Set,138.69,0,20,200
990J0M56189,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Set,1356.18,0,20,200
99000M39744,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,L,340.54,0,20,200
990J0M17029,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Pack,814.16,0,20,200
99000M86682,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Piece,1089.47,0,20,200
990J0M25955,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,gm,468.99,0,20,200
99000M05959,Steering Cover,Consumable,High-Velocity Workshop Consumables,Piece,1076.5,0,20,200
990J0M74750,Super Lubricant,Consumable,High-Velocity Workshop Consumables,Unit,441.5,0,20,200
99000M16906,Super Adhesive,Consumable,High-Velocity Workshop Consumables,Piece,633.1,0,20,200
990J0M07815,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Set,1789.34,0,20,200
99000M45553,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,gm,707.04,0,20,200
990J0M03353,Body Wax Top,Consumable,High-Velocity Workshop Consumables,gm,1847.36,0,20,200
99000M09672,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,gm,1533.18,0,20,200
990J0M59648,Car Primer,Consumable,High-Velocity Workshop Consumables,ml,626.85,0,20,200
99000M67225,Tyre Shine,Consumable,High-Velocity Workshop Consumables,ml,1897.04,0,20,200
990J0M84674,Rubber Care,Consumable,High-Velocity Workshop Consumables,gm,299.02,0,20,200
99000M54350,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Piece,111.41,0,20,200
990J0M95991,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,Set,1762.11,0,20,200
99000M95445,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Pack,1910.78,0,20,200
990J0M94768,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,L,441.27,0,20,200
99000M59111,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,gm,1002.28,0,20,200
990J0M23059,Steering Cover,Consumable,High-Velocity Workshop Consumables,Set,1591.38,0,20,200
99000M68395,Super Lubricant,Consumable,High-Velocity Workshop Consumables,L,942.79,0,20,200
990J0M23299,Super Adhesive,Consumable,High-Velocity Workshop Consumables,ml,1262.81,0,20,200
99000M60170,Super Cleaner,Consumable,High-Velocity Workshop Consumables,gm,1713.07,0,20,200
990J0M27673,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Piece,2361.19,0,20,200
99000M49125,Body Wax Top,Consumable,High-Velocity Workshop Consumables,ml,2004.36,0,20,200
990J0M59285,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Pack,1437.68,0,20,200
99000M91690,Car Primer,Consumable,High-Velocity Workshop Consumables,Unit,2029.9,0,20,200
990J0M93620,Tyre Shine,Consumable,High-Velocity Workshop Consumables,gm,1568.59,0,20,200
99000M97866,Rubber Care,Consumable,High-Velocity Workshop Consumables,Unit,1632.2,0,20,200
990J0M82996,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,L,692.16,0,20,200
99000M86037,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,Piece,949.38,0,20,200
990J0M97542,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,ml,1549.45,0,20,200
99000M27360,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Unit,1642.75,0,20,200
990J0M88678,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Pack,1707.22,0,20,200
99000M76807,Steering Cover,Consumable,High-Velocity Workshop Consumables,Pack,659.13,0,20,200
990J0M20368,Super Lubricant,Consumable,High-Velocity Workshop Consumables,L,1735.3,0,20,200
99000M38523,Super Adhesive,Consumable,High-Velocity Workshop Consumables,gm,2342.25,0,20,200
990J0M07553,Super Cleaner,Consumable,High-Velocity Workshop Consumables,L,1050.69,0,20,200
99000M89094,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Unit,1374.45,0,20,200
990J0M38766,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Unit,1425.62,0,20,200
99000M83052,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,L,936.33,0,20,200
990J0M65520,Car Primer,Consumable,High-Velocity Workshop Consumables,Piece,2327.59,0,20,200
99000M61486,Tyre Shine,Consumable,High-Velocity Workshop Consumables,L,1078.2,0,20,200
990J0M71190,Rubber Care,Consumable,High-Velocity Workshop Consumables,Piece,1888.81,0,20,200
99000M21362,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Set,2257.36,0,20,200
990J0M14407,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,L,2067.88,0,20,200
99000M50527,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,gm,2239.85,0,20,200
990J0M47290,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,L,36.99,0,20,200
99000M72946,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,ml,237.3,0,20,200
990J0M35280,Steering Cover,Consumable,High-Velocity Workshop Consumables,L,2375.65,0,20,200
99000M64905,Super Lubricant,Consumable,High-Velocity Workshop Consumables,L,1437.86,0,20,200
990J0M05496,Super Adhesive,Consumable,High-Velocity Workshop Consumables,gm,238.34,0,20,200
99000M89122,Super Cleaner,Consumable,High-Velocity Workshop Consumables,L,1684.57,0,20,200
990J0M60576,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Unit,292.53,0,20,200
99000M89790,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Pack,2435.88,0,20,200
990J0M88471,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Piece,149.12,0,20,200
99000M23724,Car Primer,Consumable,High-Velocity Workshop Consumables,Piece,1369.33,0,20,200
990J0M89940,Tyre Shine,Consumable,High-Velocity Workshop Consumables,Pack,2421.94,0,20,200
99000M48146,Rubber Care,Consumable,High-Velocity Workshop Consumables,Pack,2094.04,0,20,200
990J0M72602,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,gm,2097.82,0,20,200
99000M21687,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,gm,564.22,0,20,200
990J0M62866,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Pack,2230.82,0,20,200
99000M83470,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,gm,221.25,0,20,200
990J0M26972,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,gm,932.9,0,20,200
99000M91802,Steering Cover,Consumable,High-Velocity Workshop Consumables,Piece,2270.16,0,20,200
990J0M01334,Super Lubricant,Consumable,High-Velocity Workshop Consumables,L,882.04,0,20,200
99000M89349,Super Adhesive,Consumable,High-Velocity Workshop Consumables,Piece,1209.35,0,20,200
990J0M26800,Super Cleaner,Consumable,High-Velocity Workshop Consumables,ml,629.32,0,20,200
99000M93724,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Piece,1091.79,0,20,200
990J0M86198,Body Wax Top,Consumable,High-Velocity Workshop Consumables,gm,1018.95,0,20,200
99000M03719,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Pack,1855.02,0,20,200
990J0M57809,Car Primer,Consumable,High-Velocity Workshop Consumables,gm,2058.75,0,20,200
99000M42928,Tyre Shine,Consumable,High-Velocity Workshop Consumables,Unit,1705.79,0,20,200
990J0M80229,Rubber Care,Consumable,High-Velocity Workshop Consumables,Set,1006.56,0,20,200
99000M99845,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Unit,216.4,0,20,200
990J0M82858,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,Set,1096.48,0,20,200
99000M67651,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,L,2444.97,0,20,200
990J0M22710,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,gm,813.49,0,20,200
99000M20569,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Set,2312.36,0,20,200
990J0M76549,Steering Cover,Consumable,High-Velocity Workshop Consumables,gm,639.95,0,20,200
99000M30364,Super Lubricant,Consumable,High-Velocity Workshop Consumables,L,197.83,0,20,200
990J0M71736,Super Adhesive,Consumable,High-Velocity Workshop Consumables,Unit,549.85,0,20,200
99000M52648,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Unit,1572.62,0,20,200
990J0M68876,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Piece,123.16,0,20,200
99000M78869,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Pack,2376.52,0,20,200
990J0M21457,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Set,1144.59,0,20,200
99000M66213,Car Primer,Consumable,High-Velocity Workshop Consumables,gm,700.68,0,20,200
990J0M46437,Tyre Shine,Consumable,High-Velocity Workshop Consumables,L,1164.61,0,20,200
99000M84675,Rubber Care,Consumable,High-Velocity Workshop Consumables,L,1463.3,0,20,200
990J0M27365,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,gm,2436.24,0,20,200
99000M20169,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,ml,1748.42,0,20,200
990J0M38098,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Unit,1033.9,0,20,200
99000M35557,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,gm,341.63,0,20,200
990J0M45455,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Pack,1047.43,0,20,200
99000M70350,Steering Cover,Consumable,High-Velocity Workshop Consumables,Piece,2298.75,0,20,200
990J0M65555,Super Lubricant,Consumable,High-Velocity Workshop Consumables,Set,2166.5,0,20,200
99000M95094,Super Adhesive,Consumable,High-Velocity Workshop Consumables,gm,75.65,0,20,200
990J0M61823,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Unit,1206.12,0,20,200
99000M62302,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Pack,958.42,0,20,200
990J0M20319,Body Wax Top,Consumable,High-Velocity Workshop Consumables,ml,2106.88,0,20,200
99000M46550,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Unit,1177.05,0,20,200
990J0M08712,Car Primer,Consumable,High-Velocity Workshop Consumables,Unit,44.04,0,20,200
99000M47936,Tyre Shine,Consumable,High-Velocity Workshop Consumables,Set,1732.37,0,20,200
990J0M60110,Rubber Care,Consumable,High-Velocity Workshop Consumables,Piece,1877.28,0,20,200
99000M80652,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,gm,1467.02,0,20,200
990J0M69182,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,gm,1895.13,0,20,200
99000M53340,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Unit,610.3,0,20,200
0927600,O-Ring Washer,Micro,Micro-Components,Set,380.91,0,10,80
3835780,Crush Washer,Micro,Micro-Components,gm,314.81,0,10,80
3865544,Banjo Connector Screw,Micro,Micro-Components,Unit,1136.71,0,10,80
4864419,Lock Pin,Micro,Micro-Components,Piece,174.77,0,10,80
0921249,Spring Clip,Micro,Micro-Components,Pack,716.93,0,10,80
3831770,Hose Clamp,Micro,Micro-Components,ml,465.13,0,10,80
3862077,Tie Rod Lock Washer,Micro,Micro-Components,L,843.6,0,10,80
4868901,Seal Ring,Micro,Micro-Components,ml,608.21,0,10,80
0925719,Bolt Kit,Micro,Micro-Components,Piece,48.03,0,10,80
3832252,Spacer Shim,Micro,Micro-Components,gm,960.85,0,10,80
3865530,O-Ring Washer,Micro,Micro-Components,Piece,208.88,0,10,80
4867881,Crush Washer,Micro,Micro-Components,Set,914.09,0,10,80
0929017,Banjo Connector Screw,Micro,Micro-Components,Set,834.45,0,10,80
3832331,Lock Pin,Micro,Micro-Components,Unit,773.41,0,10,80
3866115,Spring Clip,Micro,Micro-Components,Set,935.02,0,10,80
4868730,Hose Clamp,Micro,Micro-Components,Unit,1424.53,0,10,80
0928043,Tie Rod Lock Washer,Micro,Micro-Components,Pack,1390.25,0,10,80
3836449,Seal Ring,Micro,Micro-Components,Unit,391.08,0,10,80
3865164,Bolt Kit,Micro,Micro-Components,Pack,933.1,0,10,80
4866569,Spacer Shim,Micro,Micro-Components,gm,317.65,0,10,80
0922906,O-Ring Washer,Micro,Micro-Components,Piece,197.68,0,10,80
3838350,Crush Washer,Micro,Micro-Components,Piece,603.45,0,10,80
3867031,Banjo Connector Screw,Micro,Micro-Components,L,276.91,0,10,80
4869472,Lock Pin,Micro,Micro-Components,ml,1312.1,0,10,80
0921666,Spring Clip,Micro,Micro-Components,gm,1459.8,0,10,80
3837777,Hose Clamp,Micro,Micro-Components,ml,66.1,0,10,80
3866124,Tie Rod Lock Washer,Micro,Micro-Components,Pack,421.49,0,10,80
4864900,Seal Ring,Micro,Micro-Components,Set,137.61,0,10,80
0927376,Bolt Kit,Micro,Micro-Components,L,313.47,0,10,80
3833593,Spacer Shim,Micro,Micro-Components,Unit,757.61,0,10,80
3868240,O-Ring Washer,Micro,Micro-Components,Pack,1200.12,0,10,80
4866240,Crush Washer,Micro,Micro-Components,Set,127.23,0,10,80
0927493,Banjo Connector Screw,Micro,Micro-Components,ml,1381.7,0,10,80
3834644,Lock Pin,Micro,Micro-Components,Unit,418.93,0,10,80
3862276,Spring Clip,Micro,Micro-Components,L,317.98,0,10,80
4861638,Hose Clamp,Micro,Micro-Components,Set,357.99,0,10,80
0929150,Tie Rod Lock Washer,Micro,Micro-Components,Set,696.49,0,10,80
3831364,Seal Ring,Micro,Micro-Components,Pack,59.84,0,10,80
3866126,Bolt Kit,Micro,Micro-Components,ml,1343.33,0,10,80
4863797,Spacer Shim,Micro,Micro-Components,ml,800.51,0,10,80
0929172,O-Ring Washer,Micro,Micro-Components,Pack,673.88,0,10,80
