Line_Item_ID,Job_Card_Number,Part_Number,Description,Inventory_Level,Quantity_Consumed,Unit_Price,Billed_Amount,Tax_Code
LI000000051,JC00000030,99000M95094,Super Adhesive,Consumable,0.25,75.65,18.91,GST18
LI000000052,JC00000031,99000M76807,Steering Cover,Consumable,1.0,659.13,659.13,GST18
LI000000053,JC00000031,990J0M807280,Air Filter Element,PM,1.0,183.69,183.69,GST18
LI000000054,JC00000031,990J0M76223,Tyre Shine,Consumable,1.0,1091.64,1091.64,GST12
LI000000055,JC00000032,99000M60170,Super Cleaner,Consumable,0.5,1713.07,856.54,GST18
LI000000056,JC00000033,99000M93724,Body G3 Advance Liquid,Consumable,0.25,1091.79,272.95,GST18
LI000000057,JC00000033,99000M89122,Super Cleaner,Consumable,2.0,1684.57,3369.14,GST18
LI000000058,JC00000034,16557924,Coolant,PM,2.0,3461.1,6922.2,GST12
LI000000059,JC00000035,0923712,Spring Clip,Micro,1.0,1349.86,1349.86,GST18
LI000000060,JC00000036,990J0M68507,Steering Cover,Consumable,0.5,1376.35,688.18,GST18
LI000000061,JC00000036,99144832,Clutch Fluid,PM,1.0,2291.34,2291.34,GST18
LI000000062,JC00000037,990J0M88471,Windshield Washer Fluid,Consumable,0.5,149.12,74.56,GST18
LI000000063,JC00000038,99000M86682,Microfibre Cloth,Consumable,1.0,1089.47,1089.47,GST5
LI000000064,JC00000038,990J0M01334,Super Lubricant,Consumable,1.0,882.04,882.04,GST18
LI000000065,JC00000039,137956101,Clutch Fluid,PM,1.0,4354.35,4354.35,GST18
LI000000066,JC00000039,99000M85991,Body G3 Advance Liquid,Consumable,1.0,652.27,652.27,GST18
LI000000067,JC00000039,95122588,Relay Module,Mid,1.0,18424.69,18424.69,GST18
LI000000068,JC00000040,137582615,Fuel Filter Kit,PM,1.0,1655.97,1655.97,GST5
LI000000069,JC00000041,1120039856,Engine Block Assembly,Macro,1.0,152397.61,152397.61,GST18
LI000000070,JC00000042,3831364,Seal Ring,Micro,4.0,59.84,239.36,GST5
LI000000071,JC00000042,0927376,Bolt Kit,Micro,1.0,313.47,313.47,GST18
LI000000072,JC00000043,3838970,Seal Ring,Micro,2.0,624.68,1249.36,GST18
LI000000073,JC00000043,991752465,Cabin Air Filter,PM,1.0,3970.6,3970.6,GST12
LI000000074,JC00000044,95175641,Relay Module,Mid,1.0,26980.23,26980.23,GST5
LI000000075,JC00000045,5M027014,Differential Assembly,Macro,1.0,37492.92,37492.92,GST18
LI000000076,JC00000046,99000M89094,Body G3 Advance Liquid,Consumable,3.0,1374.45,4123.35,GST12
LI000000077,JC00000047,42173416,AC Compressor Bracket,Mid,2.0,39367.12,78734.24,GST5
LI000000078,JC00000048,16548197,Engine Oil Filter,PM,1.0,4992.32,4992.32,GST12
LI000000079,JC00000048,4861094,Spacer Shim,Micro,1.0,1042.45,1042.45,GST12
LI000000080,JC00000048,42186619,Wheel Cylinder,Mid,1.0,6257.38,6257.38,GST18
LI000000081,JC00000049,99000M78869,Body Wax Top,Consumable,0.5,2376.52,1188.26,GST18
LI000000082,JC00000049,3864368,O-Ring Washer,Micro,1.0,1366.48,1366.48,GST5
LI000000083,JC00000050,990J0M999H2-360,Clear View Washer Fluid,Consumable,2.0,479.0,958.0,GST12
LI000000084,JC00000051,99000M20569,Seat Protection Cover,Consumable,2.0,2312.36,4624.72,GST18
LI000000085,JC00000052,990J0M999H2-360,Clear View Washer Fluid,Consumable,1.0,479.0,479.0,GST12
LI000000086,JC00000053,3E083297,Chassis Frame,Macro,1.0,202486.21,202486.21,GST12
LI000000087,JC00000053,99000M53340,RTV Gasket Maker,Consumable,2.0,610.3,1220.6,GST18
LI000000088,JC00000053,17632431,Brake Disc,Mid,1.0,13395.22,13395.22,GST12
LI000000089,JC00000054,99000M47936,Tyre Shine,Consumable,3.0,1732.37,5197.11,GST5
LI000000090,JC00000054,5M044084,Transmission Assembly,Macro,1.0,79579.42,79579.42,GST5
LI000000091,JC00000054,165698260,Air Filter Element,PM,1.0,3783.66,3783.66,GST12
LI000000092,JC00000055,4869195,Spacer Shim,Micro,1.0,1226.52,1226.52,GST18
LI000000093,JC00000055,4866984,Lock Pin,Micro,1.0,660.92,660.92,GST12
LI000000094,JC00000055,99000M91802,Steering Cover,Consumable,0.5,2270.16,1135.08,GST18
LI000000095,JC00000056,99000M02567,Seat Protection Cover,Consumable,1.0,1662.12,1662.12,GST12
LI000000096,JC00000057,99000M23724,Car Primer,Consumable,0.25,1369.33,342.33,GST5
LI000000097,JC00000058,3835033,Hose Clamp,Micro,1.0,104.6,104.6,GST12
LI000000098,JC00000058,3831364,Seal Ring,Micro,1.0,59.84,59.84,GST18
LI000000099,JC00000058,99000M64515,Super Cleaner,Consumable,2.0,2288.25,4576.5,GST18
LI000000100,JC00000059,990J0M46853,Body Wax Top,Consumable,1.0,2455.6,2455.6,GST18
LI000000101,JC00000060,990J0M68158,Seat Protection Cover,Consumable,3.0,1713.74,5141.22,GST18
LI000000102,JC00000061,99000M89094,Body G3 Advance Liquid,Consumable,0.5,1374.45,687.22,GST12
LI000000103,JC00000061,17685897,Ignition Coil,Mid,1.0,32946.91,32946.91,GST18
LI000000104,JC00000061,3E017421,Complete Body Shell,Macro,1.0,247129.6,247129.6,GST18
LI000000105,JC00000062,990J0M70602,Tyre Shine,Consumable,0.5,307.79,153.9,GST18
LI000000106,JC00000062,99172483,Fuel Filter Kit,PM,1.0,3173.94,3173.94,GST12
LI000000107,JC00000063,6A041890,Cylinder Head Assembly,Macro,1.0,169838.09,169838.09,GST18
LI000000108,JC00000064,3865018,Tie Rod Lock Washer,Micro,1.0,179.76,179.76,GST18
LI000000109,JC00000064,3E051235,Cylinder Head Assembly,Macro,1.0,127775.81,127775.81,GST18
LI000000110,JC00000064,99000M35557,Microfibre Cloth,Consumable,0.5,341.63,170.82,GST5
LI000000111,JC00000065,3E018927,Cylinder Head Assembly,Macro,1.0,119438.57,119438.57,GST18
LI000000112,JC00000065,990J0M84906,Super Lubricant,Consumable,0.25,2342.46,585.62,GST18
LI000000113,JC00000066,6A088714,Chassis Frame,Macro,1.0,19284.66,19284.66,GST12
LI000000114,JC00000066,6A087576,Gearbox,Macro,1.0,142455.46,142455.46,GST18
LI000000115,JC00000066,34221561,ECM Harness,Mid,1.0,15227.52,15227.52,GST18
LI000000116,JC00000067,99000M16381,Windshield Washer Fluid,Consumable,0.25,659.46,164.86,GST18
LI000000117,JC00000067,4866415,Hose Clamp,Micro,1.0,76.9,76.9,GST18
LI000000118,JC00000067,5M086743,Transmission Assembly,Macro,1.0,166005.35,166005.35,GST18
LI000000119,JC00000068,0923219,Bolt Kit,Micro,2.0,486.92,973.84,GST18
LI000000120,JC00000068,95184318,Brake Pad Set,Mid,1.0,33868.94,33868.94,GST12
LI000000121,JC00000069,991808362,Cabin Air Filter,PM,1.0,2166.25,2166.25,GST12
LI000000122,JC00000070,990J0M20368,Super Lubricant,Consumable,1.0,1735.3,1735.3,GST5
LI000000123,JC00000071,99000M52648,Super Cleaner,Consumable,0.5,1572.62,786.31,GST18
LI000000124,JC00000071,990J0M03353,Body Wax Top,Consumable,0.5,1847.36,923.68,GST18
LI000000125,JC00000071,1120067993,Powertrain Assembly,Macro,1.0,106862.91,106862.91,GST12
LI000000126,JC00000072,99000M91422,Super Cleaner,Consumable,0.5,922.51,461.26,GST18
LI000000127,JC00000072,42136015,Wheel Cylinder,Mid,1.0,28507.89,28507.89,GST12
LI000000128,JC00000073,3866124,Tie Rod Lock Washer,Micro,1.0,421.49,421.49,GST12
LI000000129,JC00000074,990J0M82996,Foam Wash Liquid,Consumable,0.25,692.16,173.04,GST18
LI000000130,JC00000074,0927493,Banjo Connector Screw,Micro,2.0,1381.7,2763.4,GST18
LI000000131,JC00000075,16510M68K20,Engine Oil Filter,PM,1.0,250.0,250.0,GST12
LI000000132,JC00000075,99000M45553,Body G3 Advance Liquid,Consumable,0.25,707.04,176.76,GST5
LI000000133,JC00000076,165478165,Air Filter Element,PM,1.0,2410.06,2410.06,GST18
LI000000134,JC00000077,4863797,Spacer Shim,Micro,1.0,800.51,800.51,GST12
LI000000135,JC00000077,17616276,Brake Disc,Mid,1.0,23721.43,23721.43,GST5
LI000000136,JC00000078,990J0M70602,Tyre Shine,Consumable,0.25,307.79,76.95,GST18
LI000000137,JC00000079,990J0M92197,Air Filter Element,PM,2.0,1083.83,2167.66,GST18
LI000000138,JC00000080,99000M26651,Body G3 Advance Liquid,Consumable,0.5,992.78,496.39,GST12
LI000000139,JC00000081,34281635,Brake Shoe Set,Mid,1.0,1948.52,1948.52,GST12
LI000000140,JC00000081,6A025398,Gearbox,Macro,1.0,74742.78,74742.78,GST12
LI000000141,JC00000081,990J0M25955,Seat Protection Cover,Consumable,2.0,468.99,937.98,GST18
LI000000142,JC00000082,99000M35557,Microfibre Cloth,Consumable,1.0,341.63,341.63,GST18
LI000000143,JC00000083,4869915,Lock Pin,Micro,1.0,1105.69,1105.69,GST18
LI000000144,JC00000084,3E074157,Gearbox,Macro,1.0,108977.72,108977.72,GST18
LI000000145,JC00000084,16516783,Engine Oil Filter,PM,1.0,245.44,245.44,GST18
LI000000146,JC00000085,0929017,Banjo Connector Screw,Micro,1.0,834.45,834.45,GST12
LI000000147,JC00000086,4869905,Lock Pin,Micro,1.0,486.51,486.51,GST5
LI000000148,JC00000087,95184318,Brake Pad Set,Mid,1.0,33868.94,33868.94,GST5
LI000000149,JC00000087,95142981,Relay Module,Mid,1.0,4644.74,4644.74,GST12
LI000000150,JC00000088,4866401,Crush Washer,Micro,1.0,370.31,370.31,GST18
LI000000151,JC00000088,0925719,Bolt Kit,Micro,1.0,48.03,48.03,GST12
LI000000152,JC00000089,990J0M66852,Rubber Care,Consumable,1.0,11.3,11.3,GST18
LI000000153,JC00000090,990J0M03061,Tyre Shine,Consumable,2.0,1561.0,3122.0,GST5
LI000000154,JC00000090,1120019108,Engine Block Assembly,Macro,1.0,106311.15,106311.15,GST18
LI000000155,JC00000091,3865164,Bolt Kit,Micro,1.0,933.1,933.1,GST12
LI000000156,JC00000091,42115109,Wheel Cylinder,Mid,2.0,11125.24,22250.48,GST18
LI000000157,JC00000091,990J0M87102,Windshield Washer Fluid,Consumable,3.0,1124.98,3374.94,GST18
LI000000158,JC00000092,990J0M11404,Foam Wash Liquid,Consumable,0.5,1522.79,761.4,GST12
LI000000159,JC00000093,16511007,Engine Oil Filter,PM,1.0,1735.89,1735.89,GST5
LI000000160,JC00000093,13760072,Fuel Filter Kit,PM,1.0,2557.07,2557.07,GST5
LI000000161,JC00000093,165261633,Air Filter Element,PM,2.0,5193.73,10387.46,GST18
LI000000162,JC00000094,990J0M31626,Car Primer,Consumable,0.5,2244.07,1122.04,GST5
LI000000163,JC00000095,99000M84675,Rubber Care,Consumable,0.25,1463.3,365.82,GST18
LI000000164,JC00000096,34255350,Brake Shoe Set,Mid,1.0,39689.27,39689.27,GST18
LI000000165,JC00000096,95142981,Relay Module,Mid,2.0,4644.74,9289.48,GST5
LI000000166,JC00000097,990J0M89485,Super Cleaner,Consumable,2.0,1068.64,2137.28,GST18
LI000000167,JC00000098,99000M91916,Microfibre Cloth,Consumable,0.5,821.64,410.82,GST18
LI000000168,JC00000098,0929795,Bolt Kit,Micro,1.0,912.04,912.04,GST12
LI000000169,JC00000099,95170112,Brake Pad Set,Mid,1.0,3361.65,3361.65,GST18
LI000000170,JC00000100,990J0M39430,Engine Oil Filter,PM,1.0,3197.18,3197.18,GST18
LI000000171,JC00000100,3834644,Lock Pin,Micro,1.0,418.93,418.93,GST18
LI000000172,JC00000101,34255004,Brake Shoe Set,Mid,2.0,1811.52,3623.04,GST12
LI000000173,JC00000102,990J0M20319,Body Wax Top,Consumable,2.0,2106.88,4213.76,GST18
LI000000174,JC00000103,990J0M71120,Engine Oil Filter,PM,1.0,587.5,587.5,GST12
LI000000175,JC00000104,3862625,Bolt Kit,Micro,1.0,1384.83,1384.83,GST12
LI000000176,JC00000104,3837882,Crush Washer,Micro,2.0,367.49,734.98,GST12
LI000000177,JC00000104,99000M27360,Microfibre Cloth,Consumable,0.25,1642.75,410.69,GST12
LI000000178,JC00000105,13760072,Fuel Filter Kit,PM,1.0,2557.07,2557.07,GST18
LI000000179,JC00000106,3E074157,Gearbox,Macro,1.0,108977.72,108977.72,GST5
LI000000180,JC00000107,991904034,Brake Fluid,PM,1.0,5120.55,5120.55,GST18
LI000000181,JC00000107,990J0M37935,Air Filter Element,PM,1.0,3550.17,3550.17,GST18
LI000000182,JC00000108,0929795,Bolt Kit,Micro,2.0,912.04,1824.08,GST18
LI000000183,JC00000108,990J0M27674,Engine Oil 5W30,PM,1.0,2377.46,2377.46,GST12
LI000000184,JC00000108,990J0M811998,Coolant,PM,1.0,3624.75,3624.75,GST5
LI000000185,JC00000109,990J0M89940,Tyre Shine,Consumable,2.0,2421.94,4843.88,GST18
LI000000186,JC00000110,4866569,Spacer Shim,Micro,2.0,317.65,635.3,GST18
LI000000187,JC00000110,990J0M48200,Steering Cover,Consumable,1.0,505.12,505.12,GST18
LI000000188,JC00000111,17623760,Ignition Coil,Mid,2.0,5669.51,11339.02,GST5
LI000000189,JC00000112,991234055,Brake Fluid,PM,1.0,4362.36,4362.36,GST18
LI000000190,JC00000112,990J0M84488,Windshield Washer Fluid,Consumable,3.0,126.2,378.6,GST12
LI000000191,JC00000112,990J0M39800,Foam Wash Liquid,Consumable,1.0,496.16,496.16,GST5
LI000000192,JC00000113,3E091889,Front End Module,Macro,1.0,72826.37,72826.37,GST12
LI000000193,JC00000114,0927376,Bolt Kit,Micro,1.0,313.47,313.47,GST18
LI000000194,JC00000114,95184318,Brake Pad Set,Mid,1.0,33868.94,33868.94,GST18
LI000000195,JC00000115,1120062249,Engine Block Assembly,Macro,1.0,166952.39,166952.39,GST18
LI000000196,JC00000116,990J0M31626,Car Primer,Consumable,1.0,2244.07,2244.07,GST18
LI000000197,JC00000117,990J0M92197,Air Filter Element,PM,1.0,1083.83,1083.83,GST12
LI000000198,JC00000117,1120058320,Powertrain Assembly,Macro,1.0,244978.35,244978.35,GST5
LI000000199,JC00000118,6A041910,Cylinder Head Assembly,Macro,1.0,177722.5,177722.5,GST18
LI000000200,JC00000119,13731195,Wiper Blade Insert,PM,1.0,3903.06,3903.06,GST18
LI000000201,JC00000120,990J0M159676,Engine Oil 5W30,PM,1.0,267.47,267.47,GST18
LI000000202,JC00000121,42173416,AC Compressor Bracket,Mid,1.0,39367.12,39367.12,GST18
LI000000203,JC00000121,0924735,Tie Rod Lock Washer,Micro,1.0,1264.26,1264.26,GST18
LI000000204,JC00000122,990J0M57809,Car Primer,Consumable,1.0,2058.75,2058.75,GST18
LI000000205,JC00000122,16510M68K20,Engine Oil Filter,PM,2.0,250.0,500.0,GST5
LI000000206,JC00000123,990J0M89485,Super Cleaner,Consumable,2.0,1068.64,2137.28,GST5
LI000000207,JC00000124,95133499,Brake Pad Set,Mid,1.0,10474.85,10474.85,GST18
LI000000208,JC00000125,34244531,ECM Harness,Mid,1.0,8420.73,8420.73,GST12
LI000000209,JC00000126,34261047,ECM Harness,Mid,1.0,5406.69,5406.69,GST5
LI000000210,JC00000127,99000M02757,Car Primer,Consumable,1.0,1145.61,1145.61,GST18
LI000000211,JC00000128,3832460,Lock Pin,Micro,1.0,341.87,341.87,GST18
LI000000212,JC00000128,99000M50025,Microfibre Cloth,Consumable,0.25,1193.67,298.42,GST18
LI000000213,JC00000128,99000M55690,Body Wax Top,Consumable,0.5,1704.96,852.48,GST18
LI000000214,JC00000129,17685897,Ignition Coil,Mid,1.0,32946.91,32946.91,GST18
LI000000215,JC00000130,99000M09278,Foam Wash Liquid,Consumable,0.5,2413.49,1206.74,GST5
LI000000216,JC00000130,990J0M626338,Spark Plug,PM,1.0,2160.0,2160.0,GST5
LI000000217,JC00000131,990J0M98516,Tyre Shine,Consumable,1.0,612.98,612.98,GST18
LI000000218,JC00000132,99000M02757,Car Primer,Consumable,2.0,1145.61,2291.22,GST18
LI000000219,JC00000132,3E074157,Gearbox,Macro,2.0,108977.72,217955.44,GST18
LI000000220,JC00000132,165756701,Engine Oil Filter,PM,1.0,4406.74,4406.74,GST12
LI000000221,JC00000133,990J0M23059,Steering Cover,Consumable,0.25,1591.38,397.84,GST12
LI000000222,JC00000134,1120079967,Powertrain Assembly,Macro,1.0,31750.86,31750.86,GST18
LI000000223,JC00000134,13761571,Wiper Blade Insert,PM,2.0,2758.1,5516.2,GST18
LI000000224,JC00000134,990J0M68158,Seat Protection Cover,Consumable,2.0,1713.74,3427.48,GST5
LI000000225,JC00000135,99000M65707,Windshield Washer Fluid,Consumable,3.0,2238.12,6714.36,GST18
LI000000226,JC00000136,6A025398,Gearbox,Macro,1.0,74742.78,74742.78,GST5
LI000000227,JC00000137,99144832,Clutch Fluid,PM,1.0,2291.34,2291.34,GST5
LI000000228,JC00000138,137143001,Brake Fluid,PM,2.0,4728.75,9457.5,GST18
LI000000229,JC00000139,95121536,Relay Module,Mid,1.0,27579.83,27579.83,GST5
LI000000230,JC00000140,3838943,Spacer Shim,Micro,2.0,848.87,1697.74,GST18
LI000000231,JC00000140,99000M84675,Rubber Care,Consumable,1.0,1463.3,1463.3,GST5
LI000000232,JC00000141,3869669,O-Ring Washer,Micro,2.0,861.86,1723.72,GST18
LI000000233,JC00000141,99000M35930,Super Adhesive,Consumable,1.0,463.77,463.77,GST18
LI000000234,JC00000142,137582615,Fuel Filter Kit,PM,1.0,1655.97,1655.97,GST18
LI000000235,JC00000142,4864419,Lock Pin,Micro,1.0,174.77,174.77,GST12
LI000000236,JC00000142,99000M99178,Super Lubricant,Consumable,1.0,370.0,370.0,GST18
LI000000237,JC00000143,3E085388,Cylinder Head Assembly,Macro,1.0,226505.43,226505.43,GST5
LI000000238,JC00000143,4863204,Crush Washer,Micro,1.0,1129.84,1129.84,GST12
LI000000239,JC00000143,95125313,Relay Module,Mid,1.0,23934.51,23934.51,GST18
LI000000240,JC00000144,17685897,Ignition Coil,Mid,1.0,32946.91,32946.91,GST18
LI000000241,JC00000145,1120088916,Transmission Assembly,Macro,1.0,40049.36,40049.36,GST5
LI000000242,JC00000146,990J0M01334,Super Lubricant,Consumable,0.5,882.04,441.02,GST12
LI000000243,JC00000147,990J0M626338,Spark Plug,PM,1.0,2160.0,2160.0,GST12
LI000000244,JC00000147,42136015,Wheel Cylinder,Mid,1.0,28507.89,28507.89,GST5
LI000000245,JC00000147,99000M82084,Tyre Shine,Consumable,0.25,2194.66,548.66,GST12
LI000000246,JC00000148,990J0M15805,Microfibre Cloth,Consumable,3.0,466.75,1400.25,GST12
LI000000247,JC00000148,137145186,Brake Fluid,PM,1.0,4806.52,4806.52,GST18
LI000000248,JC00000149,6A025398,Gearbox,Macro,1.0,74742.78,74742.78,GST18
LI000000249,JC00000150,17616276,Brake Disc,Mid,1.0,23721.43,23721.43,GST12
LI000000250,JC00000150,3867988,Tie Rod Lock Washer,Micro,1.0,892.86,892.86,GST12
LI000000251,JC00000151,3838790,Hose Clamp,Micro,4.0,891.48,3565.92,GST5
LI000000252,JC00000151,990J0M19200,Upholstery Cleaner,Consumable,2.0,2027.18,4054.36,GST18
LI000000253,JC00000152,0922906,O-Ring Washer,Micro,1.0,197.68,197.68,GST18
LI000000254,JC00000152,99000M03758,RTV Gasket Maker,Consumable,0.25,308.46,77.11,GST18
LI000000255,JC00000153,99000M87245,Rubber Care,Consumable,1.0,138.69,138.69,GST18
LI000000256,JC00000153,3E086329,Gearbox,Macro,1.0,196566.34,196566.34,GST18
LI000000257,JC00000154,990J0M65520,Car Primer,Consumable,1.0,2327.59,2327.59,GST12
LI000000258,JC00000154,990J0M03353,Body Wax Top,Consumable,0.5,1847.36,923.68,GST18
LI000000259,JC00000155,3836560,Crush Washer,Micro,1.0,837.36,837.36,GST18
LI000000260,JC00000156,99194458,Wiper Blade Insert,PM,1.0,5669.24,5669.24,GST18
LI000000261,JC00000156,4866984,Lock Pin,Micro,1.0,660.92,660.92,GST12
LI000000262,JC00000157,1120062249,Engine Block Assembly,Macro,1.0,166952.39,166952.39,GST12
LI000000263,JC00000158,990J0M05496,Super Adhesive,Consumable,2.0,238.34,476.68,GST18
LI000000264,JC00000158,165383097,Spark Plug,PM,1.0,5121.87,5121.87,GST18
LI000000265,JC00000159,99129541,Fuel Filter Kit,PM,1.0,1911.49,1911.49,GST18
LI000000266,JC00000160,990J0M159676,Engine Oil 5W30,PM,1.0,267.47,267.47,GST18
LI000000267,JC00000160,34240707,Brake Shoe Set,Mid,1.0,25235.7,25235.7,GST18
LI000000268,JC00000160,99000M03758,RTV Gasket Maker,Consumable,1.0,308.46,308.46,GST18
LI000000269,JC00000161,3832619,Spacer Shim,Micro,1.0,212.54,212.54,GST12
LI000000270,JC00000161,6A025398,Gearbox,Macro,1.0,74742.78,74742.78,GST12
LI000000271,JC00000162,990J0M72092,Seat Protection Cover,Consumable,0.5,1285.11,642.55,GST18
LI000000272,JC00000163,990J0M23299,Super Adhesive,Consumable,0.5,1262.81,631.4,GST18
LI000000273,JC00000163,990J0M31626,Car Primer,Consumable,0.5,2244.07,1122.04,GST18
LI000000274,JC00000164,990J0M89922,Microfibre Cloth,Consumable,0.5,1997.75,998.88,GST18
LI000000275,JC00000164,3863832,O-Ring Washer,Micro,1.0,895.48,895.48,GST12
LI000000276,JC00000165,990J0M503119,Engine Oil Filter,PM,1.0,5372.16,5372.16,GST18
LI000000277,JC00000165,3E065409,Complete Body Shell,Macro,1.0,160194.1,160194.1,GST18
LI000000278,JC00000165,990J0M71190,Rubber Care,Consumable,0.25,1888.81,472.2,GST18
LI000000279,JC00000166,3E018927,Cylinder Head Assembly,Macro,1.0,119438.57,119438.57,GST18
LI000000280,JC00000167,99000M02757,Car Primer,Consumable,1.0,1145.61,1145.61,GST18
LI000000281,JC00000167,990J0M68158,Seat Protection Cover,Consumable,1.0,1713.74,1713.74,GST18
LI000000282,JC00000168,99000M89122,Super Cleaner,Consumable,0.5,1684.57,842.28,GST12
LI000000283,JC00000168,990J0M47212,Seat Protection Cover,Consumable,2.0,48.49,96.98,GST18
LI000000284,JC00000169,13771268,Wiper Blade Insert,PM,1.0,3480.27,3480.27,GST12
LI000000285,JC00000169,990J0M56189,Foam Wash Liquid,Consumable,0.25,1356.18,339.04,GST12
LI000000286,JC00000170,17617424,Ignition Coil,Mid,1.0,35816.92,35816.92,GST18
LI000000287,JC00000170,34240707,Brake Shoe Set,Mid,1.0,25235.7,25235.7,GST12
LI000000288,JC00000171,99000M44141,Super Lubricant,Consumable,1.0,61.26,61.26,GST5
LI000000289,JC00000171,990J0M962061,Engine Oil Filter,PM,2.0,2481.97,4963.94,GST12
LI000000290,JC00000172,95142981,Relay Module,Mid,1.0,4644.74,4644.74,GST18
LI000000291,JC00000173,34253408,ECM Harness,Mid,1.0,39473.17,39473.17,GST12
