Job_Card_Number,Date_In,Dealer_ID,Chassis_Number,Customer_ID,Service_Type,Odometer_Reading,Visit_Reason
JC00000058,2025-10-21,DLR023,VIN0003221,CUST020588,Accident Repair,98538,Routine
JC00000059,2025-10-21,DLR018,VIN0022214,CUST001392,Inspection,95211,Routine
JC00000060,2025-12-29,DLR021,VIN0006678,CUST004351,Accident Repair,92446,Routine
JC00000061,2025-12-17,DLR029,VIN0006756,CUST018299,General Repair,20922,Routine
JC00000062,2025-04-03,DLR027,VIN0008482,CUST006613,Inspection,78118,Routine
JC00000063,2025-04-04,DLR011,VIN0020421,CUST017258,Accident Repair,7872,Routine
JC00000064,2025-01-14,DLR029,VIN0004467,CUST007509,Accident Repair,18919,Routine
JC00000065,2025-12-17,DLR016,VIN0008949,CUST002520,Inspection,7293,Routine
JC00000066,2025-05-09,DLR003,VIN0021037,CUST020379,Accident Repair,54214,Routine
JC00000067,2025-07-05,DLR008,VIN0012595,CUST009124,Inspection,6914,Routine
JC00000068,2025-07-25,DLR015,VIN0011919,CUST022954,Periodic Service,71044,Campaign
JC00000069,2025-03-10,DLR021,VIN0004661,CUST001094,Accident Repair,16185,Routine
JC00000070,2025-10-22,DLR005,VIN0006191,CUST006039,Inspection,49641,Routine
JC00000071,2025-01-04,DLR021,VIN0015366,CUST003557,Accident Repair,111971,Routine
JC00000072,2025-05-28,DLR004,VIN0007354,CUST021751,Accident Repair,105077,Campaign
JC00000073,2025-10-05,DLR018,VIN0001832,CUST022573,General Repair,66575,Routine
JC00000074,2025-12-02,DLR002,VIN0008373,CUST018127,Inspection,53846,Routine
JC00000075,2025-01-01,DLR011,VIN0007082,CUST006229,Periodic Service,73788,Routine
JC00000076,2025-05-25,DLR023,VIN0012040,CUST021906,General Repair,95651,Routine
JC00000077,2025-08-19,DLR029,VIN0012615,CUST000733,General Repair,42881,Routine
JC00000078,2025-11-27,DLR027,VIN0007710,CUST010893,Inspection,78552,Routine
JC00000079,2025-01-25,DLR024,VIN0012484,CUST018216,Periodic Service,115669,Campaign
JC00000080,2025-04-06,DLR030,VIN0002459,CUST008589,Accident Repair,82623,Routine
JC00000081,2025-03-12,DLR029,VIN0017014,CUST022173,General Repair,85983,Routine
JC00000082,2025-05-25,DLR014,VIN0014038,CUST017121,Accident Repair,79606,Routine
JC00000083,2025-12-09,DLR030,VIN0011234,CUST022224,Accident Repair,8638,Routine
JC00000084,2025-09-26,DLR010,VIN0016893,CUST008939,General Repair,41334,Routine
JC00000085,2025-06-11,DLR022,VIN0021207,CUST015909,Accident Repair,70993,Routine
JC00000086,2025-08-13,DLR013,VIN0017762,CUST007415,Periodic Service,33826,Routine
JC00000087,2025-02-03,DLR025,VIN0008419,CUST020016,Periodic Service,79927,Campaign
JC00000088,2025-11-14,DLR019,VIN0013505,CUST007787,Periodic Service,75087,Routine
JC00000089,2025-06-22,DLR006,VIN0005628,CUST021070,Periodic Service,94306,Routine
JC00000090,2025-01-09,DLR024,VIN0012792,CUST017115,Periodic Service,39491,Routine
JC00000091,2025-08-17,DLR009,VIN0010859,CUST008636,General Repair,13426,Routine
JC00000092,2025-06-03,DLR020,VIN0019816,CUST009518,General Repair,16907,Routine
JC00000093,2025-02-04,DLR015,VIN0003305,CUST011973,Periodic Service,28345,Routine
JC00000094,2025-02-23,DLR028,VIN0001080,CUST000614,Inspection,109452,Routine
JC00000095,2025-03-22,DLR006,VIN0003312,CUST009547,Inspection,96038,Routine
JC00000096,2025-05-22,DLR010,VIN0020362,CUST020306,Periodic Service,49007,Routine
JC00000097,2025-04-21,DLR010,VIN0023633,CUST004588,General Repair,95348,Routine
JC00000098,2025-02-15,DLR013,VIN0013428,CUST011530,General Repair,80746,Routine
JC00000099,2025-08-16,DLR001,VIN0020421,CUST021161,Accident Repair,81249,Routine
JC00000100,2025-07-02,DLR028,VIN0015420,CUST012981,Accident Repair,80117,Routine
JC00000101,2025-10-19,DLR015,VIN0001352,CUST019867,Accident Repair,5202,Routine
JC00000102,2025-05-07,DLR026,VIN0022602,CUST016657,General Repair,30099,Routine
JC00000103,2025-02-22,DLR017,VIN0004385,CUST004872,General Repair,27371,Campaign
JC00000104,2025-10-16,DLR019,VIN0012907,CUST014593,Inspection,54549,Routine
JC00000105,2025-12-04,DLR016,VIN0018533,CUST024160,Periodic Service,99048,Routine
JC00000106,2025-09-25,DLR019,VIN0017034,CUST023110,Inspection,114272,Routine
JC00000107,2025-09-05,DLR028,VIN0007572,CUST001489,Accident Repair,93674,Routine
JC00000108,2025-05-31,DLR026,VIN0023971,CUST022500,Inspection,95094,Routine
JC00000109,2025-11-14,DLR023,VIN0013206,CUST000836,General Repair,90218,Routine
JC00000110,2025-05-05,DLR003,VIN0014896,CUST022715,Accident Repair,27070,Routine
JC00000111,2025-09-05,DLR015,VIN0001533,CUST007086,Inspection,105903,Routine
JC00000112,2025-06-02,DLR010,VIN0001324,CUST006010,General Repair,80209,Routine
JC00000113,2025-05-07,DLR009,VIN0024266,CUST001530,Accident Repair,3781,Routine
JC00000114,2025-07-01,DLR023,VIN0007174,CUST001530,General Repair,18132,Routine
JC00000115,2025-07-03,DLR026,VIN0001473,CUST010702,Inspection,27478,Routine
JC00000116,2025-01-06,DLR007,VIN0006894,CUST013100,Inspection,25179,Routine
JC00000117,2025-11-24,DLR010,VIN0013887,CUST009681,Accident Repair,58307,Routine
JC00000118,2025-07-12,DLR027,VIN0008125,CUST014216,General Repair,22554,Routine
JC00000119,2025-01-07,DLR002,VIN0001688,CUST001000,Accident Repair,17829,Routine
JC00000120,2025-04-10,DLR020,VIN0009624,CUST010858,Inspection,87665,Routine
JC00000121,2025-02-04,DLR007,VIN0023096,CUST000095,Accident Repair,104141,Routine
JC00000122,2025-11-20,DLR030,VIN0014388,CUST014889,Inspection,82538,Campaign
JC00000123,2025-08-13,DLR028,VIN0008464,CUST003796,Periodic Service,60905,Campaign
JC00000124,2025-07-07,DLR026,VIN0004598,CUST000316,Inspection,85561,Routine
JC00000125,2025-12-25,DLR027,VIN0006148,CUST011121,Accident Repair,25651,Routine
JC00000126,2025-04-05,DLR013,VIN0010318,CUST019975,Accident Repair,91426,Routine
JC00000127,2025-03-28,DLR019,VIN0011752,CUST019635,Accident Repair,31314,Routine
JC00000128,2025-01-24,DLR019,VIN0013916,CUST014756,Accident Repair,68596,Routine
JC00000129,2025-12-26,DLR011,VIN0021294,CUST024282,Accident Repair,8985,Routine
JC00000130,2025-02-20,DLR020,VIN0017021,CUST023941,Accident Repair,13854,Routine
JC00000131,2025-08-08,DLR007,VIN0013700,CUST004360,Inspection,62430,Campaign
JC00000132,2025-05-14,DLR013,VIN0016787,CUST020109,Inspection,60843,Routine
JC00000133,2025-08-03,DLR014,VIN0004017,CUST004768,Inspection,118784,Routine
JC00000134,2025-05-27,DLR014,VIN0000999,CUST006175,General Repair,25149,Campaign
JC00000135,2025-05-18,DLR012,VIN0001679,CUST020642,Inspection,111575,Routine
JC00000136,2025-03-06,DLR004,VIN0014629,CUST006438,Inspection,32900,Routine
JC00000137,2025-10-19,DLR013,VIN0016441,CUST003343,Accident Repair,32329,Routine
JC00000138,2025-05-04,DLR010,VIN0006457,CUST007694,Periodic Service,66368,Routine
JC00000139,2025-01-04,DLR004,VIN0003601,CUST003812,Accident Repair,57547,Routine
JC00000140,2025-02-19,DLR015,VIN0000411,CUST002464,Inspection,110388,Routine
JC00000141,2025-07-31,DLR030,VIN0003817,CUST015538,Accident Repair,30765,Routine
JC00000142,2025-12-23,DLR022,VIN0008032,CUST018064,Inspection,105364,Routine
JC00000143,2025-07-11,DLR023,VIN0022692,CUST001237,Inspection,69574,Routine
JC00000144,2025-02-22,DLR013,VIN0017121,CUST021965,Accident Repair,46133,Routine
JC00000145,2025-05-19,DLR003,VIN0011345,CUST021074,Inspection,10596,Routine
JC00000146,2025-09-23,DLR022,VIN0011863,CUST011782,Periodic Service,39951,Routine
JC00000147,2025-09-29,DLR019,VIN0017617,CUST023853,Accident Repair,102191,Routine
JC00000148,2025-11-16,DLR008,VIN0019936,CUST015439,Inspection,42438,Routine
JC00000149,2025-02-10,DLR017,VIN0020098,CUST021237,Accident Repair,70648,Routine
JC00000150,2025-12-28,DLR029,VIN0011635,CUST013007,Inspection,63395,Routine
JC00000151,2025-11-13,DLR014,VIN0012959,CUST015489,General Repair,16530,Routine
JC00000152,2025-09-06,DLR028,VIN0023557,CUST014826,General Repair,113197,Routine
JC00000153,2025-06-16,DLR010,VIN0011955,CUST009030,Recall,67375,Routine
JC00000154,2025-10-03,DLR029,VIN0002550,CUST004271,Inspection,63922,Routine
JC00000155,2025-08-19,DLR001,VIN0013952,CUST010767,Periodic Service,35874,Routine
JC00000156,2025-08-29,DLR022,VIN0001145,CUST019618,Inspection,114449,Campaign
JC00000157,2025-03-12,DLR017,VIN0016812,CUST021952,Inspection,91192,Routine
JC00000158,2025-04-07,DLR014,VIN0018825,CUST010724,General Repair,11913,Routine
JC00000159,2025-05-16,DLR025,VIN0011753,CUST003919,Periodic Service,27922,Routine
JC00000160,2025-04-11,DLR019,VIN0023975,CUST015189,Inspection,23671,Routine
JC00000161,2025-02-04,DLR028,VIN0018029,CUST001864,Inspection,28925,Routine
JC00000162,2025-05-06,DLR009,VIN0010810,CUST007663,General Repair,30674,Routine
JC00000163,2025-07-17,DLR004,VIN0000262,CUST018620,Inspection,97800,Routine
JC00000164,2025-05-31,DLR012,VIN0019699,CUST019697,Inspection,26106,Routine
JC00000165,2025-01-13,DLR028,VIN0020053,CUST005379,Periodic Service,56493,Routine
JC00000166,2025-01-08,DLR021,VIN0013565,CUST007439,General Repair,89412,Routine
JC00000167,2025-12-24,DLR025,VIN0013649,CUST017048,Inspection,45897,Routine
JC00000168,2025-04-06,DLR006,VIN0010273,CUST015168,General Repair,115661,Routine
JC00000169,2025-01-25,DLR011,VIN0019253,CUST006789,Periodic Service,5838,Routine
JC00000170,2025-03-28,DLR014,VIN0024856,CUST019885,Inspection,28898,Routine
JC00000171,2025-01-09,DLR020,VIN0024056,CUST016672,Accident Repair,28150,Campaign
JC00000172,2025-03-29,DLR019,VIN0015886,CUST013415,General Repair,8078,Routine
JC00000173,2025-08-30,DLR026,VIN0011622,CUST011098,Accident Repair,4227,Routine
JC00000174,2025-07-31,DLR012,VIN0006525,CUST020223,Accident Repair,93614,Routine
JC00000175,2025-08-19,DLR003,VIN0000296,CUST021247,Inspection,77120,Routine
JC00000176,2025-11-23,DLR017,VIN0023693,CUST014891,General Repair,64428,Routine
JC00000177,2025-11-16,DLR030,VIN0013113,CUST019840,Periodic Service,91819,Routine
JC00000178,2025-01-25,DLR014,VIN0017710,CUST016006,General Repair,10840,Routine
JC00000179,2025-05-17,DLR005,VIN0012418,CUST004785,Inspection,82887,Routine
JC00000180,2025-04-05,DLR026,VIN0008710,CUST013355,Accident Repair,31456,Routine
JC00000181,2025-03-08,DLR016,VIN0010821,CUST016273,Accident Repair,55793,Routine
JC00000182,2025-05-27,DLR028,VIN0021605,CUST010477,Periodic Service,56894,Routine
JC00000183,2025-10-12,DLR026,VIN0018112,CUST010561,Accident Repair,108396,Routine
JC00000184,2025-04-21,DLR018,VIN0011934,CUST023509,Inspection,77820,Routine
JC00000185,2025-05-07,DLR015,VIN0023298,CUST020313,Inspection,89786,Routine
JC00000186,2025-04-26,DLR008,VIN0003548,CUST003712,General Repair,100579,Routine
JC00000187,2025-03-06,DLR024,VIN0000423,CUST012895,General Repair,49208,Routine
JC00000188,2025-07-02,DLR002,VIN0009391,CUST022081,General Repair,97676,Routine
JC00000189,2025-03-07,DLR011,VIN0007824,CUST011304,Inspection,98733,Routine
JC00000190,2025-02-24,DLR018,VIN0016124,CUST022231,Inspection,61398,Campaign
JC00000191,2025-04-23,DLR002,VIN0007658,CUST019218,Inspection,66196,Routine
JC00000192,2025-08-18,DLR006,VIN0003779,CUST010258,Accident Repair,42841,Routine
JC00000193,2025-09-10,DLR030,VIN0004402,CUST007863,Periodic Service,893,Routine
JC00000194,2025-09-04,DLR003,VIN0012568,CUST017205,General Repair,55444,Routine
JC00000195,2025-02-17,DLR030,VIN0024549,CUST013778,Accident Repair,20139,Routine
JC00000196,2025-04-17,DLR030,VIN0021236,CUST022932,General Repair,20377,Routine
JC00000197,2025-02-07,DLR003,VIN0017702,CUST015280,Inspection,112899,Campaign
JC00000198,2025-05-08,DLR011,VIN0013183,CUST022949,Accident Repair,38770,Routine
JC00000199,2025-02-04,DLR017,VIN0022862,CUST005213,General Repair,74815,Routine
JC00000200,2025-08-05,DLR003,VIN0017198,CUST020378,Accident Repair,73037,Routine
JC00000201,2025-06-22,DLR007,VIN0002951,CUST011530,Inspection,38120,Routine
JC00000202,2025-07-23,DLR004,VIN0008351,CUST014719,Periodic Service,38595,Routine
JC00000203,2025-02-11,DLR002,VIN0005625,CUST008335,Accident Repair,7681,Routine
JC00000204,2025-10-22,DLR017,VIN0019242,CUST019999,Accident Repair,47200,Routine
JC00000205,2025-08-16,DLR011,VIN0010060,CUST019396,Inspection,55696,Routine
JC00000206,2025-08-18,DLR011,VIN0014363,CUST002693,Accident Repair,29007,Routine
JC00000207,2025-01-18,DLR011,VIN0010982,CUST008843,Inspection,77779,Routine
JC00000208,2025-07-20,DLR029,VIN0010508,CUST000895,Inspection,34748,Routine
JC00000209,2025-06-06,DLR017,VIN0008388,CUST022635,Accident Repair,44056,Routine
JC00000210,2025-04-23,DLR001,VIN0009747,CUST016577,Accident Repair,116050,Routine
JC00000211,2025-10-06,DLR018,VIN0008768,CUST020758,Accident Repair,75324,Routine
JC00000212,2025-01-02,DLR016,VIN0000902,CUST020670,General Repair,51047,Routine
JC00000213,2025-09-18,DLR017,VIN0007986,CUST015475,Inspection,35431,Routine
JC00000214,2025-06-26,DLR026,VIN0002584,CUST002838,Inspection,68242,Routine
JC00000215,2025-11-16,DLR003,VIN0021600,CUST004266,Accident Repair,15094,Routine
JC00000216,2025-10-15,DLR005,VIN0018704,CUST021270,Accident Repair,117751,Routine
JC00000217,2025-04-04,DLR015,VIN0009558,CUST001403,Accident Repair,111066,Routine
JC00000218,2025-06-02,DLR009,VIN0024611,CUST022966,General Repair,109656,Routine
JC00000219,2025-12-27,DLR016,VIN0005671,CUST021554,Inspection,96128,Routine
JC00000220,2025-06-07,DLR017,VIN0000857,CUST002733,Inspection,84260,Routine
JC00000221,2025-08-29,DLR018,VIN0016240,CUST009315,Periodic Service,7140,Campaign
JC00000222,2025-04-16,DLR007,VIN0006325,CUST001174,Accident Repair,11516,Routine
JC00000223,2025-09-08,DLR014,VIN0022684,CUST003545,Periodic Service,60081,Routine
JC00000224,2025-02-22,DLR021,VIN0006498,CUST018565,Inspection,20417,Campaign
JC00000225,2025-03-25,DLR027,VIN0024020,CUST020030,General Repair,29138,Routine
JC00000226,2025-02-04,DLR012,VIN0020861,CUST013132,Accident Repair,79410,Routine
JC00000227,2025-08-23,DLR009,VIN0012638,CUST013038,Inspection,112083,Routine
JC00000228,2025-09-08,DLR020,VIN0012238,CUST006220,Periodic Service,76053,Routine
JC00000229,2025-10-22,DLR015,VIN0007887,CUST018565,Inspection,28046,Routine
JC00000230,2025-03-08,DLR028,VIN0018045,CUST011004,General Repair,84325,Routine
JC00000231,2025-08-13,DLR023,VIN0019560,CUST022151,Inspection,6294,Routine
JC00000232,2025-06-29,DLR002,VIN0000863,CUST012094,Inspection,107266,Routine
JC00000233,2025-02-21,DLR019,VIN0005193,CUST010759,General Repair,81134,Routine
JC00000234,2025-12-08,DLR012,VIN0012083,CUST011746,Inspection,72794,Routine
JC00000235,2025-10-02,DLR027,VIN0002582,CUST018912,General Repair,55373,Routine
JC00000236,2025-10-05,DLR001,VIN0024078,CUST009573,Periodic Service,109532,Routine
JC00000237,2025-05-04,DLR027,VIN0023636,CUST002936,General Repair,39917,Routine
JC00000238,2025-10-04,DLR025,VIN0020622,CUST005710,General Repair,26539,Routine
JC00000239,2025-02-18,DLR024,VIN0004698,CUST002360,General Repair,119646,Routine
JC00000240,2025-04-27,DLR023,VIN0006276,CUST002746,Periodic Service,90026,Routine
JC00000241,2025-12-04,DLR028,VIN0002488,CUST001337,General Repair,50821,Routine
JC00000242,2025-04-20,DLR018,VIN0003268,CUST017590,Periodic Service,22401,Routine
JC00000243,2025-07-26,DLR024,VIN0015272,CUST010541,General Repair,90556,Routine
JC00000244,2025-08-31,DLR020,VIN0011773,CUST006717,Accident Repair,55684,Routine
JC00000245,2025-10-15,DLR014,VIN0000195,CUST016579,Inspection,6551,Routine
JC00000246,2025-07-08,DLR023,VIN0010755,CUST012540,General Repair,80987,Routine
JC00000247,2025-02-17,DLR004,VIN0005831,CUST012848,Inspection,115776,Campaign
JC00000248,2025-09-07,DLR017,VIN0005441,CUST023998,Accident Repair,50508,Routine
JC00000249,2025-12-09,DLR026,VIN0019396,CUST009754,General Repair,33853,Routine
JC00000250,2025-12-02,DLR015,VIN0023725,CUST017082,Inspection,6484,Campaign
JC00000251,2025-05-01,DLR022,VIN0002557,CUST017243,Periodic Service,112389,Routine
JC00000252,2025-05-04,DLR011,VIN0008688,CUST015972,Accident Repair,116476,Routine
JC00000253,2025-08-22,DLR030,VIN0001270,CUST012535,Inspection,13878,Campaign
JC00000254,2025-12-19,DLR024,VIN0019049,CUST021330,General Repair,9159,Routine
JC00000255,2025-06-17,DLR028,VIN0004074,CUST017582,Periodic Service,37458,Routine
JC00000256,2025-07-25,DLR012,VIN0008575,CUST000767,Inspection,75187,Routine
JC00000257,2025-01-20,DLR029,VIN0010488,CUST009465,Accident Repair,5267,Routine
JC00000258,2025-11-18,DLR022,VIN0021384,CUST020139,General Repair,10380,Routine
JC00000259,2025-04-15,DLR009,VIN0015792,CUST011939,General Repair,93200,Routine
JC00000260,2025-04-02,DLR010,VIN0007922,CUST022798,Accident Repair,28702,Routine
JC00000261,2025-02-14,DLR003,VIN0000081,CUST010891,Periodic Service,18156,Routine
JC00000262,2025-06-25,DLR002,VIN0016094,CUST007387,Periodic Service,38731,Routine
JC00000263,2025-02-16,DLR010,VIN0017780,CUST020128,General Repair,96776,Routine
JC00000264,2025-12-29,DLR011,VIN0012498,CUST012909,Accident Repair,70416,Routine
JC00000265,2025-12-20,DLR012,VIN0021149,CUST005045,Inspection,15039,Routine
JC00000266,2025-02-11,DLR001,VIN0016804,CUST019761,General Repair,113434,Routine
JC00000267,2025-12-07,DLR012,VIN0013077,CUST023558,Accident Repair,36530,Routine
JC00000268,2025-12-03,DLR027,VIN0013024,CUST023710,Inspection,101292,Routine
JC00000269,2025-04-15,DLR021,VIN0003192,CUST001060,Inspection,98674,Routine
JC00000270,2025-08-13,DLR011,VIN0005560,CUST019071,Inspection,90827,Routine
JC00000271,2025-04-09,DLR003,VIN0022973,CUST005426,Accident Repair,70966,Routine
JC00000272,2025-01-19,DLR021,VIN0013060,CUST012975,General Repair,9806,Routine
JC00000273,2025-06-03,DLR030,VIN0018656,CUST018022,Periodic Service,82147,Routine
JC00000274,2025-03-11,DLR001,VIN0004770,CUST015746,Inspection,71992,Routine
JC00000275,2025-07-28,DLR022,VIN0009049,CUST007901,General Repair,44725,Routine
JC00000276,2025-09-21,DLR028,VIN0013231,CUST024651,Inspection,68032,Routine
JC00000277,2025-08-20,DLR004,VIN0015699,CUST006259,Inspection,47390,Routine
JC00000278,2025-10-04,DLR024,VIN0007215,CUST024908,Recall,92247,Routine
JC00000279,2025-08-10,DLR003,VIN0015500,CUST011558,Accident Repair,78293,Routine
JC00000280,2025-02-09,DLR022,VIN0007553,CUST020999,General Repair,1512,Routine
JC00000281,2025-08-25,DLR021,VIN0018852,CUST002792,Accident Repair,76066,Routine
JC00000282,2025-04-27,DLR006,VIN0010568,CUST002956,Inspection,106425,Routine
JC00000283,2025-12-19,DLR007,VIN0018960,CUST010632,Accident Repair,13909,Routine
JC00000284,2025-09-12,DLR001,VIN0024856,CUST010268,Inspection,40867,Routine
JC00000285,2025-05-10,DLR004,VIN0010174,CUST002056,Accident Repair,48242,Routine
JC00000286,2025-07-23,DLR028,VIN0000368,CUST015872,Inspection,44295,Routine
JC00000287,2025-03-31,DLR027,VIN0016904,CUST015795,Accident Repair,3508,Routine
JC00000288,2025-10-08,DLR007,VIN0000058,CUST011783,Inspection,68399,Routine
JC00000289,2025-12-22,DLR005,VIN0002230,CUST011004,Inspection,23557,Routine
JC00000290,2025-10-07,DLR015,VIN0022972,CUST003140,Accident Repair,86425,Routine
JC00000291,2025-03-26,DLR003,VIN0007719,CUST006649,Accident Repair,41419,Routine
JC00000292,2025-05-07,DLR010,VIN0006166,CUST023947,Periodic Service,35414,Routine
JC00000293,2025-12-18,DLR026,VIN0019003,CUST005136,Accident Repair,41898,Routine
JC00000294,2025-12-03,DLR006,VIN0005133,CUST004363,General Repair,67250,Routine
JC00000295,2025-10-07,DLR004,VIN0021582,CUST003551,Periodic Service,88690,Routine
JC00000296,2025-03-08,DLR003,VIN0004379,CUST007038,Inspection,118361,Routine
JC00000297,2025-07-20,DLR005,VIN0003425,CUST011408,Periodic Service,84757,Routine
JC00000298,2025-07-30,DLR018,VIN0013065,CUST021306,Inspection,13817,Routine
JC00000299,2025-07-26,DLR004,VIN0021967,CUST004801,General Repair,76039,Routine
JC00000300,2025-06-04,DLR029,VIN0010488,CUST016564,General Repair,31414,Routine
JC00000301,2025-03-13,DLR003,VIN0010610,CUST014378,General Repair,43308,Routine
JC00000302,2025-07-04,DLR025,VIN0015838,CUST022572,Periodic Service,75020,Routine
JC00000303,2025-05-29,DLR028,VIN0002190,CUST015801,Inspection,21322,Routine
JC00000304,2025-11-25,DLR015,VIN0012565,CUST002767,Periodic Service,32752,Routine
JC00000305,2025-01-24,DLR022,VIN0017548,CUST014165,General Repair,87287,Routine
JC00000306,2025-06-10,DLR011,VIN0009137,CUST014255,General Repair,91126,Routine
JC00000307,2025-02-19,DLR021,VIN0001272,CUST001463,Inspection,43531,Routine
JC00000308,2025-07-09,DLR010,VIN0020413,CUST005737,General Repair,88635,Routine
JC00000309,2025-01-20,DLR014,VIN0023664,CUST001241,Accident Repair,65501,Routine
JC00000310,2025-12-26,DLR028,VIN0010427,CUST008713,Inspection,48869,Routine
JC00000311,2025-05-25,DLR025,VIN0001158,CUST014051,Accident Repair,4484,Routine
JC00000312,2025-11-06,DLR001,VIN0014419,CUST020644,Accident Repair,39440,Routine
JC00000313,2025-09-21,DLR017,VIN0007798,CUST023731,Inspection,46427,Routine
JC00000314,2025-10-17,DLR009,VIN0004847,CUST021340,Accident Repair,109759,Routine
JC00000315,2025-04-09,DLR003,VIN0000801,CUST007324,Inspection,3054,Routine
JC00000316,2025-03-08,DLR013,VIN0014860,CUST000202,General Repair,39137,Routine
